Slowakia	سْلُوفَاكِيَا	Slovakia	None	Σλοβακία	スロヴァキア	斯洛伐克	Słowacja	Eslováquia	Сло̀ва̄чка	Slováška	Eslovaquia	สโลวาเกีย
Yaman	اَلْيَمَن	Yemen	Jemen	Υεμένη	イエメン	也門	None	Iémen	Је̏мен	Jémen	None	เยเมน
asetat	None	acetate	asetaatti	None	アセテート	醋酸鹽	octan	acetato	ацѐта̄т	None	None	None
Hongaria	الْمَجَر	Hungary	Unkari	Ουγγαρία	ハンガリー	匈牙利	Węgry	Hungria	Ма̏ђарска	Madžárska	Hungría	ฮังการี
ketelitian	دِقَّة	accuracy	tarkkuus	None	正確性	準確度	dokładność	exatidão	та̏чно̄ст	None	exactitud	None
Swiss	سْوِيسْرَا	Switzerland	Sveitsi	Ελβετία	スイス	瑞士	Szwajcaria	Suíça	Швајцарска	Švíca	Suiza	สวิตเซอร์แลนด์
Irlandia	مُونْتْسِيرَات	Mauritius	Irlanti	Μοντσερράτ	モンセラト	蒙塞拉特	Brytania	Maurícia	Ма̑лта	Ȋrska	Rodas	มอลตา
Singapura	سِنْغَافُورَة	Singapore	None	Σιγκαπούρη	シンガポール	新加坡	Singapur	Cingapura	Сингапур	None	None	สิงคโปร์
Guinea	كَاب	Cape	Kap	Πράσινο	カーボベルデ	佛得角	Republika	Cabo	Зеленортска	Kapvêrdski	Guinea	กาบูเวร์ดี
menuduh	اِتَّهَمَ	accuse	syyttää	None	問う	指責	oskarżać	acusar	опту́жити	obtožiti	denunciar	None
akumulasi	None	accumulate	kasaantua	None	蓄積する	積累	akumulować	acumular	акумули́рати	None	acumularse	None
drastis	None	precipitously	yllättäen	None	急	None	None	abruptamente	None	None	None	None
telepon	جَوَّال	mobile	matkapuhelin	κινητό	携帯電話	手機	telefon	telefone	мо̀бител	prenosni	teléfono	โทรศัพท์เคลื่อนที่
Brasil	الْبَرَازِيل	Brazil	Brasilia	Βραζιλία	ブラジル	巴西	Brazylia	None	Бра̀зӣл	Brazílija	None	บราซิล
Rumania	رُومَانِيَا	Romania	None	Ρουμανία	ルーマニア	羅馬尼亞	Rumunia	Roménia	Ру̀мӯнија	Romúnija	Rumanía	โรมาเนีย
Kepulauan	جُزُر	Turks	Turks-	Νήσοι	タークス・カイコス諸島	特克斯和凱科斯群島	Turks	ilhas	Otoci	None	islas	None
Nikaragua	نِيكَارَاجُوَا	Nicaragua	None	Νικαράγουα	ニカラグア	尼加拉瓜	None	Nicarágua	Никара̀гва	Nikaragva	None	นิการากัว
Danau	بُحَيْرَة	Chad	Vanjärvi	Τανγκανίκα	ウィニペグ湖	溫尼伯湖	Czad	Chade	Језеро	Tanganjiško	None	ทะเลสาบแทนแกนยิกา
mortir	هَاوُن	mortar	kranaatinheitin	None	迫撃砲	迫擊砲	moździerz	morteiro	минобацач	možnar	mortero	ปืนครก
cobek	مِهْرَاس	mortar	huhmar	γουδί	すり鉢	研缽	moździerz	almofariz	ступа	možnar	mortero	ครก
Maladewa	الْمَالْدِيف	Maldives	Malediivit	Μαλδίβες	モルディブ	馬爾代夫	Malediwy	Maldivas	Малдиви	Maldívi	Pakistán	มัลดีฟส์
Itali	إِيطَالِيَا	Italy	Italia	Ιταλία	イタリア	意大利	Włochy	Itália	Ѝта̄лија	Itálija	None	อิตาลี
koma	فَصْلَة	comma	pilkku	κόμμα	コンマ	逗號	przecinek	vírgula	за́рез	vejica	coma	จุลภาค
kemampuan	مَهَارَة	skill	taito	επιδεξιότητα	腕	技巧	umiejętność	habilidade	вештина	spretnost	destreza	None
Antilles	None	Netherlands	Alankomaiden	Ολλανδικές	オランダ領アンティル	荷屬安的列斯	Antyle	Antilhas	Nizozemski	None	Antillas	None
selamat	None	welcome	tervetullut	ευπρόσδεκτος	歓迎すべき	None	mile	bem-vindo	željan	dobrodošel	bienvenido	ยินดีต้อนรับ
selamat	أَهْلًا	welcome	tervetuloa!	καλώς	ようこそ	歡迎光臨	witaj!	bem-vindo!	добродошли	dobrodošel!	¡bienvenido!	ยินดีต้อนรับ
menyambut	رَحَّبَ	welcome	toivottaa	υποδέχομαι	歓迎する	歡迎	witać	dar	None	izreči	dar	ต้อนรับ
sekte	فِرْقَة	sect	lahko	αίρεση	セクト	宗派	sekta	seita	се̏кта	None	secta	นิกาย
Timor	تِيمُور	East	Itä-Timor	Ανατολικό	東ティモール	東帝汶	Timor	None	Источни	Vzhodni	Timor	ติมอร์ตะวันออก
aksesori	None	accessory	lisävaruste	παρελκόμενο	None	附屬品	akcesorium	acessório	дода́так	None	accesorio	None
aksesori	None	accessory	asuste	αξεσουάρ	アクセサリー	服飾品	dodatek	acessório	модни	None	accesorio	None
translasi	None	translation	siirto	None	平行移動	None	przesunięcie	translação	трансла́ција	translacija	traslación	None
translasi	None	translation	translaatio	πρωτεϊνογένεση	None	翻譯	None	tradução	трансла́ција	None	traducción	None
terjemahan	تَرْجَمَة	translation	käännös	μετάφραση	訳	翻譯	tłumaczenie	tradução	пре́вод	prevod	traducción	คำแปล
penerjemahan	تَرْجَمَة	translation	kääntäminen	μετάφραση	翻訳	翻譯	tłumaczenie	tradução	пре́вод	prevajanje	traducción	การแปล
Kerajaan	الدَّنْمَارْك	Denmark	Tanska	Δανία	デンマーク	丹麥	Dania	Dinamarca	Да̑нска̄	Dánska	None	เดนมาร์ก
Bosnia-Herzegovina	الْبُوسْنَة	Bosnia	Bosnia	Βοσνία	ボスニア・ヘルツェゴヴィナ	波斯尼亞和黑塞哥維那	Bośnia	Bósnia	Бо̏сна	Bósna	Bosnia	บอสเนียและเฮอร์เซโกวีนา
genom	مَجِين	genome	genomi	γονιδίωμα	ゲノム	基因組	None	genoma	гѐно̄м	None	None	None
salah	زَائِف	false	valheellinen	ψευδής	偽	假	fałszywy	falso	None	None	None	None
buatan	None	false	keinotekoinen	ψευδής	None	None	sztuczny	falso	None	None	postizo	None
Korea	كُورِيَا	South	Etelä-Korea	Νότια	韓国	韓國	Korea	Coreia	Ју̑жна̄	Južna	Corea	เกาหลีใต้
akuntan	مُحَاسِب	accountant	kirjanpitäjä	λογιστής	会計士	會計	księgowy	contador	рачуно̀вођа	računovodja	contable	นักบัญชี
akuntan	مُحَاسِب	accountant	tilintarkastaja	λογιστής	会計士	會計	księgowy	contador	рачуновођа	računovodja	contable	None
Amerika	الْوِلَايَاتُ	United	Yhdysvallat	Ηνωμένες	合衆国	美利堅合眾國	Stany	Estados	Сјѐдӣњене̄	Združene	None	สหรัฐอเมริกา
Korea	كُورِيَا	North	Pohjois-Korea	Βόρεια	None	朝鮮	Korea	Coreia	Се̏ве̄рна̄	Severna	Corea	เกาหลีเหนือ
asetilena	None	acetylene	asetyleeni	ασετυλίνη	アセチレン	乙炔	acetylen	acetileno	ацетѝле̄н	None	None	None
Kuba	كُوبَا	Cuba	Kuuba	Κούβα	キューバ	古巴	None	None	Ку́ба	None	None	คิวบา
kalkun	دِيك	turkey	kalkkuna	γαλοπούλα	七面鳥	火雞	indyk	peru	ћу́рка	pura	pavo	ไก่งวง
asimilasi	تقييد	acceleration	kiihdytys	επιτάχυνση	貯蔵	加速	przyspieszenie	aceleração	akcelerácija	None	aceleración	None
jumlah	مَجْمُوع	acceleration	kiihtyvyys	επιτάχυνση	総計	加速度	przyspieszenie	aceleração	akcelerácija	None	montante	None
percepatan	تَسَارُع	acceleration	kiihtyvyys	επιτάχυνση	磁束密度	加速度	przyspieszenie	aceleração	akcelerácija	pospešek	aceleración	ความเร่ง
emotikon	None	emoticon	hymiö	None	顔文字	表情符號	emotikona	None	None	smeško	emoticón	None
Kepulauan	الجزر	US	Yhdysvaltain	Αμερικανικές	アメリカ領ヴァージン諸島	安達曼群島	Wyspy	Ilhas	Анти́ли	None	Islas	หมู่เกาะอันดามัน
arus	تَيَّار	current	virta	ρεύμα	流れ	水流	prąd	corrente	стру́ја	tok	corriente	กระแส
kutipan	اِقْتِبَاس	quotation	sitaatti	παράθεμα	None	引用	cytat	citação	цѝта̄т	citat	cita	อัญพจน์
kuotasi	None	quotation	tarjous	None	見積り	報價	wycena	None	None	None	presupuesto	None
wabah	وَبَاء	epidemic	kulkutauti	επιδημία	疫	流行病	None	None	по̏ша̄ст	epidemija	None	โรคระบาด
Kirgizstan	قِيرْغِيزِسْتَان	Kyrgyzstan	Kirgisia	Κιργιζία	キルギス	吉爾吉斯斯坦	Kirgistan	Quirguistão	Ки̏ргиста̄н	Kirgizistan	Kirguizistán	คีร์กีซสถาน
Sahara	الصَّحْرَاء	Western	Länsi-Sahara	Δυτική	西サハラ	西撒哈拉	Sahara	Saara	Западна	Zahódna	Sahara	ซาฮาราตะวันตก
telah	None	accomplished	loppuun	None	完成した	完成了的	None	realizado	None	None	logrado	None
akumulator	None	accumulator	varaaja	αποταμιευτής	None	None	None	acumulador	None	None	None	None
wkwkwk	هَهَه	LOL	lol	λολ	w	233	None	rs	None	None	reva	555
Kepulauan	جُزُر	Cook	Cookinsaaret	Νήσοι	クック諸島	庫克群島	Wyspy	Ilhas	Кукова	Cookovi	Islas	หมู่เกาะคุก
frekuensi	تَرَدُّد	frequency	taajuus	συχνότητα	None	頻率	częstość	frequência	učestalost	pogostost	frecuencia	ความถี่
frekuensi	None	frequency	taajuus	None	None	None	None	None	None	None	None	None
bahasa	الفَرَنْسِيَّة	French	ranska	γαλλικά	フランス語	法語	(język)	francês	француски	francóščina	francés	ภาษาฝรั่งเศส
orang	فَرَنْسِيُّونَ	French	ranskalaiset	Γάλλοι	フランス人	法國人	Francuzi	franceses	французи	Francózi	None	ชาวฝรั่งเศส
limpah-ruah	كَثْرَة	abundance	runsaus	None	大量	None	obfitość	abundância	изобиље	None	abundancia	None
orang	بُرْتُغَالِيّ	Portuguese	portugalilainen	Πορτογάλος	ポルトガル人	葡萄牙人	Portugalczyk	português	Португалац	Portugálec	portugués	None
struktur	None	data	tietorakenne	δομή	データ構造	數據結構	None	estrutura	podatkovna	None	estructura	None
Kepulauan	None	Northern	Pohjois-Mariaanit	Νήσοι	北マリアナ諸島	北馬里亞納群島	Mariany	Marianas	None	None	Islas	None
Rumpun	None	Indo-European	indoeurooppalainen	None	インド・ヨーロッパ語族	None	Indoeuropejczyk	indo-europeu	None	None	None	None
Kaledonia	كَالِيدُونِيَا	New	Uusi-Kaledonia	Νέα	ニューカレドニア	新喀里多尼亞	Nowa	Nova	Nova	None	Nueva	นิวแคลิโดเนีย
penjelajah	مُتَصْفَح	web	selain	περιηγητής	ブラウザ	瀏覽器	przeglądarka	navegador	прегледач	spletni	None	เบราว์เซอร์
setuju	رَضِيَ	consent	hyväksyä	συναινώ	承諾する	承諾	zgadzać	consentir	сугла́сити	strinjati	None	ตกลง
persetujuan	رِضًا	consent	suostumus	συναίνεση	None	承諾	zgoda	consentimento	прѝстанак	soglasje	consentimiento	None
asidosis	حماض	acidosis	asidoosi	οξέωση	アシドーシス	酸中毒	kwasica	acidose	None	acidoza	None	None
Kepulauan	جُزُر	Faroe	Färsaaret	Νήσοι	フェロー諸島	法羅群島	Wyspy	Faroé	Фарска	Ferski	Islas	หมู่เกาะแฟโร
Nil	اَلْأُرْدُن	Niger	Kongo	Νίγηρας	ニジェール	尼日尔河	odpływ	Níger	Нигер	Misisipi	Jordán	แม่น้ำแอมะซอน
fitur	None	feature	ominaisuus	δυνατότητα	None	None	funkcja	função	fùnkcija	funkcija	función	None
imbuhan	أَفِكْس	affix	affiksi	παράθημα	接辞	詞綴	formant	afixo	афикс	None	afijo	None
asam	None	deoxyribonucleic	deoksiribonukleiinihappo	δεσοξυριβοζονουκλεϊνικό	デオキシリボ核酸	脫氧核糖核酸	kwas	ácido	дезоксирибонуклеинска	None	None	None
Rusia	رُوسِيَا	Russia	Venäjä	Ρωσία	ロシア	俄羅斯	Rosja	Rússia	Ру̀сија	Rúsija	None	รัสเซีย
pertama	أَوَّل	first	ensimmäinen	πρώτος	初めて	第一	pierwszy	primeiro	први	pŕvi	primer	ที่หนึ่ง
Birma	بُورْمَا	Burma	None	Βιρμανία	ビルマ	緬甸	None	Birmânia	Мијанмар	None	Birmania	พม่า
komputer	حَاسُوب	computer	tietokone	υπολογιστής	コンピュータ	電腦	None	computador	рачу̀на̄р	računalnik	computadora	คอมพิวเตอร์
spesialis	مُتَخَصِّص	ace	ässä	άσος	エース	高手	as	ás	специјалиста	specialistka	es	ผู้เชี่ยวชาญ
Vatikan	الْفَاتِيكَان	Vatican	Vatikaani	Βατικανό	バチカン	梵蒂岡	Watykan	Vaticano	Ва̏тика̄н	Sveti	el	วาติกัน
jam	اَلسَّاعَة	o'clock	kello	μία	一時	一點鐘	pierwsza	uma	None	None	la	หนึ่งนาฬิกา
pada	اَلسَّاعَة	o'clock	kello	στις	一時に	一點鐘	o	à	None	None	a	None
Spanyol	إِسْبَانِيّ	Spanish	espanjalainen	None	スペインの	西班牙的	hiszpański	espanhol	шпа̑нскӣ	špánski	español	สเปน
Spanyol	إِسْبَانِيَّة	Spanish	espanja	ισπανικά	スペイン語	西班牙語	hiszpański	espanhol	шпа̑нскӣ	špánščina	español	ภาษาสเปน
kor	كُورَال	choir	kuoro	χορωδία	合唱団	合唱團	chór	coro	хо̑р	zbor	None	คายกคณะ
kor	None	choir	kuori	χορωδία	聖歌隊	None	chór	coro	None	None	None	None
bahasa	اليُونَانِيَّة	Greek	kreikka	ελληνικά	ギリシア語	希臘語	(język)	grego	грчки	gŕščina	griego	ภาษากรีก
orang	يُونَانِيّ	Greek	kreikkalainen	Έλληνας	ギリシア人	希臘人	Grek	grego	Гр̏к	Gŕk	griego	กรีก
rumput	طبيخ	the	ruoho	του	隣の芝生は青く見える	這山望著那山高	wszędzie	a	None	None	la	None
peta	خَرِيطَة	map	kartta	χάρτης	地図	地圖	mapa	carta	ка̑рта	zemljevid	plano	แผนที่
fungsi	None	map	kuvaus	χρήση	用途	本徵函數	odwzorowanie	aplicação	elementarna	None	función	None
darah	دِمَاء	blood	veri	αίμα	血液	血	krew	sangue	кр̑в	kri	sangre	เลือด
uji	None	blood	verikoe	αίμα	血液検査	None	None	teste/amostra	кр̑в	None	None	None
dini	بَاكِر	early	varhainen	πρώιμος	早い	早	wczesny	precoce	рани	zgoden	temprano	เร็ว
Ibrahim	دَارْوِين	Wales	Tuomala	Δαρβίνος	ダーウィン	霍巴特	Zynger	Peleo	Garfild	None	Jrushchov	การ์ฟิลด์
kunyit	حِنَّاء	mauve	sinooperinpunainen	χένα	ヘンナ染料	靛青	moweina	hena	кана	None	alheña	คราม
gangguan	إِزْعَاج	nuisance	harmi	μπελάς	迷惑	討厭的事	niedogodność	incômodo	None	None	molestia	None
orang	None	nuisance	kiusankappale	None	厄介者	討厭的事	utrapieniec	inconveniente	None	None	estorbo	None
bilangan	عَدَد	prime	alkuluku	πρώτος	None	素數	liczba	número	прости	praštevilo	None	จำนวนเฉพาะ
keselamatan	أَمْن	security	turvallisuus	ασφάλεια	セキュリティー	安全	bezpieczeństwo	segurança	сигу́рно̄ст	varnost	seguridad	ความปลอดภัย
penyakit	مَرَض	disease	tauti	ασθένεια	病気	疾病	choroba	doença	бо̏ле̄ст	bolezen	enfermedad	โรค
cara	نُطْق	pronunciation	ääntämys	προφορά	発音	發音	wymowa	pronúncia	и̏згово̄р	izgovorjáva	pronunciación	การออกเสียง
lafal	لَفْظ	pronunciation	ääntämys	προφορά	発音	發音	wymowa	pronúncia	и̏згово̄р	izgovorjáva	pronunciación	เสียงอ่าน
setengah	السَّاعَة	half	puoli	και	一時半	一點半	wpół	uma	None	None	una	None
ayam	None	chook	kääpiökana	None	バンタム	None	None	garnisé	None	None	None	None
⦃⦃t+¦id¦universitas¦¦¦¦¦¦¦¦¦⦄⦄	مَجْمَع	academy	yliopisto	ακαδημία	学園	學院	akademia	academia	⦃⦃t¦sh¦факу̀лте̄т¦m¦¦¦¦¦¦¦¦⦄⦄	akademija	⦃⦃t+¦es¦universidad¦f¦¦¦¦¦¦¦¦⦄⦄	⦃⦃t+¦th¦วิทยาลัย¦¦¦¦¦¦¦¦¦⦄⦄
bahasa	يِدِيشِيَّة	Yiddish	jiddiš	γίντις	イディッシュ語	意第緒語	jidysz	iídiche	јидиш	islándščina	yidis	ภาษายิดดิช
akademik	أَكَادِيمِيّ	academic	akateeminen	ακαδημαϊκός	学問の	學術的	akademicki	académico	ака̀демскӣ	None	None	None
hari	أيام	weekday	arkipäivä	καθημερινή	ウィークデー	平日	dzień	dia	None	None	día	None
khasiat	None	efficacy	tehokkuus	None	有効性	功效	efektywność	eficácia	None	None	eficacia	None
kesembilan	تَاسِع	ninth	yhdeksäs	ένατος	九番目	第九	dziewiąty	nono	девети	None	noveno	ที่เก้า
perangkat	بَرْمَجِيَات	software	ohjelmisto	λογισμικό	ソフトウェア	軟件	oprogramowanie	programa	програмска	programska	soporte	ซอฟต์แวร์
sepakbola	كُرَة	soccer	jalkapallo	ποδόσφαιρο	サッカー	足球	piłka	futebol	фудбал	None	fútbol	ฟุตบอล
penyerapan	None	absorption	absorptio	απορρόφηση	吸収	吸收	absorpcja	absorção	апсорпција	None	None	None
absorpsi	None	absorption	imeytyminen	απορρόφηση	吸収	吸收	przyswajanie	absorção	апсорпција	None	None	None
absorpsi	اِسْتِيعَاب	absorption	imeyttäminen	απορρόφηση	吸収	吸收	absorpcja	absorção	апсорпција	None	absorción	None
absorpsi	None	absorption	imeytyminen	απορρόφηση	吸収	吸收	absorbowanie	absorção	None	None	None	None
keempat	رَابِع	fourth	neljäs	τέταρτος	四番	第四	czwarty	quarto	четврти	četrti	cuarto	ที่สี่
titik	نُقْطَة	colon	kaksoispiste	άνω	コロン	冒號	dwukropek	dois	двоточка	dvopičje	dos	ทวิภาค
tanya	سَأَلَ	ask	kysyä	ρωτώ	聞く	問	pytać	perguntar	пи̏тати	vprašati	preguntar	ถาม
minta	سَأَلَ	ask	pyytää	παρακαλώ	頼む	請	prosić	pedir	пи̏тати	prositi	requerir	วาน
racun	سُمّ	poison	myrkky	δηλητήριο	None	毒	trucizna	veneno	о̀тров	strup	ponzoña	พิษ
meracuni	سَمَّمَ	poison	myrkyttää	δηλητηριάζω	毒殺する	毒害	truć	envenenar	тровати	None	emponzoñar	วางยา
metafisika	ميتافيزيقا	metaphysics	metafysiikka	μεταφυσική	None	形而上學	metafizyka	metafísica	None	metafizika	None	อภิปรัชญา
ketujuh	سَابِع	seventh	seitsemäs	έβδομος	七番目	第七	siódmy	sétimo	седми	None	séptimo	ที่เจ็ด
tentara	جَيْش	army	maavoimat	στρατός	None	陸軍	armia	exército	во́јска	vojska	ejército	ทัพ
sakit	أَلَم	ache	särky	άλγος	痛み	疼痛	tępy	dor	бо̑л	bolečina	dolor	ความเจ็บ
mawar	حِنَّاء	henna	hennapensas	χένα	ライラック	散沫花	lawsonia	hena	јоргован	španski	lila	โรสแมรี่
keenam	سَادِس	sixth	kuudes	έκτος	六番目	第六	szósty	sexto	шести	None	None	ที่หก
peras	None	wring	vääntää	στείβω	絞る	擰	wyżymać	torcer	исциједити	None	exprimir	None
remas	None	wring	väännellä	None	None	None	None	torcer	None	None	retorcer	None
trompet	بُوق	trumpet	trumpetti	τρομπέτα	トランペット	小號	trąbka	trompete	тру́ба	trobenta	trompeta	ทรัมเป็ต
ontologi	None	ontology	ontologia	οντολογία	存在論	本體論	None	None	ontològija	None	ontología	ภววิทยา
tidak	None	imperfect	vajavainen	ατελής	不完全な	None	niedoskonały	imperfeito	None	None	imperfecto	None
tak	None	absurd	absurdi	παράλογος	馬鹿らしい	荒謬	absurdalny	absurdo	bèsmislen	absúrden	None	None
Republik	مَقْدُونِيَا	Macedonia	Makedonia	Μακεδονία	マケドニア	馬其頓	Republika	Macedónia	Макѐдо̄нија	Makedónija	República	มาซิโดเนีย
badai	عَاصِفَة	storm	myrsky	καταιγίδα	嵐	風暴	burza	tormenta	олу́ја	nevihta	tempestad	พายุ
gejala	عَرَض	symptom	oire	σύμπτωμα	記号	徵兆	None	sintoma	None	None	síntoma	None
bahasa	اللغة	Hawaiian	havaiji	χαβανέζικα	ハワイ語	None	hawajski	havaiano	havajski	havajščina	hawaiano	ภาษาฮาวาย
sebelas	أَحَد	eleven	yksitoista	έντεκα	None	十一	jedenaście.	onze	једа̀нае̄ст	enájst	once	สิบเอ็ด
presiden	رَئِيس	president	presidentti	πρόεδρος	大統領	總統	prezydent	presidente	пре́дсједнӣк	predsednik	None	ประธานาธิบดี
menenun	نَسَجَ	weave	kutoa	υφαίνω	編む	編織	tkać	tecer	тка̏ти	tkati	tejer	ถัก
dua	اِثْنَا	twelve	kaksitoista	δώδεκα	None	十二	dwanaście	doze	два́нае̄ст	dvanájst	doce	สิบสอง
Afghanistan	None	Afghan	afganistanilainen	αφγανικός	アフガニスタンの	阿富汗的	afgański	afegão	афганѝста̄нскӣ	afganistanski	afgano	อัฟกานิสถาน
katalan	اَلْقَطَلُونِيَّة	Catalan	katalaani	καταλανικά	カタルーニャ語	加泰羅尼亞語	kataloński	catalão	каталонски	katalónščina	catalán	ภาษาคาตาลัน
Yupiter	اَلْمُشْتَرِي	Jupiter	Saturnus	Δίας	ジュピター	木星	Jowisz	Júpiter	Ју̀питер	Vénera	Mercurio	ดาวพฤหัสบดี
Yupiter	يُوبِيتَر	Jupiter	Juppiter	Ζευς	ジュピター	朱庇特	Jowisz	Júpiter	Ју̀питер	Satúrn	Plutón	พลูโต
kelima	خَامِس	fifth	viides	πέμπτος	五番目	第五	piąty	quinto	пети	pêti	None	ที่ห้า
malam	لَيْلَة	night	yö	νύχτα	None	夜晚	noc	noite	ноћ	noč	noche	กลางคืน
tahun	سَنَة	leap	karkausvuosi	δίσεκτο	None	閏年	rok	ano	преступна	prestopno	bisiesto	ปีอธิกมาส
kedelapan	ثَامِن	eighth	kahdeksas	όγδοος	八番目	第八	ósmy	oitavo	осми	None	octavo	ที่แปด
penulis	كَاتِب	writer	kirjoittaja	συγγραφέας	著者	作家	pisarz	escritor	пи́сац	pisátelj	None	นักเขียน
namun	None	yet	vaan	None	かつ	None	jak	porém	None	None	sin	None
akhir	نِهَايَة	weekend	viikonloppu	σαββατοκύριακο	土日	週末	koniec	final	вѝкенд	vikend	fin	สุดสัปดาห์
palsu	None	counterfeit	väärennetty	πλαστός	None	假冒	sfałszowany	falsificado	None	None	contrahecho	ปลอม
tiruan	None	counterfeit	väärennös	None	偽物	贗品	falsyfikat	contrafação	None	ponaredek	contrahechura	ของปลอม
memalsukan	None	counterfeit	väärentää	πλαστογραφώ	None	None	fałszować	contrafazer	None	None	contrahacer	ปลอมแปลง
minum	شَرِبَ	drink	juoda	πίνω	飲む	喝	pić	beber	п̏ити	piti	None	ดื่ม
minuman	شَرَاب	drink	juoma	ποτό	飲み物	飲料	napój	bebida	напитак	pijača	None	เครื่องดื่ม
minuman	None	drink	juoma	ποτό	お酒	None	None	bebida	пиће	pijača	trago	None
Korea	كُورِيّ	Korean	korealainen	κορεατικός	韓国の	朝鮮的	koreański	coreano	ко̀ре̄јскӣ	korejski	None	เกาหลี
gereja	كَنِيسَة	church	kirkko	εκκλησία	聖堂	教會	kościół	igreja	цр̑ква	cerkev	iglesia	โบสถ์
gereja	كَنِيسَة	church	kirkko	εκκλησία	None	教會	kościół	igreja	црква	Cerkev	iglesia	คริสตจักร
Misa	None	church	jumalanpalvelus	λειτουργία	教会	禮拜	nabożeństwo	culto	богослужење	maša	servicio	None
turki	تُرْكِيّ	Turkish	turkkilainen	τούρκικος	トルコの	土耳其的	turecki	turco	ту̀рскӣ	túrški	None	ตุรกี
nikel	نِيكْل	nickel	nikkeli	νικέλιο	ニッケル	鎳	nikiel	níquel	никал	nikelj	estaño	นิกเกิล
delapan	ثَمَانِينَ	eighty	kahdeksankymmentä	ογδόντα	None	八十	osiemdziesiąt	oitenta	осамдесет	osemdeset	ochenta	แปดสิบ
Cina	الصِّين	China	Kiina	Κίνα	支那	中國	Chiny	None	Ки́на	Kitájska	None	จีน
Tiongkok	اَلصِّين	China	Kiina	None	None	中國	Chiny	None	Ки́на	Kitájska	None	None
Tionghoa	اَلصِّين	China	Kiina	None	None	中華文明	None	None	Ки́на	Kitájska	None	None
kuning	أَصْفَر	yellow	keltainen	κίτρινος	黄色い	黃	żółty	amarelo	жу̑т	rumen	amarillo	เหลือง
menguning	اِصْفَرَّ	yellow	kellertyä	None	None	None	żółknąć	amarelar	жу́тети	None	None	None
Republik	اِتِّحَاد	Union	Sosialististen	Ένωση	ソビエト社会主義共和国連邦	蘇維埃社會主義共和國聯盟	Związek	União	Савез	Zveza	Unión	สหภาพสาธารณรัฐสังคมนิยมโซเวียต
belahan	نِصْف	hemisphere	pallonpuolisko	ημισφαίριο	None	半球	półkula	hemisfério	хемисфе́ра	polobla	hemisferio	ซีกโลก
sembilan	تِسْعِينَ	ninety	yhdeksänkymmentä	ενενήντα	None	九十	dziewięćdziesiąt	noventa	деведесет	devetdeset	None	เก้าสิบ
tiga	ثَلَاثَةَ	thirteen	kolmetoista	δεκατρείς	None	十三	trzynaście	treze	тринаест	trinajst	trece	สิบสาม
baru	جَدِيد	new	uusi	νέος	新しい	新	nowy	novo	но̏в	None	nuevo	ใหม่
dolar	دُولَار	dollar	dollari	δολλάριο	ドル	圓	None	dólar	до̏ла̄р	None	None	ดอลลาร์
bercinta	جَامَعَ	copulate	rakastella	κάνω	はめ倒す	做愛	spółkować	copular	водити	ljubiti	hacer	มีเพศสัมพันธ์
Trenggiling	None	predator	typpibakteeri	γιγαντιαίος	ハイタカ	雀鷹	azotobakter	falcão-americano	None	None	cernícalo	None
tengah	مُنْتَصَف	midnight	keskiyö	μεσάνυχτα	午前0時	半夜	północ	meia-noite	по́ноћ	polnoč	medianoche	เที่ยงคืน
tanah	أَرْض	ground	maaperä	έδαφος	土壌	土	ziemia	solo	None	None	tierra	ดิน
Inggris	إِنْجِلْتِرَا	England	Englanti	Αγγλία	イングランド	英格蘭	Anglia	Inglaterra	Ѐнгле̄ска̄	Ánglija	None	อังกฤษ
ketiga	ثَالِث	third	kolmas	τρίτος	三番目	第三	trzeci	terceiro	тре̏ћӣ	tretji	tercero	ที่สาม
standar	مِعْيَارِيّ	standard	standardi	πρότυπος	標準的な	標準的	standardowy	padrão	ста̀ндардан	standarden	estándar	None
baku	None	standard	None	None	None	None	nliteracki	None	standardni	None	None	None
standar	مُسْتَوَى	standard	standardi	πρότυπο	スタンダード	標準	None	padrão	ста̀ндард	None	estándar	มาตรฐาน
standar	مِعْيَار	standard	standardi	πρότυπο	規	None	None	padrão	None	None	modelo	None
ragam	None	standard	None	None	None	None	standard	None	стандард	None	None	None
panji	None	standard	standaari	σημαία	None	None	sztandar	estandarte	None	None	None	None
sepong	مَصّ	blowjob	suihinotto	πίπα	尺八	吹功	ssanie	boquete	пушење	None	mamada	None
burung	None	eagle	huuhkaja	μπούφος	鷲木菟	None	puchacz	bufo-real	велика	velika	búho	None
luka	جُرْح	wound	haava	τραύμα	傷	傷口	rana	ferimento	рана	None	herida	บาดแผล
luka	None	wound	loukkaus	τραύμα	傷	傷害	None	mágoa	None	None	None	None
melukai	جَرَحَ	wound	haavoittaa	πληγώνω	傷付ける	擊傷	ranić	ferir	ра̏нити	raniti	herir	None
melukai	None	wound	loukata	πληγώνω	傷付ける	None	urazić	magoar	None	None	herir	None
berinvestasi	اِسْتَثْمَرَ	invest	sijoittaa	None	投資する	投資	inwestować	investir	None	None	invertir	ลงทุน
tomat	طَمَاطِم	tomato	tomaattikasvi	ντοματιά	トマト	西紅柿	pomidor	tomateiro	пара̀дајз	paradižnik	None	None
narkoba	مُخَدِّر	drug	huume	ναρκωτικό	麻薬	毒品	narkotyk	droga	дро́га	None	None	ยาเสพติด
harimau	نِمْر	tiger	tiikeri	τίγρη	トラ	老虎	tygrys	tigre	тигар	None	None	เสือ
