Arabic	English	Finnish	Greek	Indonesian	Japanese	Mandarin Chinese	POS	Polish	Portuguese	Serbo-Croatian	Slovene	Spanish	Thai	lang	POS
دَجَّال	charlatan	huijari	αγύρτης	penipu	薮医者	騙子	n	szarlatan	charlatão	None	None	charlatán	None	None	noun
تَعْوِيذَة	spell	loitsu	ξόρκι	mantra	呪文	咒語	n	czar	encantamento	None	urok	encanto	None	None	noun
هَجَّى	spell	tavata	γράφω	mengeja	綴る	拼	v	literować	soletrar	sricati	črkovati	deletrear	สะกด	None	verb
None	rebuild	jälleenrakentaa	ξαναχτίζω	membangun	建て直す	重建	v	odbudowywać	reconstruir	None	None	None	None	None	verb
None	sedentary	vähän	None	sambil	None	定居的	a	osiadły	sedentário	None	None	sedentario	None	None	adj
جَرَحَ	cut	leikata	None	potong	切る	切	v	ciąć	cortar	резати	None	incidir	ตัด	None	verb
None	assiduous	ahkera	επιμελής	tekun	真面目	None	a	gorliwy	assíduo	prilježno	None	asiduo	None	None	adj
رَعْد	thunder	jyrinä	βροντή	guntur	None	雷	n	grzmot	trovão	гром	grmenje	trueno	ฟ้าร้อง	None	noun
None	repeal	kumota	None	membatalkan	None	撤消	v	None	revogar	None	None	derogar	None	None	verb
تَسْوِيف	procrastination	lykkäys	None	penundaan	先延ばし	耽擱	n	zwłoka	procrastinação	None	None	desidia	การผัดวันประกันพรุ่ง	None	noun
None	jubilant	riemuitseva	None	bangga	None	None	a	None	None	None	None	None	None	None	adj
قَارِب	boat	vene	βάρκα	perahu	ボート	船	n	łódź	barco	бро̑д	čoln	barca	เรือ	None	noun
غَد	tomorrow	huomenna	αύριο	esok	あす	明天	a	jutro	amanhã	сутра	jútri	mañana	พรุ่งนี้	None	adv
غَد	tomorrow	huominen	αύριο	besok	None	明天	n	jutro	amanhã	сутрa	jútri	mañana	พรุ่งนี้	None	noun
None	increment	None	None	menaikkan	増す	None	v	None	None	None	None	None	None	None	verb
سَعَلَ	cough	yskiä	βήχω	batuk	咳をする	咳嗽	v	kaszleć	tossir	кашљати	None	toser	ไอ	None	verb
سُعْلَة	cough	yskähdys	βήχας	batuk	咳	咳嗽	n	kaszel	tosse	кашаљ	kašelj	tos	การไอ	None	noun
أَدَاة	apparatus	laitteisto	σύστημα	peranti	None	儀器	n	None	aparelho	апа̀ра̄т	None	equipo	None	None	noun
None	apparatus	välineistö	None	perangkat	装置	None	n	aparatura	aparato	None	None	aparataje	None	None	noun
كَمَال	ideal	ihanteellinen	ιδανικός	kesempurnaan	完全	完美	n	idealny	perfeição	саврше́нство	idealen	perfección	ความสมบูรณ์	None	noun
غَامِض	ambiguous	moniselitteinen	None	rancu	曖昧な	模稜兩可	a	wieloznaczny	ambíguo	višeznačan	dvoumen	ambiguo	คลุมเครือ	None	adj
يخدع	dupe	puijata	κοροϊδεύω	menipu	騙す	欺騙	v	oszukiwać	enganar	None	None	engañar	None	None	verb
سِيَاسَة	politics	politiikka	πολιτική	politik	None	政治	v	polityka	política	полѝтика	politika	None	การเมือง	None	verb
فَم	mouth	suu	στόμα	mulut	None	嘴	n	usta	boca	у́ста	None	None	ปาก	None	noun
None	mouth	suu	εκβολές	muara	None	河口	n	ujście	foz	ušće	ustje	desembocadura	None	None	noun
مُفْتَرًى	spurious	väärennetty	πλαστός	palsu	にせ物の	虛假的	a	fałszywy	espúrio	None	None	espurio	None	None	adj
ـلُوجِيَا	-logy	-logia	-λογία	-logi	-ロジー	學	s	None	None	-ло̀гија	-logija	-logía	-วิทยา	None	suffix
None	drive	asema	οδηγός	kandar	None	None	n	stacja	unidade	pogon	None	None	None	None	noun
قَادَ	drive	ajaa	οδηγώ	mengemudi	運転する	開車	v	prowadzić	conduzir	None	voziti	conducir	ขับ	None	verb
تَحَدَّثَ	speak	puhua	μιλώ	berbicara	話す	講	v	mówić	falar	гово̀рити	govoriti	hablar	พูด	None	verb
None	arid	kuiva	None	gersang	None	None	a	None	árido	None	None	xérico	None	None	adj
وَزْن	weight	paino	βάρος	berat	重さ	重量	n	ciężar	peso	тежина	teža	None	น้ำหนัก	None	noun
ثِقْل	weight	paino	βάρος	pemberat	重り	配重	n	ciężarek	peso	None	None	pesa	None	None	noun
خَاطَ	sew	ommella	ράβω	jahit	縫う	縫	v	szyć	costurar	šivati	None	None	เย็บ	None	verb
مَرْكَزِيّ	central	keski-	κεντρικός	sentral	中央の	中央	a	centralny	None	срѐдишњӣ	središčen	None	ศูนย์กลาง	None	adj
None	central	keskeinen	κεντρικός	sentral	中心の	None	a	None	None	None	None	None	None	None	adj
None	arbitrary	mielivaltainen	αυθαίρετος	sembarang	不特定多数	任意	a	None	arbitrário	None	None	arbitrario	None	None	adj
None	shear	viiltää	None	memotong	切る	切	v	ciąć	cortar	исећи	None	cizallar	None	None	verb
None	said	samainen	None	tersebut	前記	None	d	None	dito	None	None	dicho	None	None	det
إضَافَة	addition	lisäys	πρόσθεση	penambahan	付加	增加	n	dodawanie	adição	додавање	None	adición	None	None	noun
جَمْع	addition	yhteenlasku	πρόσθεση	penambahan	足し算	添加	n	dodawanie	adição	zbrajanje	seštevanje	suma	การบวก	None	noun
شَيْء	thing	asia	πράγμα	benda	None	東西	n	rzecz	coisa	ства̑р	stvar	cosa	สิ่ง	None	noun
None	thing	tarkoite	None	sesuatu	None	None	n	coś	None	None	None	None	None	None	noun
None	thing	esine	None	benda	None	None	n	None	None	None	None	None	None	None	noun
None	thing	pulma	None	masalah	None	None	n	None	None	None	None	None	None	None	noun
None	thing	olento	πλάσμα	makhluk	生き物	None	n	None	None	None	None	None	None	None	noun
None	thing	olennainen	None	hal	None	None	n	None	None	None	None	None	None	None	noun
None	thing	juttu	None	hal	None	None	n	bajka	None	None	None	None	None	None	noun
None	quit	lähteä	αναχωρώ	berangkat	去る	走	v	zwiewać	sair	отпутовати	zapustiti	salir	ออก	None	verb
حَاوَلَ	attempt	yrittää	αποπειρώμαι	berupaya	試みる	嘗試	v	próbować	tentar	pokušati	poskušati	intentar	พยายาม	None	verb
مُحَاوَلَة	attempt	yritys	απόπειρα	upaya	試み	嘗試	n	próba	tentativa	по̏куша̄ј	poskus	intento	ความพยายาม	None	noun
أَسَاء	mistake	ymmärtää	None	salah	勘違いする	誤會	v	pomylić	confundir	pogrijéšiti	None	entender	None	None	verb
خَطَأ	mistake	virhe	λάθος	kesalahan	間違い	錯誤	n	pomyłka	erro	грешка	napaka	error	ข้อผิดพลาด	None	noun
أَطَاحَ	overthrow	kaataa	ανατρέπω	kudeta	滅ぼす	推翻	v	obalać	derrocar	свргнути	None	derribar	None	None	verb
فُرْشَاة	brush	harja	βούρτσα	sikat	刷毛	刷子	n	szczotka	brocha	четка	krtača	cepillo	แปรง	None	noun
فَرَشَ	brush	harjata	βουρτσίζω	menyikat	磨く	刷	v	szczotkować	escovar	očetkati	umiti	cepillar	None	None	verb
خَلَعَ	brush	harjata	βγάζω	menghapus	脱ぐ	脫	v	usuwać	esfregar	ukloniti	None	recoger	ถอด	None	verb
مَتَى	when	milloin	πότε	kapan	いつ	甚麼時候	a	kiedy	quando	када	kdáj	cuándo	เมื่อไหร่	None	adv
None	when	milloin	πότε	kapan	None	甚麼時候	a	None	quando	None	None	cuándo	None	None	adv
عِنْدَمَا	when	kun	όταν	ketika	...の時	...的時候	c	gdy	quando	None	None	cuando	ขณะที่	None	conj
مَتَى	when	jolloin	πότε	kapan	いつ	什麼時候	c	kiedy	quando	када	ko	cuando	เมื่อ	None	conj
None	when	milloin	πότε	kapan	何時	None	p	kiedy	quando	None	None	cuando	None	None	pron
بَحْر	South	Etelä-Kiinanmeri	Θάλασσα	Laut	南シナ海	南海	n	Morze	Mar	Јужнокинеско	Južnokitajsko	mar	ทะเลจีนใต้	None	name
رَخِيص	cheap	halpa	φτηνός	murah	安い	便宜	a	niedrogi	barato	је̏фтин	poceni	económico	ถูก	None	adj
مِعْطَف	coat	takki	πανωφόρι	mantel	コート	外衣	n	płaszcz	casaco	ка̀пӯт	plašč	abrigo	เสื้อนอก	None	noun
None	ambivalent	kaksijakoinen	None	ambivalen	どっちつかず	矛盾	a	ambiwalentny	ambivalente	None	None	None	None	None	adj
تَمَلُّق	adulation	mielistely	None	puji-pujian	None	奉承	n	None	adulação	None	None	None	None	None	noun
كِتَابَة	writing	kirjoitus	γραφή	tulisan	筆記	文字	n	pismo	escrita	писање	pisava	escritura	การเขียน	None	noun
كِتَابَة	writing	kirjoitus	γραπτό	tulisan	None	None	s	napis	escrita	None	zapis	escrito	None	None	suffix
قَاسٍ	cruel	julma	σκληρός	kejam	酷い	殘忍	a	okrutny	None	не̏човјечан	krut	None	โหด	None	adj
حَمَّالَة	bra	rintaliivit	στηθόδεσμος	kutang	ブラジャー	奶罩	n	biustonosz	sutiã	грудњак	nedrček	ajustador	ยกทรง	None	noun
None	theory	teoria	θεωρία	teori	定理	理論	n	None	None	тѐо̄рија	None	teoría	None	None	noun
نَظَرِيَّة	theory	teoria	θεωρία	teori	憶測	理論	n	None	None	тѐо̄рија	None	teoría	ทฤษฎี	None	noun
None	theory	teoria	None	teori	定理	None	n	None	None	тѐо̄рија	None	teoría	None	None	noun
نَظَرِيَّة	theory	teoria	θεωρία	teori	学説	理論	n	None	None	тѐо̄рија	teorija	teoría	ทฤษฎี	None	noun
بَحَثَ	seek	etsiä	ζητώ	mencari	探す	找	v	poszukiwać	procurar	тра́жити	iskati	buscar	มองหา	None	verb
فَرْع	branch	oksa	κλαδί	dahan	枝	支	n	gałąź	galho	гра́на	veja	rama	กิ่ง	None	noun
دُبّ	bear	karhu	αρκούδα	beruang	クマ	熊	n	niedźwiedź	urso	medo	medved	oso	หมี	None	noun
None	slit	leikata	None	mengiris	切る	None	v	None	fender	None	None	None	None	None	verb
تَصَفَّحَ	browse	katsella	None	melihat-lihat	None	隨便看	v	przeglądać	observar	прегледати	None	navegar	None	None	verb
None	browse	kierrellä	None	ramban	None	隨便看	v	None	None	None	None	None	None	None	verb
None	browse	selata	None	menjelajah	閲覧する	瀏覽	v	przeglądać	navegar	pregledati	brskati	None	None	None	verb
None	browse	laiduntaa	None	ramban	None	吃草	v	None	None	None	None	None	None	None	verb
دِيمُقْرَاطِيَّة	democracy	kansanvalta	δημοκρατία	demokrasi	デモクラシー	民主	n	demokracja	democracia	демокра́тија	demokracija	None	ประชาธิปไตย	None	noun
دِيمُقْرَاطِيَّة	democracy	demokratia	δημοκρατία	demokrasi	民主主義	民主	n	demokracja	democracia	демокра́тија	demokracija	None	None	None	noun
None	gregarious	seurallinen	κοινωνικός	suka	社交的な	社交的	a	None	gregário	друштвен	None	sociable	None	None	adj
None	aesthetic	esteettinen	αισθητικός	estetik	美的な	講究	a	estetyczny	estético	None	None	None	None	None	adj
None	underlie	olla	None	mendasari	基礎となる	构成基础	v	None	None	None	None	subyacer	None	None	verb
مُمَثِّل	actor	näyttelijä	ηθοποιός	aktor	俳優	演員	n	aktorka	ator	глумац	igralec	actriz	นักแสดง	None	noun
بُرْجُوَازِيّ	bourgeois	porvarillinen	None	borjuis	None	None	a	burżuazyjny	burguês	буржујски	buržoazen	burgués	None	None	adj
بُرْجُوَازِيَّة	bourgeois	keskiluokka	None	borjuis	None	中產階級	n	burżuazja	None	буржоа́зија	buržoazija	None	None	None	noun
None	bourgeois	porvari	None	borjuis	None	None	n	burżuj	burguês	бу̀ржӯј	buržuj	None	None	None	noun
None	bourgeois	porvari	None	borjuis	None	None	n	None	None	None	None	None	None	None	noun
None	bourgeois	porvari	None	borjuis	None	None	n	None	None	None	None	None	None	None	noun
None	bourgeois	porvari	None	borjuis	None	None	n	None	None	None	None	None	None	None	noun
حِذَاء	shoe	kenkä	παπούτσι	sepatu	靴	鞋子	n	but	calçado	crijevlja	čevelj	zapato	รองเท้า	None	noun
دَائِرَة	circle	ympyrä	κύκλος	lingkaran	円	圓形	n	okrąg	círculo	круг	krog	circunferencia	แหวน	None	noun
صُلْب	hard	kova	None	keras	硬い	硬	a	twardy	duro	тврд	tŕd	None	แข็ง	None	adj
شَبُّوط	carp	karppi	κυπρίνος	ikan	鯉	鯉魚	n	karp	carpa	шаран	None	None	ไน	None	noun
None	brusque	jäyhä	απότομος	hantam	ぶっきら棒な	粗暴	a	kanciasty	brusco	None	None	None	None	None	adj
منحنى	curve	kaarre	καμπύλη	lengkungan	曲線	彎子	n	zakręt	curva	None	None	None	None	None	noun
None	curve	kaari	καμπύλη	kurva	None	曲線	n	krzywa	curva	None	krivulja	None	None	None	noun
وَضَعَ	lay	laskea	None	rebah	置く	放	v	kłaść	deitar	None	položiti	acostar	วาง	None	verb
سَكْرَان	drunk	juovuksissa	μεθυσμένος	mabuk	酔っ払い	醉	a	pijany	bêbado	pìjan	pijan	borracho	ขี้เหล้า	None	adj
سِكِّير	drunk	juoppo	μέθυσος	pemabuk	飲兵衛	醉漢	n	pijak	bêbado	пија́нац	pijanec	borracho	นักเลงสุรา	None	noun
مَعًا	together	yhdessä	μαζί	bersama	一緒に	一起	a	razem	junto	за̏једно	skúpaj	None	พร้อม	None	adv
None	where	jossa	όπου	mana	何処に	哪裡	c	gdzie	onde	где	kjé	donde	ที่ไหน	None	conj
أَيْن	where	missä	πού	ke	何処	哪裡	a	None	onde	где	None	dónde	ที่ไหน	None	adv
حَيْثُ	where	siellä	None	tempat	場所	None	a	None	onde	None	None	donde	None	None	adv
أَيْن	where	missä	None	tempat	何処	None	n	gdzie	onde	None	None	donde	None	None	noun
دَعَمَ	uphold	ylläpitää	None	menyangga	支持する	None	v	None	suportar	None	None	sostener	None	None	verb
None	keep	None	None	memenuhi	None	None	v	None	None	None	None	None	None	None	verb
اِحْتَفَظَ	keep	pitää	κρατώ	simpan	保持する	保持	v	zachować	manter	None	None	None	เก็บ	None	verb
أَخْفَى	hide	piilottaa	κρύβω	menyembunyikan	隠す	藏	v	chować	esconder	кри̏ти	skrivati	ocultar	ปิดบัง	None	verb
اِخْتَبَأَ	hide	piiloutua	κρύβομαι	bersembunyi	隠れる	躲藏	v	chować	esconder-se	крити	skrivati	esconderse	None	None	verb
زُبْدَة	butter	voi	βούτυρο	mentega	バター	黃油	n	masło	manteiga	ма̏слац	maslo	mantequilla	เนย	None	noun
عَصْرِيّّ	contemporary	nykyaikainen	None	kontemporer	現代的な	現代的	n	współczesny	contemporâneo	мо̏де̄ран	moderen	contemporáneo	None	None	name
جَرِيمَة	crime	rikos	έγκλημα	kejahatan	犯行	罪	n	przestępstwo	None	зло̀чин	zločin	delito	อาชญากรรม	None	noun
مَلْجَأ	asylum	turvapaikka	άσυλο	asilum	アジール	庇護	n	azyl	asilo	а̀зӣл	azil	santuario	None	None	noun
None	sparrowhawk	None	None	elang-alap	None	None	n	None	None	None	None	None	None	None	noun
تَهْدِيد	threat	uhkaus	απειλή	ancaman	脅迫	威脅	n	groźba	ameaça	пријетња	grožnja	amenaza	ภัย	None	noun
None	threat	uhka	απειλή	ancaman	脅威	None	n	zagrożenie	ameaça	пријетња	None	amenaza	None	None	noun
صَوْتِيَات	phonetics	fonetiikka	None	fonetik	音声学	語音學	n	fonetyka	fonética	фонѐтика	fonetika	None	สัทศาสตร์	None	noun
بِنَاء	building	rakentaminen	δόμηση	pembangunan	建築	建設	n	budowanie	construção	гра́дња	gradnja	edificación	การสร้าง	None	noun
مَبْنَى	building	rakennus	κτίριο	bangunan	建物	建築	n	budynek	edifício	згра̏да	zgradba	edificio	ตึก	None	noun
ثَوْر	bull	sonni	ταύρος	sapi	雄牛	公牛	n	byk	touro	би̏к	bik	toro	พฤษภ	None	noun
مَرْسُوم	bull	bulla	περγαμηνή	surat	保険証書	自供狀	n	pergamin	bula	propusnica	None	pergamino	ทะเบียนสมรส	None	noun
None	with	None	κατά	dengan	...と	None	p	z	contra	None	None	con	กับ	None	prep
مَعَ	with	kera	με	dengan	...と	跟	p	z	com	с	None	con	กับ	None	prep
بِـ	with	-lla	με	dengan	…で	用	p	za	com	None	s	con	โดย	None	prep
مَعَ	with	None	κατά	dengan	...と	None	p	z	com	None	s	con	กับ	None	prep
ذَقْن	chin	leuka	σαγόνι	dagu	頤	下巴	n	podbródek	queixo	брада	None	barbilla	คาง	None	noun
دَفَعَ	pay	maksaa	πληρώνω	membayar	払う	付	v	płacić	pagar	платити	plačati	comprar	จ่าย	None	verb
خُبْز	bread	leipä	ψωμί	roti	パン	麵包	n	chleb	pão	хлеб	None	pan	ขนมปัง	None	noun
قَهْوَة	bitters	katkero	καφές	kopi	コーヒー	咖啡	n	kawa	café	ка̀фа	káva	tinto	กาแฟ	None	noun
تَقْرِير	report	selvitys	αναφορά	laporan	レポート	報告	n	raport	relatório	и̏звешта̄ј	poročilo	informe	รายงาน	None	noun
جَمِيل	beautiful	kaunis	ωραίος	indah	美しい	漂亮	a	piękny	belo	ле̑п	lep	hermoso	สุนทร	None	adj
جُبْن	cheese	juusto	τυρί	keju	チーズ	酪	n	ser	queijo	си̏р	sir	queso	เนยแข็ง	None	noun
فُرْصَة	chance	mahdollisuus	ευκαιρία	kesempatan	機会	機會	n	szansa	None	ша̏нса	priložnost	oportunidad	โอกาส	None	noun
نَفَخَ	blow	puhaltaa	φυσώ	tiup	吹く	吹	v	dmuchać	soprar	ду́вати	pihati	soplar	พัด	None	verb
صَفَّارَة	whistle	pilli	σφυρίχτρα	peluit	笛	哨子	n	gwizdek	apito	пѝшта̄љка	piščalka	silbato	นกหวีด	None	noun
None	whistle	vihellys	σφύριγμα	siulan	口笛	口哨	n	gwizd	apito	зви̏ждӯк	None	silbato	เสียงผิวปาก	None	noun
صَفَرَ	whistle	viheltää	σφυρίζω	bersiul	口笛を吹く	吹口哨	v	gwizdać	assobiar	звиждати	zvižgati	silbar	ผิวปาก	None	verb
None	tout	None	None	calo	None	None	n	None	None	None	None	gancho	None	None	noun
None	tout	kehua	None	menawari	None	None	v	None	None	None	None	presumir	None	None	verb
تَرَكَ	leave	jättää	αφήνω	meninggalkan	残す	留	v	zostawiać	deixar	остављати	pustiti	dejar	เหลือ	None	verb
تَرَكَ	leave	lähteä	φεύγω	berangkat	出発する	離開	v	odchodzić	partir	None	oditi	irse	จาก	None	verb
None	leave	vapaa	άδεια	izin	None	None	n	pozwolenie	permissão	None	None	permiso	None	None	noun
إِجَازَة	leave	vapaa	άδεια	cuti	None	None	n	urlop	licença	о̀дмор	dopust	permiso	None	None	noun
None	leave	lähtö	μετανάστευση	Berangkat	None	移居	n	None	saída	None	None	despedida	None	None	noun
نَسِيَ	forget	unohtaa	ξεχνώ	lupa	忘れる	忘記	v	zapominać	esquecer	забо̀рављати	pozabiti	olvidar	ลืม	None	verb
بَكَى	weep	itkeä	κλαίω	tangis	泣く	哭	v	płakać	chorar	пла̏кати	jokati	llorar	ร้องไห้	None	verb
مُصَوِّت	diphthong	diftongi	δίφθογγος	diftong	二重母音	雙元音	n	dyftong	ditongo	дво̏гла̄с	diftóng	diptongo	None	None	noun
أَنْفَقَ	spend	kuluttaa	ξοδεύω	mengeluarkan	消費する	花	v	wydawać	gastar	тратити	None	None	จับจ่าย	None	verb
None	long-eared	sarvipöllö	νανόμπουφος	burung	虎斑木菟	長耳鴞	n	sowa	coruja-pequena	мала	mala	búho	None	None	noun
مِتْر	rod	metri	μέτρο	meter	メートル	米	n	pręt	metro	ме̏тар	vrsta	None	เมตร	None	noun
نَار	fire	tuli	φωτιά	api	None	火	n	ogień	fogo	ватра	ogenj	fuego	ไฟ	None	noun
None	fire	tuli	φωτιά	api	炎	火	n	żar	fogo	None	ogenj	fuego	None	None	noun
حَرِيق	fire	tulipalo	φωτιά	kebakaran	火事	火災	n	pożar	incêndio	пожар	None	incendio	เพลิง	None	noun
None	fire	tuli	φωτιά	api	None	火	n	ogień	fogo	ватра	ogenj	fuego	ไฟ	None	noun
None	fire	tulitus	None	tembakan	発砲弾	None	n	None	fogo	None	ogenj	disparo	None	None	noun
None	fire	polttaa	None	membakar	None	None	v	None	cozinhar	None	žgati	cocer	None	None	verb
طَرَدَ	fire	erottaa	απολύω	pecat	首にする	解雇	v	zwolnić	despedir	None	odpustiti	echar	ไล่ออก	None	verb
None	fire	laukaista	None	menembak	発砲する	發射	v	strzelać	disparar	None	ustreliti	tirar	ยิง	None	verb
None	fire	tulittaa	None	tembak	発射する	開火	v	None	disparar	None	ustreliti	descargar	ยิง	None	verb
None	fire	laukaista	πυρ	tembak	None	None	v	None	None	None	None	tirar	ยิง	None	verb
None	fire	laukoa	None	tuju	None	None	v	None	None	None	None	None	None	None	verb
بَسِيط	simple	yksinkertainen	απλός	sederhana	簡単な	簡單	a	prosty	simples	је̏дноста̄ван	preprost	sencillo	ง่าย	None	adj
None	strew	sirotella	None	menyebar	散らす	散開	v	rozrzucić	espalhar	None	None	esparcir	None	None	verb
أَصْبَحَ	get	tulla	γίνομαι	menjadi	成る	成	v	stawać	tornar-se	би̏ти	None	volverse	เปลี่ยน	None	verb
لَجْنَة	committee	komitea	None	komite	委員会	委員會	n	komitet	comité	odbor	None	comisión	คณะกรรมการ	None	noun
طُوبَة	brick	tiili	τούβλο	batu	煉瓦	磚	n	cegła	tijolo	ци́гла	opeka	ladrillo	อิฐ	None	noun
None	thrust	työntövoima	None	dorongan	None	None	n	None	impulso	None	None	empuje	None	None	noun
فُقَّاعَة	bubble	kupla	φυσαλίδα	buih	泡立つ	泡	n	bańka	bolha	мјеху̀рић	mehurček	burbuja	ฟอง	None	noun
كَافَحَ	strive	pyrkiä	None	berjuang	努力する	努力	v	dążyć	esforçar-se	те́жити	stremeti	esforzarse	พยายาม	None	verb
أَغْلَقَ	shut	sulkea	κλείνω	menutup	閉める	關	v	zamykać	fechar	затворити	zapreti	cerrar	งับ	None	verb
None	goshawk	kanahaukka	διπλοσάινο	elang-alap	オオタカ	蒼鷹	n	jastrząb	açor	jастреб	kragulj	azor	None	None	noun
طَبْشُورَة	chalk	liitukivi	κιμωλία	kapur	白亜	白堊	n	kreda	gesso	кре́да	None	creta	หินดินสอพอง	None	noun
طَبْشُورَة	chalk	liitu	κιμωλία	kapur	チョーク	粉筆	n	kreda	giz	кре́да	None	tiza	ชอล์ก	None	noun
None	back	kääntöpuoli	None	belakang	裏	後面	n	tył	dorso	None	hrbet	revés	None	None	noun
None	back	perä	None	belakang	後ろ	最後的	n	tył	fundo	None	None	fondo	None	None	noun
None	back	puolustaja	None	belakang	None	後面的	n	obrońca	zagueiro	None	None	defensa	None	None	noun
ظَهْر	back	selkä	πλάτη	punggung	背中	背部	n	plecy	costas	леђа	hrbet	espalda	หลัง	None	noun
None	back	perä	None	belakang	後ろ	最後	n	tył	fundo	None	None	parte	None	None	noun
None	back	peruuttaa	None	mundur	戻る	None	v	None	fazer	None	None	ir	None	None	verb
None	back	tukea	None	dukung	補助する	None	v	pomagać	apoiar	None	None	respaldar	None	None	verb
حَوَام	buzzard	hiirihaukka	γερακίνα	sikep	None	鵟	n	myszołów	águia-de-asa-redonda	ми̏ша̄р	kanja	ratonero	None	None	noun
None	we	None	None	kami	None	我們	p	None	None	None	None	None	None	None	pron
None	we	None	None	kita	None	咱們	p	None	None	None	None	None	None	None	pron
سِتَارَة	curtain	verho	κουρτίνα	tirai	カーテン	窗簾	n	zasłona	cortina	за̑веса	zavésa	None	ม่าน	None	noun
جَزْمَة	boot	saapas	μπότα	bot	ブーツ	靴子	n	but	bota	чи̏зма	škorenj	None	รองเท้า	None	noun
None	boot	käynnistys	None	but	None	None	n	rozruch	inicialização	None	None	None	None	None	noun
أَنْشُوفة	anchovy	sardelli	γαύρος	bilis	片口鰯	鳳尾魚	n	sardela	anchova	ѝнћӯн	None	anchoa	None	None	noun
فَقَارِيّ	vertebrate	selkärankainen	σπονδυλωτός	bertulang	脊椎	椎骨的	a	kręgowy	vertebrado	None	None	None	None	None	adj
فَقَارِيّ	vertebrate	selkärankainen	σπονδυλωτό	vertebrata	None	脊椎動物	n	kręgowiec	vertebrado	крáљешњак	vretenčar	None	สัตว์มีกระดูกสันหลัง	None	noun
None	bug	ötökkä	κοριός	serangga	None	蟲	n	robak	bicho	buba	žužek	None	แมลง	None	noun
اَلْأَبْجَدِيَّة	International	kansainvälinen	Διεθνές	Alfabet	国際音声記号	國際音標	n	międzynarodowy	alfabeto	међународна	mednarodna	Alfabeto	สัทอักษรสากล	None	name
وَضَعَ	put	panna	βάζω	taruh	置く	放	v	kłaść	pôr	ста̏вити	staviti	poner	วาง	None	verb
مِرْيَلَة	bib	ruokalappu	σαλιάρα	oto	ビブ	圍兜	n	śliniak	babador	opršnjak	slinček	babero	เอี๊ยม	None	noun
كَامِيرَا	camera	kamera	φωτογραφική	tustel	カメラ	照相機	n	aparat	câmara	фотоапа̀ра̄т	fotoaparat	cámara	กล้องถ่ายรูป	None	noun
كَامِيرَا	camera	kamera	βιντεοκάμερα	kamera	ビデオカメラ	攝影機	n	kamera	videocâmara	ка̀мера	None	videocámara	กล้องถ่ายวิดีโอ	None	noun
بَاعَ	sell	myydä	πουλάω	jual	売る	賣	v	sprzedawać	vender	продавати	prodajati	None	ขาย	None	verb
سُرْعَة	speed	vauhti	ταχύτητα	kelajuan	速度	速率	n	szybkość	velocidade	брзина	hitrost	velocidad	None	None	noun
فَائِدَة	interest	korko	τόκος	bunga	利子	利息	n	odsetka	juros	и̏нтере̄с	obresti	interés	ดอกเบี้ย	None	noun
اِهْتِمَام	interest	kiinnostus	ενδιαφέρον	minat	興味	興趣	n	zainteresowanie	interesse	и̏нтере̄с	zanimanje	interés	None	None	noun
قَسَمَ	split	halkaista	σχίζω	belah	割る	裂開	v	dzielić	partir	None	None	escindir	None	None	verb
سَيَّارَة	car	auto	αυτοκίνητο	mobil	None	汽車	n	samochód	carro	ко̏ла	avto	coche	รถยนต์	None	noun
مَقْطَع	syllable	tavu	συλλαβή	suku	None	音節	n	sylaba	sílaba	сло̏г	zlog	None	พยางค์	None	noun
شَرْط	condition	ehto	όρος	kondisi	None	條件	n	warunek	condição	у́вет	pogoj	condición	เงื่อนไข	None	noun
None	condition	ehto	προϋπόθεση	kondisi	None	條件	n	warunek	condição	None	pogoj	condición	None	None	noun
None	condition	ehto	όρος	syarat	None	None	n	None	None	None	None	None	None	None	noun
حَال	condition	vointi	κατάσταση	kondisi	状態	狀態	n	stan	condição	ста́ње	stanje	situación	สภาพ	None	noun
حَالَة	condition	tila	κατάσταση	kondisi	状態	狀態	n	stan	condição	ста́ње	stanje	None	ภาวะ	None	noun
بِطَاقَة	card	kortti	κάρτα	kartu	カード	卡	n	None	cartão	карта	None	tarjeta	บัตร	None	noun
فِكْر	thought	ajatus	σκέψη	pikir	考え	思想	n	myśl	pensamento	ми̑сао	mȋsəł	pensamiento	ความคิด	None	noun
فِكْر	thought	ajattelu	σκέψη	pergantian	思考力	思考	n	myśl	pensamento	оду̀зима̄ње	odštevanje	pensamiento	ปฏิกิริยานิวเคลียร์	None	noun
سِيَادَة	sovereignty	suvereenisuus	κυριαρχία	kedaulatan	主権	主權	n	suwerenność	soberania	суверенѝте̄т	suverenost	soberanía	อธิปไตย	None	noun
وِسَادَة	cushion	tyyny	μαξιλάρι	bantal	座布団	墊子	n	poduszka	almofada	None	None	cojín	เบาะ	None	noun
سَفِينَة	spaceship	avaruusalus	διαστημόπλοιο	pesawat	宇宙船	太空船	n	statek	nave	свемирски	vesoljska	None	ยานอวกาศ	None	noun
عَلَّمَ	teach	opettaa	διδάσκω	ajar	教える	教	v	uczyć	ensinar	у̀чити	učiti	enseñar	สอน	None	verb
مُسْتَقِيم	straight	suora	ίσιος	lurus	まっすぐな	直	a	prosty	reto	прав	None	recto	ตรง	None	adj
بَرْهَنَ	prove	todistaa	αποδεικνύω	membuktikan	証明する	證明	v	dowodzić	provar	None	dokazati	probar	พิสูจน์	None	verb
