Sense	Arabic	English	Finnish	Greek	Indonesian	Japanese	Mandarin Chinese	POS	Polish	Portuguese	Serbo-Croatian	Slovene	Spanish	Thai	lang	POS
food made from ground roasted cocoa beans	شُوكُولَاتَة كَكَاو شُكلاطة شكلاط	chocolate	suklaa	σοκολάτα	cokelat coklat	チョコレート チョコ ショコラ	巧克力 朱古力	n o u n	czekolada	None	чокола́да čokoláda	čokolada	None	ช็อกโกแลต	None	noun
rearmost molar in humans	ضِرْس اَلْعَقْل ضرس العقل	wisdom tooth	viisaudenhammas	φρονιμίτης σωφρονιστήρας	gigi bungsu	親知らず	智齒 智齿 智牙	n o u n	ząb mądrości ósemka	siso dente do siso dente do juízo	у̑мња̄к ȗmnjāk	modrostni zob	muela del juicio cordal muela cordal	ฟันกรามซี่สุดท้าย	None	noun
amount held in hand	None	handful	kourallinen	χούφτα	segenggam	一握り 一掴み	滿手 满手	n o u n	garść	punhado mancheia	pregršt	None	manojo puñado	หยิบมือเดียว	None	noun
to ponder, to go over in one's head	فَكَرَ فَكَّرَ تَفَكَّرَ فَكَّر	think	miettiä harkita kelata	σκέφτομαι	fikir pikir	考える	念	v e r b	zastanawiać się	pensar	razmišljati razmisliti	None	None	คิด นึก	None	verb
communicate to oneself in one’s mind	فَكَّرَ	think	ajatella	σκέφτομαι	pikir	考える 思考する 思索する	想 思考	v e r b	myśleć pomyśleć	pensar refletir	мислити misliti	mísliti	None	คิด	None	verb
cut into by clamping the teeth	عَضَّ قَضَمَ عض قطم	bite	purra haukata	δαγκώνω	gigit	None	咬	v e r b	odgryzać odgryźć kąsać	morder	гри̏сти у̀гристи grȉsti ùgristi	ugrizniti	None	กัด	None	verb
hold something by clamping one’s teeth	عَضَّ	bite	purra	δαγκώνω	gigit	噛む	咬住 咬	v e r b	gryźć	abocanhar	гри̏сти у̀гристи grȉsti ùgristi	ugrizniti	morder	กัด	None	verb
unit of surface area	آكِر هِكْتَار	acre hectare decare	eekkeri hehtaari	έικρ εκτάριο	ekar hektare	エーカー ヘクタール ㌶	英畝 英亩 公頃 公顷	n o u n	akr hektar	geira	акер aker jutro ral	None	hectárea	เอเคอร์	None	noun
small shoot or scion	None	graft	varte	μπόλι	cangkok setek enten	None	接枝	n o u n	None	enxerto	ка̀лем kàlem	None	injerto empelte	None	None	noun
branch or portion of a tree growing from such a shoot	None	graft	varte	None	hasil pencangkokan	None	None	n o u n	None	enxerto	None	None	injerto	None	None	noun
a happy face expression using mouth, but without producing voice	اِبْتِسَامَة بَسْمَة تَبَسُّم	smile	hymy	χαμόγελο χαμογέλιο χαμογέλασμα μειδίαμα	senyum senyuman	微笑み 笑み 笑顔	微笑 笑容	n o u n	uśmiech	sorriso	smiješak osmeh о̏сме̄х о̏смије̄х ȍsmēh ȍsmijēh	nasmeh	sonrisa	ยิ้ม	None	noun
to have a smile on one's face	اِبْتَسَمَ	smile	hymyillä	χαμογελώ	tersenyum	微笑む 笑う	微笑 笑	v e r b	uśmiechać się uśmiechnąć się	sorrir	насмешити се насмијешити се осмје́хнути се nasmešiti se nasmiješiti se osmjéhnuti se	nasmihati se nasmehniti se	sonreír	ยิ้ม	None	verb
music with words	أُغْنِيَّة أُغْنِيَة اغنية	song	laulu	τραγούδι	lagu tembang	None	歌曲 歌 唱兒 唱儿 歌兒 歌儿	n o u n	piosenka pieśń	canção cantiga música	песма песмица пјесма пјесмица pesma pesmica pjesma pjesmica	pesem	canción	เพลง	None	noun
third personal plural pronoun used after a preposition or as the object of a verb	ـهُم ـهُنَّ ـهُمَا إِيَّاهُم إِيَّاهُنَّ إيَّاهُمَا ـهم	them	heidät heitä heillä heille heiltä niille niitä	None	mereka	None	他們 他们 她們 她们 牠們 它们 它們	p r o n	ich je	os lhes as	None	None	a ellos a ellas los las les	None	None	pron
land or marine reptile with a shell	سُلَحْفَاة غَيْلَم سحلفة حمسة سلحفة فكرون	turtle	kilpikonna	χελώνα	penyu	亀 カメ	龜 龟 烏龜 乌龟 王八 鱉 鳖	n o u n	żółw	tartaruga	корњача kornjača	želva	tortuga	เต่า	None	noun
slender	نَحِيل نَحِيف أَهْيَف	slim elongate	hoikka laiha	λεπτός ραδινός βράδινος	langsing ramping	ほっそりした 細い スリムな	苗條 苗条 纖細 纤细	a d j	szczupły smukły	magro esbelto esguio delgado delgada	ви̏так мр̏шав vȉtak mȑšav	vitek	flaco	None	None	adj
airtight container	صَفِيحَة علبة تنكة	tin	säilyketölkki säilykepurkki	κονσέρβα	kaleng	罐詰 缶	罐頭 罐头	n o u n	puszka konserwa	lata	ліменка конзерва limenka konzerva	pločevinka	None	กระป๋อง ปี๊บ	None	noun
to pay attention to a sound	أَصْغَى أَنْصَتَ اِسْتَمَعَ سَمِعَ سمع	listen	kuunnella	ακούω	dengar mendengar	聞く	聽 听	v e r b	słuchać	escutar	слу̏шати по̀слушати slȕšati pòslušati	poslušati	escuchar	ฟัง	None	verb
to accept advice or obey instruction	أَطَاعَ	listen	kuunnella uskoa	ακούω	mendengarkan	聞く	None	v e r b	usłuchać słuchać	ouvir	слушати послушати slušati poslušati	ubogati	escuchar	ฟัง	None	verb
to perceive with the ear	سَمِعَ سمع سْمع	hear	kuulla	ακούω	dengar	聞く 伺う	聽見 听见	v e r b	słyszeć usłyszeć	ouvir	чу̏ти слу̏шати čȕti slȕšati	slišati	oír	ได้ยิน	None	verb
penalty or coercive measure	عِقَاب إِسْتِحْسَان إِعْتِمَاد عُقُوبَة	sanction	pakote sanktio seuraamus	κύρωση	sanksi	None	制裁 刑罰 刑罚	n o u n	sankcja	sanção	са̀нкција sànkcija	sankcija	sanción decreto	การลงโทษ	None	noun
from (time)	مُنْذُ من	since	lähtien	από εδώ και	sejak dari mulai sejak dari mulai dari	…以来 …から …より	自從 自从 自 從 从	p r e p	od	desde a partir de	None	None	None	ตั้งแต่	None	prep
bird from the Canary Islands	None	canary	kanarialintu	καναρίνι	burung kenari	カナリア カナリヤ 金糸雀	金絲雀 金丝雀	n o u n	kanarek	canário	канаринац kanarinac	kanarček	canario	None	None	noun
contest	سِبَاق مُسَابَقَة سِباق مصارعة الديوك	bee race cup cockfight	kisa kilpailu kilpa kukkotappelu	αγώνας κύπελλο	sabung ayam	競走 レース カップ 杯	競賽 竞赛 比賽 比赛 鬥雞 斗鸡	n o u n	wyścig gonitwa puchar	corrida copa	тр̏ка гонка tȑka gonka куп kup	dirka	carrera	การแข่งขัน	None	noun
language variety	None	idiom ethnolect	kielimuunnos etnolekti	None	etnolek	訛り	方言	n o u n	mowa narzecze etnolekt	etnoleto	None	None	idioma etnolecto	None	None	noun
intransitive: to produce tears	بَكَى عَيَّط بچى بِكي	cry	itkeä parkua vollottaa	κλαίω	tangis menangis	泣く	哭 流眼淚 流眼泪 流淚 流泪 泣	v e r b	płakać	chorar	пла̏кати јецати plȁkati jecati	jokati	llorar	ร้องไห้	None	verb
intransitive: to shout, scream, yell	صَاحَ	cry	huutaa karjua kiljua	διαλαλώ ηχώ αντηχώ κραυγάζω γκαρίζω	menjerit	叫ぶ	喊	v e r b	krzyczeć	gritar berrar bradar	None	None	None	ร้อง	None	verb
to recall from one's memory	تَذَكَّرَ اتذكَّر عقل	remember	muistaa	θυμάμαι	ingat	思い出す 覚える 記憶する	記得 记得 記憶 记忆 回憶 回忆	v e r b	pamiętać zapamiętać	lembrar-se recordar-se	сећати се сјећати се сетити се сјетити се sećati se sjećati se setiti se sjetiti se	spominjati se spomniti se	acordarse recordar	จำได้	None	verb
large settlement	مَدِينَة بَلَد مَدينَة مدِينَة	city	kaupunki	πόλη	kota	都会 町	城市 都市 城 市	n o u n	miasto	cidade urbe	гра̑д grȃd	mésto	ciudad	เมือง	None	noun
boyfriend or girlfriend	None	friend	poikaystävä tyttöystävä ystävä	φίλος φίλη γκόμενος γκόμενα αμόρε	pacar kekasih	彼氏 彼女	男朋友 女朋友	n o u n	sympatia	namorado namorada	де̏чко дѐво̄јка дјѐво̄јка dȅčko dèvōjka djèvōjka	fant punca dekle	novio novia	แฟน	None	noun
person whose company one enjoys	صَدِيق صَدِيقَة صَاحِب صَاحِبَة رَفِيق صاحب رفيج ربع صديق	friend	ystävä kaveri frendi ystävätär ystäväinen	φίλος φίλη	teman sahabat kawan sobat rekan	友達	朋友 友人	n o u n	przyjaciel przyjaciółka druh	amigo amiga	друг дру̀га̄р друга̀рица при̏јатељ пријатѐљица френд френдица drug drùgār drugàrica prȉjatelj prijatèljica frend frendica	prijatelj prijateljica	None	เพื่อน สหาย มิตร เกลอ	None	noun
biological tooth	سِنّ سن سنة سنان	tooth	hammas	δόντι	gigi danta	歯	牙齒 牙齿 牙 齒 齿	n o u n	ząb	dente	зу̑б zȗb	zob	diente	ฟัน	None	noun
seize the day	None	carpe diem	tartu hetkeen	None	raih hari ini	None	及時行樂 及时行乐 把握今朝 花開堪折直須折 花开堪折直须折	p r o v e r b	chwytaj dzień	None	None	užij dan	disfruta el momento	None	None	proverb
person from Taiwan	تَايْوَانِيّ تَايْوَانِيَّة	Taiwanese	taiwanilainen	None	orang Taiwan	None	臺灣人 台灣人 台湾人	n o u n	None	taiwanês taiwanesa	None	Tájvanec Tájvanka	taiwanés	None	None	noun
relating to the mouth	فَمَوِيّ	oral	suu- suun oraalinen	στοματικός	lisan	口頭の	口的 口腔的	a d j	ustny	None	None	None	None	None	None	adj
toll road	None	turnpike	maksullinen tie maksullinen moottoritie	αυτοκινητόδρομος με διόδια	jalan tol	有料道路	收費道路 收费道路 收費公路 收费公路	n o u n	None	autoestrada portajada rodovia pedagiada	None	None	autovía de peaje autopista de peaje carretera de peaje	None	None	noun
state in Malaysia	None	Johor Kedah Negeri Sembilan Terengganu Perlis Kelantan Pahang Sarawak Malacca Penang Sabah	None	None	Melaka	ジョホール ヌグリ・スンビラン マラッカ	柔佛 吉打 森美蘭 森美兰 登嘉楼 登嘉樓 玻璃市 吉蘭丹 吉兰丹 彭亨 沙撈越 沙捞越 馬六甲 马六甲 檳城 槟城 沙巴	n a m e	None	Malaca Málaca	None	None	None	เนอเกอรีเซิมบีลัน ตรังกานู กลันตัน ปีนัง	None	name
A highway designed for high-speed motor-traffic	أُوتُوسْتْرَاد طَرِيق سَرِيع	motorway	moottoritie	αυτοκινητόδρομος υπερταχείας κυκλοφορίας δρόμος χωρίς διόδια	jalan bebas hambatan terkendali	高速道路	高速公路	n o u n	autostrada	autoestrada	аутоцѐста а̀утопӯт autocèsta àutopūt	avtocesta	autopista autovía	ทางด่วน	None	noun
connecting a noun clause	أَنْ ان إنـ إنّه	that	että	ότι πως	bahwa	None	None	c o n j	że iż	que	да da	None	None	ว่า	None	conj
what is being indicated	ذٰلِكَ ذَاكَ تِلْكَ تَاكَ ذَانِكَ تَانِكَ أُولَائِكَ إلي هناك دا إلي هناك دي إِلِي هْنَاك دُول دكها دُكْهُم داك ديك هداك هديك هدوك دوك	that	tuo	εκείνος εκείνη εκείνο εκοίνοι εκείνες εκείνα τούτος	itu	その あの	那 那個 那个	d e t	tamten tamta tamto	esse essa isso aquele aquela aquilo	тај такав taj takav	tisto tista tisti	ese esa eso aquel aquella aquello	นั่น	None	det
that thing	ذَاكَ ذٰلِكَ تِلْكَ الي هناك دا الي هناك دي هداك هديك هدولاك	that	tuo	αυτός αυτή αυτό αυτοί αυτές αυτά	itu	それ あれ	那 彼	p r o n	ten ta to te	esse essa isso aquele aquela aquilo	то оно ono	None	ése ésa aquél aquélla	นั่น โน่น	None	pron
which	اَلَّذِي اَلَّتِي اَلَّذِينَ اَللَّاتِي اَللَّوَاتِي اَللَّائِي اَللَّذَانِ اَللَّتَانِ إلى	that	joka mikä	που	yang	None	那 那个	p r o n	None	que qual	који koji	ki	None	ที่	None	pron
a portable, short weapon, for hand use	مُسَدَّس طَبَنْجَة مُسَدَّسَة	gun	pyssy pistooli	πιστόλι περίστροφο	pistol	銃 鉄砲 ガン	手槍 手枪 槍 枪	n o u n	pistolet rewolwer	arma de fogo pistola	пѝшто̄љ pìštōlj	puška	None	ปืน	None	noun
part of human body	رِجْل قَدَم قدم رجل ريل إجر	foot	jalka jalkaterä	πόδι πόρ	kaki	None	腳 脚 足 腳丫 脚丫	n o u n	stopa	pé	стопало стопа stopalo	None	pie pata pinrel queso	เท้า	None	noun
part of animal’s body	قَدَم قدم رجل	foot	jalka käpälä tassu koipi	οπλή πόδι	kaki	None	腳 脚 足	n o u n	łapa stopa	pata	стопало stopalo	noga	None	เท้า ตีน	None	noun
unit of measure	قَدَم مِلِّيمِتْر كيلومتر	foot millimetre kilometre	jalka millimetri kilometri kilsa	πόδι χιλιοστόμετρο χιλιόμετρο	kilometer	フィート ミリメートル ミリ	英尺 毫米 公釐 公厘 公里 千米	n o u n	stopa milimetr	pé milímetro	стопа мѝлиметар mìlimetar	čevelj milimeter	pie	ฟุต มิลลิเมตร	None	noun
messenger from a deity	مَلَك مَلَاك مَلْأَك	angel	enkeli	άγγελος	malaikat bidadari	天の使い	天使 安琪兒 安琪儿	n o u n	anioł	anjo	анђео anđeo	None	ángel	เทวดา ทูตสวรรค์	None	noun
unfavorable; negative	سَيِّئ وحش خايب عاطل	bad	huono paha kelvoton kielteinen	κακός άσχημος	buruk jelek	悪い	壞 坏 不好	a d j	zły kiepski	ruim mau	лош cлaб loš slab	slàb	malo	แย่	None	adj
not appropriate, of manners etc.	None	bad	huonotapainen huono	κακός	jahat	悪い	不恰當 不恰当 不合適 不合适	a d j	zły	ruim mau feio	непристојан ружан nepristojan ružan	None	malo	None	None	adj
proverb or maxim	قَوْل	saying	sanonta	απόφθεγμα παροιμία ρητό	pepatah	格言	說法 说法 諺語 谚语 常言	n o u n	powiedzenie	ditado provérbio	poslovica izreka	None	dicho proverbio refrán	None	None	noun
joint between upper arm and forearm	كُوع مِرْفَق كوع مرفق	elbow	kyynärnivel kyynärpää	αγκώνας ωλένη	siku	None	肘 肘部 胳膊肘兒 胳膊肘儿 胳膊肘子	n o u n	łokieć	cotovelo	ла̏кат lȁkat	komolec	codo	ข้อศอก ศอก	None	noun
pilgrimage to Mecca	حَجّ	hajj	hadž	χατζ	haji	ハッジ メッカ巡礼	朝覲 朝觐 朝聖 朝圣 麥加朝聖 麦加朝圣	n o u n	hadż hadżdż	hadj	хаџ хаџилук hadžiluk	None	None	ฮัจญ์	None	noun
room used for urination and defecation	مِرْحَاض حَمَّام تْوَالِيتّ دَوْرَةُ المِيَاه	toilet	käymälä vessa miestenhuone naistenhuone hyyskä toiletti kylpyhuone klosetti kylppäri veski	τουαλέτα αποχωρητήριο αφοδευτήριο	kamar kecil	トイレ お手洗い 厠 化粧室 洗面所 手洗い	廁所 厕所 衛生間 卫生间 便所 洗手間 洗手间 盥洗室 WC	n o u n	toaleta ubikacja ustęp kibel wucet wychodek sracz klop świątynia dumania	lavatório lavabo toalete sanita privada retrete sentina vaso banheiro casa de banho toilette	ну̏жнӣк тоа̀лет купатило купао́ница за́ход купаона nȕžnīk toalet kupatilo kupaónica záhod kupaona	stranišče	baño inodoro común servicio excusado sanitario poceta váter wáter watercló	ห้องน้ำ	None	noun
fixture used for urination and defecation	مِرْحَاض كَبِنيه	toilet	wc-istuin vessanpönttö wc-pönttö pönttö	λεκάνη	kloset WC	便器	馬桶 马桶	n o u n	klozet sedes ubikacja	vaso sanitário privada retrete sanita latrina citina	тоа̀лет шо́ља клозетска шоља toàlet šólja klozetska šolja	stranišče toaleta	inodoro excusado taza del baño	โถส้วม	None	noun
approximately spherical or ellipsoidal body produced by birds, insects, reptiles, and other animals, housing the embryo within a membrane or shell during its development	بَيْض بَيْضَة بيض بيضة	egg	muna	αβγό	telur	卵 玉子	卵子	n o u n	jajo jajko	ovo	ја́јце jájce	jajce	huevo	ไข่	None	noun
wide bowl for washing	طَشْت حوض	basin	pesuallas pesuvati allas	νιπτήρας	wastafel	盥	洗滌槽 洗涤槽	n o u n	umywalka	bacia pia	None	None	pileta lavabo lavamanos jofaina palangana	อ่างล้างหน้า อ่าง	None	noun
area of land that drains into a common outlet	None	basin	allas valuma-alue	λεκάνη απορροής	cekungan	盆地	流域	n o u n	basen	bacia	None	None	cuenca	None	None	noun
rock formation scooped out by water erosion	None	basin	allas	None	cekungan	入り江	None	n o u n	None	None	None	None	None	None	None	noun
name chosen for a child by its parents	اِسْم	given name	etunimi	μικρό όνομα	nama depan	名前	名字	n o u n	imię	nome próprio nome de batismo	None	ime	nombre nombre propio nombre de pila	None	None	noun
any animal of the class Gastropoda having a shell	حَلَزُونَة حَلَزُون بزاقة قوقعة صبّان بَبُّوش حلزون غلالة بزّقة	snail	kotilo etana	σαλιγκάρι	bekicot keong siput	カタツムリ でんでん虫	蝸牛 蜗牛	n o u n	ślimak	caramujo caracol	пу̑ж pȗž	polž	None	หอยทาก	None	noun
of whom (relative)	اَلَّذِي اَلَّتِي اَلَّذِينَ اَللَّوَاتِي	whose	jonka	του οποίου της οποίας των οποίων (ton opoíon)	yang yang mana	None	None	d e t	który	cujo cuja	None	čígar	de quien cuyo cuya cuyas cuyos	None	None	det
paved footpath	رَصِيف طَوَار طُوَار	sidewalk	jalkakäytävä katukäytävä	πεζοδρόμιο	trotoar	歩道 舗道 舗装 人道	人行道 步道	n o u n	chodnik	calçada passeio	тротоар плочник pločnik	None	acera andén banqueta escarpa vereda	ทางเท้า บาทวิถี ฟุตบาท	None	noun
third-person plural pronoun	هُمَا هُم هُنَّ هِيَ هما هم هن اهم	they	he ne hyö	αυτοί αυτές αυτά	mereka	彼ら あいつら それら あの人達 あの方々 彼女ら	他們 他们 她們 她们 它們 它们	p r o n	oni one	eles elas	они оне она ona	ôni ône ôna	ellos ellas elles	เขา	None	pron
who? (interrogative pronoun)	مَن مين شكون من	who	kuka ken	ποιος	siapa	だれ どなた どちらさま	誰 谁 何人 誰人 谁人 阿誰 阿谁	p r o n	kto	quem	ко̏ тко̏ kȍ tkȍ	kdó	quién quiénes	ใคร	None	pron
who (relative pronoun)	اَلَّذِي اَلَّتِي اَللَّذَانِ اَللَّتَانِ اَلَّذِينَ اَللَّاتِي اَللَّائِي اللَّوَاتِي اللي	who	joka	ο οποίος η οποία το οποίο	yang	None	None	p r o n	który	que quem	ко̏ тко̏ ко̀јӣ kȍ tkȍ kòjī	kdó	quien	ผู้	None	pron
mixture of sand and organic material	تُرْبَة أَرْض	soil	multa	έδαφος	tanah	土 土壌	土壤 泥土 地	n o u n	ziemia gleba	solo	земља zemlja	prst	suelo	ดิน	None	noun
to make dirty	اِتَّسَخَ وَسَّخَ	soil dirty foul	liata tahria tahrata	None	mengotori	汚す	弄髒 弄脏	v e r b	brudzić kalać plamić upaćkać	sujar	None	umazati	ensuciar	None	None	verb
marked ability or skill	مَوْهِبَة	talent	kyky lahjakkuus	ταλέντο τάλαντο	bakat talenta	None	才能 天賦 天赋	n o u n	dar zdolność	talento	та̀лент на̀да̄рено̄ст о̀бда̄рено̄ст tàlent nàdārenōst òbdārenōst	talènt nadarjenost	None	พรสวรรค์	None	noun
act or process of breathing	نَفَس	breath	hengitys	αναπνοή	napas	None	呼吸 氣息 气息	n o u n	oddech oddychanie	respiração	да̏х ди́са̄ње dȁh dísānje	dih dihanje	respiración	None	None	noun
single act of breathing in and out	None	breath	hengitys henkäys	αναπνοή	napas	呼吸 息	None	n o u n	None	respiração respiro	None	None	respiración aliento	None	None	noun
air expelled from the lungs	None	breath	hengitys uloshengitys	ανάσα	napas	息	呼吸	n o u n	None	hálito bafo	None	None	aliento	None	None	noun
small amount	قَلِيل	breath touch little	henkäys hiven hitunen aavistus hieman vähän	λίγο	sedikit	少し ちょっと	一點兒 一点儿 少	d e t	odrobina mało	pingo pouco	ма̏ло mȁlo	malo	pizca poco	น้อย	None	det
box in which valuables can be locked for safekeeping	خَزْنَة حَدِيدِيَّة خَزْنَة تجوري	safe	kassakaappi tallelokero	χρηματοκιβώτιο	brankas	None	保險櫃 保险柜 保險箱 保险箱 金庫 金库	n o u n	sejf	cofre	сеф трезор sȅf trèzōr	sef	caja fuerte	กำปั่น ตู้เซฟ	None	noun
ship	قرقور	she car carrier square-rigger hydrofoil craft carrack Mayflower orlop water carrier	se autonkuljetuslaiva raakapurjealus kantosiipialus karakki alakansi vesitankkeri	None	kerakah	キャラック メイフラワー	五月花號 五月花号	n o u n	samochodowiec karaka	carraca	None	None	None	None	None	noun
surface of road	None	pavement	tiepäällyste päällyste	πλακόστρωτο	turapan	None	None	n o u n	nawierzchnia drogi bruk	pavimento	плочник pločnik	None	asfalto	None	None	noun
sensation	رَائِحَة رِيحة ريحة	smell	tuoksu haju katku käry kitku lemu dunkkis döfis löyhkä haisu aromi	μυρωδιά	bau aroma	匂い	味道 味兒 味儿 氣味 气味	n o u n	zapach woń pach	cheiro	ми̏рӣс mȉrīs	vonj	olor	กลิ่น	None	noun
sense of smell	شَمّ	smell scent	hajuaisti vainu	όσφρηση	penciuman	嗅覚	嗅覺 嗅觉	n o u n	węch zmysł powonienia	olfato cheiro	њу̑х njȗh	voh	None	None	None	noun
sense with nose	شَمَّ اِشْتَمَّ شم	smell	haistaa	μυρίζω	mencium	嗅ぐ 匂いを感じる	聞 闻 嗅	v e r b	wąchać powąchać	cheirar	мирѝсати њу̏шити mirìsati njȕšiti	vohati	oler husmear	ดม	None	verb
computing: to activate the OK button	موافق	OK	hyväksyä	ΟΚ	oke	None	确定 確定	v e r b	None	ok	потврди уреду у реду potvrdi uredu u redu	v redu	aceptar	ตกลง	None	verb
common language	لُغَة تَوَاصُل مُشْتَرَك	lingua franca	None	as in Italian κοινή f γλώσσα	basantara	リングワ・フランカ リンガフランカ	通用語 通用语 交際語 交际语 共通語 共通语 共同語言 共同语言 共同語 共同语	n o u n	None	língua franca	None	None	lengua vehicular lengua franca	ภาษากลาง	None	noun
affectionate, nice	حَنُون لَطِيف ضريف	kind	ystävällinen kiltti	None	baik	優しい	親切 亲切 和藹 和蔼 善良	a d j	miły	amável	prijatan ljubazan dobrodušan	prijazen	amable bondadoso gentil cariñoso	ใจดี	None	adj
main public road	طَرِيق طَرِيق عَامّ	highway	päätie valtatie pikatie	αυτοκινητόδρομος	jalan raya	公道 街道	公路	n o u n	autostrada szosa	rodovia autoestrada	а̀утопӯт аутоцѐста àutopūt autocèsta	avtocesta	carretera autopista	ทางหลวง	None	noun
short written or spoken expression	جُمْلَة تَعْبِير عِبَارَة	phrase	ilmaus	φράση	ungkapan frasa	句 語句 フレーズ	短語 短语 片語 片语 詞組 词组	n o u n	zdanie fraza wyrażenie	expressão frase	фра́за fráza	None	expresión	วลี ประโยค	None	noun
grammar: group of two or more words that express an idea but do not form a complete sentence	None	phrase	lauseke fraasi	φράση	frasa	句	None	n o u n	wypowiedzenie fraza	locução sintagma	None	stavek	None	วลี	None	noun
international coalition	الْأُمَم الْمُتَّحِدَة	United Nations	Yhdistyneet kansakunnat	Οργανισμός Ηνωμένων Εθνών Ηνωμένα Έθνη	Perserikatan Bangsa-Bangsa	国際連合 国連	聯合國 联合国	n a m e	Organizacja Narodów Zjednoczonych	Organização das Nações Unidas Nações Unidas	Ујѐдӣњенӣ на́роди Уједињене нације Ujèdīnjenī národi Ujedinjene nacije	Organizacija združenih narodov	Organización de las Naciones Unidas Naciones Unidas	สหประชาชาติ	None	name
pedestrians or vehicles on roads or on the air	مُرُور	traffic	liikenne	None	lalu lintas	None	交通	n o u n	ruch komunikacja ruch drogowy	tráfego trânsito	са̏обраћа̄ј про́мет sȁobraćāj prómet	promet	tráfico tránsito circulación	จราจร	None	noun
deity	إِلَٰه إله بَعْل شِيڤَا	god Baal Shiva Assur Achelous Rudra Ambika Tudigong Xihe Sakra mahoraga dharmapala Khamlangba	jumala Šiva	θεός θεά Βάαλ Σίβα Αχελώος	tuhan dewa Siwa	バアル バール シヴァ 帝釈天 護法善神	神 濕婆 湿婆 大黑天 大自在天 土地公 土地 土地爺 土地爷 土地老 羲和 帝釋天 帝释天 釋提桓因 释提桓因 摩睺羅伽 摩睺罗伽 護法神 护法神 諸天鬼神 诸天鬼神 諸天善神 诸天善神	n a m e	bóg bóstwo Śiwa	deus Xiva Aqueloo	бог bog Ши̑ва Šȋva	None	dios	พระเจ้า เทพ ผี บาอัล ศิวะ อิศวร อีศวร อิศร รุทระ ท้าวสักกะ	None	name
idol	إِلٰه وَثَن صَنَم	god	jumalankuva epäjumala	είδωλο	berhala pujaan	偶像 アイドル	神	n o u n	bóg	ídolo	None	None	None	เทวรูป	None	noun
money and wealth	رَأْسْمَال رَأْس مَال راس المال	capital	pääoma	κεφάλαιο	modal kapital	None	資本 资本	n o u n	kapitał	None	капѝта̄л kapìtāl	None	None	ทุน	None	noun
uppermost part of a column	تَاج العَمُود	capital	kapiteeli	κιονόκρανο	kapital	None	柱頭 柱头	n o u n	kapitel głowica	capitel	капѝтел kapìtel	None	None	None	None	noun
uppercase	None	capital	versaali iso	κεφαλαίος	kapital	大文字の	大寫的 大写的	a d j	duży duża	maiúsculo	None	None	mayúscula	None	None	adj
capital of Johor	None	Johor Bahru	None	None	Johor Baru	None	新山市	n a m e	None	None	None	None	None	None	None	name
passageway	زُقَاق	gangway lane passage	käytävä kulkutie kulkuväylä välikkö	σοκάκι στενό διάδρομος δίοδος	perlintasan	舷門 通路 路地 細道	過道 过道 胡同 里弄	n o u n	przejście aleja alejka uliczka pasaż	passagem passadiço alameda	None	prehod	corredor camino	ซอย ตรอก เลน	None	noun
type of fish	سَلُّور قرموط كاتفش	tongue grey mullet catfish	kampela monni monnikala	κέφαλος	lele	ナマズ 鯰	鯰魚 鲶鱼 鮎形目 鲇形目	n o u n	sum	peixe-gato bagre	со̏м sȍm	som	mújol siluro barbo pez gato	ปลาดุก	None	noun
organ	لِسَان لسان	tongue	kieli	γλώσσα	lidah	べろ	舌頭 舌头 舌	n o u n	język ozór	língua	језик jezik	jêzik	lengua sinhueso	ลิ้น	None	noun
protuberance on the face	أَنْف خَشَم مناخير خشم بوز نيف منخار	nose	nenä	μύτη	hidung	None	鼻子 鼻	n o u n	nos	nariz	но̑с nȏs	nọ̑s	None	จมูก นัตถุ์ นาสิก ดัง	None	noun
narrow street	زُقَاق داعوس	alley	kuja	δρομάκι δρομίσκος	gang	裏通り 路地	弄 里弄 衚衕 胡同	n o u n	uliczka aleja alejka	beco ruela travessa viela	сокак уличица алеја sokak uličica	None	callejón callejuela calleja pasaje	ซอย ตรอก	None	noun
sound uttered by the mouth	صَوْت صوت	voice	ääni	φωνή	suara	None	聲音 声音 聲 声 音聲 音声	n o u n	głos	voz	гла̑с glȃs	glas	None	เสียง	None	noun
part of body connecting the head and the trunk	رَقَبَة عُنُق رقبة عنق	neck	kaula	λαιμός	leher	首	頸 颈 頸項 颈项 脖子	n o u n	szyja kark	pescoço	вра̑т ши̏ја vrȃt šȉja	vrat	cuello pescuezo	คอ	None	noun
the way words are spoken or written in a community	None	usage	kielenkäyttö puhetapa	None	praktik berbahasa	使い方 用法	None	n o u n	praktyka językowa uzus językowy	emprego	jezična uporaba jezična praksa jezična izvedba	None	None	None	None	noun
point, near or within a body, at which the object's mass can be assumed to be concentrated	مَرْكَز الْجَاذِبِيَّة	center of gravity	painopiste	None	pusat gravitasi	None	重心	n o u n	środek ciężkości	baricentro centro de gravidade	None	None	None	None	None	noun
to draw air in and out	تَنَفَّسَ	breathe	hengittää	αναπνέω	bernafas	呼吸する 息をする 吐く 吸い込む	呼吸 吸	v e r b	oddychać odetchnąć	respirar	дисати дихати disati dihati	None	None	หายใจ	None	verb
