synset	lemma	annotation	goodness label	confidence	language
03649459-n	pengadilan	KEEP	L	1	Portuguese
00743344-v	hubungilah	KEEP	None	None	None
01771535-v	rasakanlah	KEEP	X	1	English
00253761-v	berkembang	KEEP	O	1	English
09385137-n	racikan	KEEP	O	1	Thai
02269286-a	segala	KEEP	Y	3	Spanish, Finnish, English
01505254-v	didatangi	KEEP	None	1	English
02684924-v	berlanjut	KEEP	O	1	English
05129565-n	jauhnya	KEEP	None	1	Arabic
10243664-n	lama	KEEP	O	1	Finnish
02608347-v	dijelajahi	KEEP	None	5	Spanish, Greek, Finnish, Portuguese, English
07804323-n	padi	DELETE	Y	1	English
02614181-v	kelihatan	DELETE	O	1	Finnish
02620587-v	berbahan	DELETE	X	1	Finnish
02394183-v	berhasil	DELETE	O	1	English
02737876-v	termasuk	DELETE	O	1	Slovene
13952171-n	yang benar	KEEP	X	1	Japanese
08876975-n	manchester	KEEP	None	None	None
80001116-n	keropok	DELETE	None	None	None
01617192-v	membuat	KEEP	O	1	Finnish
01020885-a	cocok	KEEP	O	None	None
01637982-v	menemukan	KEEP	Y	1	English
05816287-n	ilmu	KEEP	O	3	Slovene, Finnish, Thai
01667132-v	membetulkan	KEEP	O	2	Portuguese, Mandarin Chinese
02207206-v	belilah	KEEP	None	1	English
02397496-a	pedas	KEEP	O	None	None
02378623-v	memberikan reaksi	DELETE	X	1	Mandarin Chinese
00004722-r	hanya	KEEP	Y	1	English
09786585-n	penggemar	KEEP	Y	4	Portuguese, Polish, English, Thai
02186470-a	2	KEEP	None	None	None
02347220-v	gadaikan	KEEP	None	None	None
01183573-v	memuaskan	KEEP	O	1	English
00085512-r	khusus	KEEP	O	None	None
02415390-a	pekat	KEEP	Y	1	Finnish
03191029-n	dadu	KEEP	O	None	None
01714208-v	dibawakan	KEEP	X	1	Slovene
03786901-n	alu	KEEP	None	6	Slovene, Spanish, Polish, Japanese, Portuguese, English
02679227-v	mulai	KEEP	O	4	Greek, Finnish, English, Japanese
01409581-a	sebagai	KEEP	O	1	Polish
01158181-v	melindangkan	DELETE	O	1	Finnish
00263463-a	gagah	KEEP	O	None	None
00238022-n	hal memperkenalkan seseorang	DELETE	X	3	Portuguese, Spanish, English
05301908-n	mulut	KEEP	O	1	Portuguese
02905036-n	panggangan	KEEP	O	None	None
09991026-n	lelaki	DELETE	O	1	English
00751567-v	memaksakan	DELETE	O	2	Mandarin Chinese, Thai
00341560-v	melalui	KEEP	O	1	English
01434717-a	jauh	KEEP	O	None	None
08068375-n	bollywood	KEEP	X	None	None
80001130-n	dia	KEEP	None	None	None
00153263-v	menambahkan	KEEP	Y	1	Japanese
08593262-n	leluhur	DELETE	O	1	Portuguese
01052248-a	semerbak	KEEP	O	5	Spanish, Polish, Thai, Portuguese, English
09792555-n	leluhur	KEEP	Y	1	English
00022829-r	sekali	KEEP	O	None	None
00196122-a	mendebarkan	KEEP	O	None	None
00756076-v	memakan	KEEP	None	1	Finnish
04152829-n	layar	KEEP	Y	1	Spanish
13323988-n	biaya kuliah	KEEP	X	None	None
07776866-n	makanan laut	KEEP	O	None	None
03748162-n	outlet	KEEP	None	None	None
02546467-v	akui	KEEP	X	1	Finnish
13926786-n	suatu situasi tertentu	DELETE	X	1	Greek
08462320-n	data	KEEP	O	1	English
01466543-v	menghiasi	KEEP	O	1	English
08627919-n	kawasan	KEEP	O	1	Japanese
01824736-v	mengasyiki	DELETE	O	1	Portuguese
07644967-n	chicken	KEEP	None	1	English
00350104-v	melanjutkan	KEEP	None	4	Greek, Finnish, English, Serbo-Croatian
02201644-v	membagikan	KEEP	None	1	Mandarin Chinese
00756076-v	mengangkat	DELETE	O	1	Finnish
07644967-n	chiken	KEEP	None	1	English
01953297-a	sangat halus	KEEP	X	None	None
01565921-v	menelan habis	DELETE	X	1	Finnish
07585208-n	kaldu	KEEP	O	1	English
90000032-n	kari kepala ikan	KEEP	None	None	None
01157517-v	meleburkan	DELETE	O	1	English
03631177-n	les	KEEP	O	1	Portuguese
10061656-n	lezat	KEEP	None	None	None
00031899-r	amat	KEEP	L	1	Finnish
00610167-v	lupakan	KEEP	X	7	Slovene, Spanish, Japanese, Greek, Finnish, Portuguese, English
01188725-v	mensyaratkan	DELETE	O	8	Slovene, Spanish, Greek, Finnish, Portuguese, Mandarin Chinese, English, Serbo-Croatian
07583197-n	soto	KEEP	None	1	Finnish
04961691-n	abu-abu	KEEP	O	4	Portuguese, Finnish, English, Japanese
02973558-n	ukiran	KEEP	O	3	Portuguese, Finnish, Japanese
04928903-n	cara	KEEP	O	1	English
02306763-a	seru	KEEP	None	None	None
00765213-v	menenangkan	KEEP	O	None	None
00283568-n	jalan-jalan	KEEP	X	4	Slovene, Finnish, English, Japanese
07856270-n	pasta	KEEP	None	1	Polish
07048000-n	nyanyian	KEEP	O	1	Slovene
02020590-v	terkena	DELETE	O	2	Spanish, Finnish
14589223-n	larutan	KEEP	O	1	Portuguese
03800933-n	instrumen	KEEP	X	5	Slovene, Japanese, Greek, Portuguese, English
00637259-v	hitung	KEEP	O	1	Finnish
04728068-n	berkualitas	KEEP	Y	1	Mandarin Chinese
01027174-v	melampir	DELETE	X	1	Finnish
01572831-a	bohongan	KEEP	None	None	None
01982957-a	bergengsi	KEEP	None	None	None
13713003-n	barisan	DELETE	O	1	Japanese
08383909-n	bisnis keluarga	KEEP	None	None	None
02696795-a	sinematik	KEEP	None	None	None
01052428-a	aromatik	KEEP	None	None	None
09347779-n	rawa	KEEP	O	4	Slovene, Greek, Finnish, English
05416198-n	liur	KEEP	O	1	English
02140033-v	pamerkan	KEEP	X	1	English
01825237-v	ingin	KEEP	Y	3	Slovene, Mandarin Chinese, Thai
08477634-n	wanita	KEEP	O	1	Portuguese
01180351-v	disediakan	KEEP	None	1	Finnish
07601999-n	chocolate	KEEP	None	7	Slovene, Polish, Japanese, Greek, Finnish, Mandarin Chinese, English
07526757-n	kegembiraan	KEEP	O	1	Japanese
02529945-a	sejuk	KEEP	Y	1	Spanish
00120316-v	pusatnya—menjadikan	KEEP	None	1	English
02189398-v	dapat	DELETE	O	1	English
01781478-a	saleh	KEEP	O	2	Portuguese, Finnish
13265011-n	oleh	KEEP	None	1	Portuguese
14474264-n	berkat	KEEP	O	1	Finnish
09540430-n	peri	KEEP	O	1	Finnish
02727462-v	yang masih ada	KEEP	None	1	Finnish
90000003-n	armani exchange	KEEP	None	None	None
03788195-n	mesjid	KEEP	O	6	Polish, Japanese, Finnish, Portuguese, Mandarin Chinese, English
01919931-a	ramai	KEEP	O	2	Finnish, English
01985923-v	jatuh	KEEP	O	1	Thai
01815838-a	populer	KEEP	O	1	English
10323182-n	misionaris	KEEP	None	6	Slovene, Polish, Japanese, Finnish, Portuguese, English
07279687-n	pesanan	KEEP	Y	1	Finnish
01084644-a	dipenuhi	KEEP	X	None	None
00183053-a	ada	KEEP	O	None	None
00102736-r	dulu	KEEP	None	1	Portuguese
00034574-n	kebaikan	KEEP	O	1	Portuguese
00885217-v	terikat	KEEP	O	1	Slovene
01862386-a	ekskusif	KEEP	None	1	Finnish
00948985-a	sebelah dalam	DELETE	X	None	None
02690081-n	airlines	KEEP	None	7	Spanish, Japanese, Greek, Finnish, Thai, Mandarin Chinese, English
00751838-a	elegan	KEEP	O	None	None
02238085-v	dapat	DELETE	Y	1	Slovene
02511528-a	buas	KEEP	Y	None	None
07509996-n	heran	KEEP	None	1	Spanish
07942152-n	umat	KEEP	Y	1	Portuguese
02479323-v	mengeluarkan	DELETE	O	1	Mandarin Chinese
15164570-n	sabtu	KEEP	O	2	Spanish, Finnish
02741546-v	jadi	DELETE	O	1	Japanese
02118933-v	melihat	KEEP	O	1	Spanish
00522751-v	mendapatkan	KEEP	O	1	English
08431942-n	baris	KEEP	O	1	Portuguese
01027174-v	pembekalan	DELETE	Y	1	Finnish
00394813-v	bergabung	DELETE	O	1	Finnish
02559752-v	menjegal	KEEP	O	1	English
02664769-v	insan	DELETE	O	1	Finnish
00037226-r	yang benar	KEEP	None	1	Japanese
02697725-v	manusia	DELETE	O	1	Finnish
07663592-n	daging sapi	KEEP	X	1	Thai
01928838-v	melangkahkan	KEEP	Y	4	Slovene, Greek, Finnish, English
01999798-v	menunjukkan arah	DELETE	X	2	Portuguese, Spanish
07557434-n	masakan	KEEP	O	1	Thai
07051185-n	blues	KEEP	O	None	None
90000311-n	Hari Waisak	KEEP	None	None	None
00724832-v	mengagumkan	KEEP	O	3	Portuguese, Finnish, Slovene
00041954-r	secara umum	KEEP	L	5	Spanish, Japanese, Finnish, English, Serbo-Croatian
01168468-v	memakan	KEEP	O	1	English
08641113-n	kawasan sekitar	DELETE	X	1	Portuguese
77000092-n	apa	KEEP	None	None	None
02596462-a	berkulit	KEEP	O	None	None
03691817-n	lounge	KEEP	X	None	None
06601327-n	implikasi	KEEP	Y	1	Greek
03313602-n	wajah	KEEP	O	1	Mandarin Chinese
02129289-v	dilihat	DELETE	X	1	Arabic
08616311-n	jalanan	KEEP	O	1	Portuguese
10112129-n	biksu	KEEP	Y	1	Thai
04930478-n	peraturan	DELETE	O	1	Japanese
00542120-v	jadi	KEEP	None	2	Finnish, English
00979366-a	cepat	KEEP	O	None	None
00097504-n	eksekusi	KEEP	None	1	Portuguese
02437136-n	unta	KEEP	O	8	Slovene, Polish, Japanese, Greek, Finnish, Thai, Portuguese, English
00763901-a	langsung	KEEP	O	2	Finnish, Thai
01467370-v	mengelilingi	KEEP	Y	1	Arabic
00494409-a	masing	KEEP	None	None	None
90000014-n	chilli crab	KEEP	None	None	None
77000012-n	saya	KEEP	None	None	None
01014251-a	menengah	KEEP	O	3	Spanish, Polish, English
02363597-v	bertema	KEEP	O	1	English
01063695-v	mengajak	KEEP	O	4	Slovene, Greek, Spanish, English
80000843-n	tikka	KEEP	None	None	None
02020590-v	menggetok	DELETE	O	2	Spanish, Finnish
01400562-a	hukum	KEEP	None	1	English
05129565-n	berjarak	DELETE	Y	1	Arabic
01139194-n	permit	KEEP	None	1	Japanese
00586262-n	keadaan	DELETE	O	1	English
10399491-n	orangtua	KEEP	None	1	Portuguese
02126430-a	bertempat	KEEP	O	None	None
00597385-v	memahami sepenuhnya	KEEP	X	2	Finnish, English
00714944-n	kerajinan	KEEP	L	1	Finnish
00204391-v	merosot	KEEP	O	1	Spanish
02684924-v	berlangsung	KEEP	O	1	English
10734394-n	kembar	KEEP	Y	2	Portuguese, Polish
05693919-n	dukungan	KEEP	L	2	English, Japanese
01378556-v	tersebar	KEEP	O	3	Portuguese, Finnish, English
04683814-n	keindahan	KEEP	O	1	English
00350104-v	lanjutkan	KEEP	None	4	Greek, Finnish, English, Serbo-Croatian
15136453-n	hari	KEEP	O	1	Arabic
01471848-a	dewasa	KEEP	Y	1	English
00491511-a	unik	KEEP	L	None	None
07433145-n	pusaran air	KEEP	L	1	Portuguese
80001614-n	bas ekspres	KEEP	None	None	None
15119919-n	kini	KEEP	O	None	None
02402825-v	memperhentikan	DELETE	O	1	Spanish
01829292-v	membara	KEEP	O	1	English
06892534-n	beramal	KEEP	None	None	None
15235126-n	saat	DELETE	Y	1	Slovene
00048374-n	tiba	KEEP	O	8	Slovene, Spanish, Japanese, Greek, Finnish, Thai, Portuguese, English
02233704-v	diunduh	KEEP	X	1	Portuguese
00148540-r	secara	KEEP	O	None	None
02655135-v	terdapatlah	KEEP	None	1	Finnish
00784342-v	meminta	KEEP	O	1	Slovene
03485997-n	pegangan	KEEP	O	1	Japanese
02359464-a	menakjubkan	KEEP	Y	None	None
00876442-v	konsultasi	KEEP	None	2	Portuguese, English
00065359-r	besar	KEEP	O	None	None
00331446-a	pinggir	KEEP	O	3	Portuguese, Finnish, English
02512150-v	distrik	KEEP	L	None	None
00363788-n	tambahan	KEEP	O	1	Greek
02986757-n	catwalk	KEEP	None	None	None
07966719-n	sektor	KEEP	O	3	Portuguese, Finnish, English
07718472-n	ketimun	KEEP	Y	1	Finnish
02741546-v	muat	DELETE	O	1	Japanese
00639849-v	membeli	DELETE	O	1	English
02339413-v	lengkapi	KEEP	X	1	Portuguese
00094001-n	penyelamatan	KEEP	O	1	Japanese
00770437-v	mengadakan	DELETE	O	1	English
08642331-n	lingkungan	KEEP	O	1	English
07557434-n	hokkien mee	KEEP	None	1	Thai
00734054-v	mengambil	KEEP	O	1	Finnish
07840804-n	telur	KEEP	Y	1	English
00117620-r	kemudian	KEEP	O	1	Portuguese
07625493-n	pai	KEEP	Y	2	Portuguese, Finnish
01208797-n	berkat	KEEP	None	None	None
07997703-n	kategori	KEEP	O	1	Finnish
07838073-n	kuah	KEEP	O	2	Finnish, Japanese
01204294-n	tali	DELETE	O	1	English
14546432-n	kebugaran	KEEP	O	1	Polish
08674970-n	tanah	KEEP	O	1	Polish
03800933-n	alat musik	KEEP	X	5	Slovene, Japanese, Greek, Portuguese, English
80001268-n	benang	KEEP	None	None	None
00184229-a	berikan	KEEP	None	None	None
04074482-n	pengobatan	KEEP	O	1	English
02235666-v	menjual	KEEP	O	1	Greek
00249736-r	di sebelahnya	DELETE	X	None	None
02108654-v	mendapati	DELETE	O	1	English
02418421-v	bermain-main	KEEP	O	1	English
07942152-n	manusia	KEEP	Y	1	Portuguese
05811214-n	bahan pemikiran	KEEP	None	1	English
01642437-v	perkenalkan	KEEP	L	None	None
02701210-v	membawa	DELETE	O	1	Slovene
13971382-n	komunitas	KEEP	None	1	Spanish
07622708-n	pastri	KEEP	None	1	Polish
03147509-n	cangkir	KEEP	O	3	Portuguese, Greek, Polish
03984234-n	porselin	KEEP	None	3	Polish, Finnish, English
01651196-a	ditarik	DELETE	X	1	English
05924920-n	dasar	DELETE	O	1	English
00148869-r	menurut	KEEP	None	1	Portuguese
00036254-a	membuka	KEEP	O	None	None
02616386-v	sebagai	KEEP	None	1	Finnish
02469407-a	mewakili	KEEP	O	None	None
01513776-a	tebal	KEEP	O	None	None
08994090-n	mekkah	KEEP	X	5	Japanese, Greek, Finnish, Portuguese, English
01564144-v	memberi rebah	DELETE	X	2	Greek, Finnish
03665366-n	cahaya	KEEP	Y	1	English
07830690-n	gula	DELETE	O	None	None
15164463-n	jumat	KEEP	O	2	Portuguese, Spanish
01024190-v	sebut	KEEP	Y	1	English
00177547-a	keemasan	KEEP	O	None	None
01284271-v	membuka	KEEP	O	1	Finnish
01579128-a	lepas	DELETE	O	None	None
01675963-v	menghiasi	KEEP	O	1	English
13136556-n	kekacang	DELETE	None	1	English
00367427-n	pembesar	KEEP	None	None	None
09282724-n	busa	KEEP	O	5	Polish, Finnish, Thai, Portuguese, English
10309896-n	penjaja	KEEP	Y	7	Spanish, Polish, Greek, Finnish, Portuguese, Mandarin Chinese, English
90000163-n	sultan mosque	KEEP	None	None	None
01512625-v	tossed	KEEP	None	1	Finnish
01509527-a	kuat	KEEP	Y	1	Greek
09945905-n	teman	KEEP	O	4	Portuguese, Spanish, Finnish, Japanese
05120116-n	terlalu banyak	KEEP	X	None	None
07622708-n	kueh	KEEP	None	1	Polish
01551633-a	ramai	KEEP	O	None	None
06477371-n	kartu	KEEP	O	1	Polish
02491383-v	bersuka ria	KEEP	None	1	Finnish
10440387-n	pemain	KEEP	M	None	None
00004722-r	hanyalah	KEEP	None	1	English
00930290-a	yang mengejutkan	KEEP	X	1	Portuguese
00770437-v	mengalami	DELETE	O	1	English
01205341-n	kolaborasi	KEEP	O	1	Spanish
06518719-n	tiket	KEEP	Y	7	Slovene, Spanish, Japanese, Thai, Portuguese, Mandarin Chinese, English
07561112-n	makan bersukat	DELETE	X	1	Spanish
90000051-n	kew garden restaurant	KEEP	None	None	None
01509066-a	lembut	KEEP	O	None	None
00669762-v	mengemukakan kpd	DELETE	X	1	English
15211484-n	mei	KEEP	None	1	English
02472987-n	orang dari golongan atasan	DELETE	X	1	English
00771632-v	memimpin	DELETE	O	1	Spanish
02876657-n	botolan	KEEP	X	3	Portuguese, Spanish, Polish
08593262-n	bentuk	KEEP	O	1	Portuguese
08009478-n	afiliasi	KEEP	None	None	None
80000337-n	maxwell	KEEP	None	None	None
00546192-v	datang	KEEP	O	1	Finnish
13881644-n	bintang	KEEP	Y	2	Spanish, English
00127948-a	berikut	KEEP	O	None	None
00703708-v	memeriksa	KEEP	O	1	English
07911677-n	cocktail	KEEP	X	2	Spanish, Thai
14051494-n	kesuburan	KEEP	O	1	English
00608668-a	alternatif	KEEP	O	None	None
01380122-v	membuyarkan	DELETE	O	1	English
05750163-n	tren	KEEP	None	2	Greek, Finnish
03095372-a	luar	KEEP	O	None	None
04073547-n	peninggalan	KEEP	O	4	Portuguese, Spanish, English, Slovene
15183428-n	hari libur	KEEP	Y	1	Polish
10058411-n	penikmat	KEEP	None	None	None
02426171-v	buka	KEEP	Y	1	Thai
00352127-a	berubah	KEEP	O	None	None
02297409-v	menawarkan	KEEP	O	1	English
02648847-a	musik	KEEP	None	None	None
02655135-v	ada	KEEP	L	1	Finnish
90000319-n	barongsai	KEEP	None	None	None
07485047-n	nasionalisme	KEEP	O	3	Slovene, Greek, English
00101609-a	tidak mementingkan diri sendiri	KEEP	X	None	None
08377085-n	perjalanan	KEEP	O	1	Greek
80001306-n	Bahasa Minangkabau	KEEP	None	None	None
05913538-n	prinsip	KEEP	O	1	English
03671473-n	jalur	DELETE	O	1	Polish
01714208-v	menampilkan	KEEP	None	1	Slovene
00791227-a	menguasai	KEEP	Y	1	Greek
00144722-r	benar	KEEP	None	1	Finnish
03570709-n	bahan	KEEP	Y	1	Portuguese
00836236-v	menyimbolkan	KEEP	O	1	Slovene
90000184-n	parade chingay	KEEP	None	None	None
01168468-v	isi perut	DELETE	Y	1	English
02702508-v	orang	DELETE	O	1	Finnish
00221985-r	di belakang	KEEP	None	2	Spanish, English
10720453-n	penjual	KEEP	O	1	Finnish
10153414-n	abang	KEEP	None	1	Spanish
01736822-v	direproduksi	KEEP	None	2	Spanish, Serbo-Croatian
15248564-n	masa	KEEP	O	1	Portuguese
01097315-a	lengkapi	KEEP	None	None	None
80001230-x	yah	KEEP	None	None	None
04161358-n	duduk	KEEP	L	1	English
02110552-v	merasa	KEEP	O	1	English
04026417-n	dompet	KEEP	O	1	Portuguese
03299261-n	lainnya	DELETE	None	1	Mandarin Chinese
00181676-r	luar negeri	KEEP	O	None	None
00221985-r	lewat	KEEP	O	2	Spanish, English
09620078-n	penduduk	KEEP	Y	6	Slovene, Polish, Japanese, Finnish, Portuguese, Mandarin Chinese
08569998-n	sawah	KEEP	O	1	English
09260466-n	kristal	KEEP	O	1	English
90000225-n	makansutra singapore	KEEP	None	None	None
13736799-n	bagian	KEEP	None	1	Portuguese
01148283-a	senang	KEEP	O	1	Japanese
02627934-v	membawa	DELETE	O	1	English
15122231-n	era	KEEP	O	1	English
10097705-n	penjual bunga	KEEP	X	None	None
00973192-a	bersuasana	KEEP	None	None	None
15166191-n	sore hari	KEEP	X	9	Slovene, Polish, Japanese, Greek, Finnish, Thai, Portuguese, Mandarin Chinese, English
02193194-v	merasakan	KEEP	O	1	Finnish
02632940-v	termasuk	KEEP	Y	1	Slovene
00331082-v	menggiling	KEEP	Y	1	Mandarin Chinese
02333689-v	menaruh	DELETE	O	1	English
00161243-n	pemilihan	KEEP	O	1	English
06197215-n	tujuan	KEEP	Y	1	Spanish
05869584-n	semua	KEEP	L	1	Spanish
13777764-n	tempat	KEEP	O	1	Spanish
08642632-n	kehadiran	KEEP	O	5	Slovene, Spanish, Finnish, Portuguese, English
03111296-n	renda	KEEP	O	None	None
00430606-n	permainan	KEEP	Y	2	Finnish, English
00144722-r	tentu	KEEP	O	1	Finnish
01015310-n	panen	KEEP	O	4	Portuguese, Spanish, English, Japanese
02297948-v	menawarkan	KEEP	O	1	English
00010466-r	sepenuh	KEEP	L	1	Finnish
01148283-a	berbahagia	KEEP	Y	1	Japanese
01737141-v	meniru	KEEP	O	1	Finnish
03819595-n	rangkaian	KEEP	O	1	Portuguese
80001270-v	tiada	DELETE	None	None	None
01123879-s	sangat baik	KEEP	None	1	English
00407535-n	kegiatan	KEEP	O	1	Polish
90000069-n	Mr Teo	KEEP	None	None	None
02431728-a	kelelahan	KEEP	None	None	None
10480018-n	produser	KEEP	Y	1	Finnish
00100543-n	interpretasi	KEEP	O	1	Finnish
00476249-a	luas	KEEP	O	None	None
05074774-n	keadaan	DELETE	O	1	Greek
00948670-a	dalam	KEEP	X	1	Finnish
00795632-v	memesan	KEEP	None	1	Portuguese
01157517-v	menyapu bersih	DELETE	X	1	English
01560583-v	cacah	KEEP	L	None	None
08702805-n	negara amerika utara	KEEP	X	None	None
05563266-n	kaki	KEEP	Y	1	Polish
02517817-a	tersembunyi	KEEP	O	None	None
00375021-v	rebus	KEEP	O	3	Spanish, Greek, English
01821132-v	tercekam	KEEP	None	None	None
00522751-v	terima	DELETE	O	1	English
00141632-v	ikat	KEEP	Y	2	Finnish, English
00674607-v	buat pilihan	DELETE	X	1	Finnish
15119919-n	sekarang?	KEEP	None	None	None
02735688-n	lapangan	KEEP	O	1	Spanish
02699941-v	selayak	KEEP	None	None	None
02327200-v	menyediakan	KEEP	Y	1	Finnish
00583461-n	spesialisasi	KEEP	O	None	None
01884930-a	aman	KEEP	O	None	None
01494310-v	letakkan	KEEP	X	1	English
10099375-n	penganut	KEEP	O	1	Finnish
05750163-n	tempo	KEEP	Y	2	Greek, Finnish
02440691-a	bawah	KEEP	O	None	None
07808904-n	daun mint	KEEP	X	None	None
02203168-v	memelihara	KEEP	O	1	English
02336449-a	tidak cukup	KEEP	X	1	Finnish
02530167-v	mencoba	KEEP	O	2	Portuguese, Spanish
90000149-n	new majestic hotel	KEEP	None	None	None
01664172-v	bercadang	DELETE	O	1	Finnish
04710127-n	kerasnya	KEEP	X	None	None
01494310-v	memasukkan	KEEP	O	1	English
07614500-n	ice-cream	KEEP	None	1	Japanese
80001374-n	jeruk purut	KEEP	None	None	None
09984659-n	pembeli	KEEP	Y	1	English
07025900-n	klasik	KEEP	Y	1	English
01038666-v	bercakap-cakap	KEEP	O	3	Portuguese, Finnish, English
02687385-v	menemani ke	DELETE	X	1	Finnish
07933274-n	teh	KEEP	Y	1	Spanish
00047392-r	begitu	KEEP	O	2	Finnish, Thai
01156834-v	menelan	DELETE	O	1	English
90000076-n	Pastikan Anda	KEEP	None	None	None
00068901-n	pelanggaran	KEEP	O	1	Portuguese
13386465-n	tunai	KEEP	O	1	English
80001116-n	krupuk udang	KEEP	None	None	None
13275288-n	biaya	KEEP	O	1	Japanese
06372680-n	legenda	KEEP	O	1	Arabic
01002740-v	mengarik	DELETE	O	1	English
06371413-n	legenda	KEEP	O	1	Japanese
02701210-v	memasukkan	DELETE	O	1	Slovene
00936297-a	bekas	KEEP	O	None	None
00884466-n	kelas	KEEP	Y	1	Polish
07814634-n	cumin	KEEP	None	1	Finnish
00025290-r	ke mana	DELETE	X	None	None
01409581-a	bagai	KEEP	O	1	Polish
02649830-v	hidup	KEEP	O	1	English
13659760-n	10	KEEP	None	None	None
00965606-a	sudah tahu	DELETE	X	1	English
00013887-a	banyak	KEEP	Y	1	Slovene
01755024-a	abadi	KEEP	Y	None	None
00212604-r	sangat	KEEP	L	None	None
02790726-a	desa	KEEP	Y	4	Slovene, Polish, English, Thai
03876519-n	lukisan	KEEP	Y	1	Spanish
13955461-n	yang sebenarnya	KEEP	X	1	Polish
13809207-n	bagian	KEEP	Y	1	Mandarin Chinese
08672738-n	desa	KEEP	O	1	Portuguese
01078783-v	menghadapi	KEEP	Y	1	English
02627934-v	mengajak	DELETE	O	1	English
00599992-v	menyelidik	DELETE	O	1	Arabic
04161981-n	tempat duduk	KEEP	X	1	English
00101323-r	jauh	KEEP	Y	1	Japanese
00770437-v	meminta	DELETE	O	1	English
08431437-n	sederetan	KEEP	X	1	Polish
02346895-v	ikuti	KEEP	X	1	Slovene
00415676-n	jalan	KEEP	Y	1	Spanish
01427127-v	mengesex	DELETE	X	1	English
05870055-n	salah satu	KEEP	None	1	English
01462005-v	mengarun	DELETE	O	2	Greek, English
00087423-n	hibah	KEEP	None	None	None
10801291-n	penulis	KEEP	O	1	Japanese
00144722-r	pasti	KEEP	Y	1	Finnish
09449510-n	jalur	KEEP	O	1	Greek
90000104-n	south bridge road	KEEP	None	None	None
06359193-n	situs web	KEEP	X	2	Polish, Japanese
00017445-r	sampai	KEEP	None	2	Finnish, English
00212604-r	pernah	DELETE	O	None	None
15162388-n	festival	KEEP	None	1	Spanish
15246853-n	sejenak	KEEP	O	1	Portuguese
03388043-n	air mancur	KEEP	None	2	Portuguese, Spanish
90000170-n	universal studios	KEEP	None	None	None
02009433-v	meninggalkan	KEEP	O	1	Spanish
08494133-n	suasana	KEEP	O	1	Portuguese
08060446-n	pembuat	KEEP	O	1	Spanish
01905653-a	bening	KEEP	O	2	Slovene, Finnish
00232600-r	sayup-sayup	KEEP	None	None	None
15201505-n	tahun	KEEP	O	2	Portuguese, Spanish
01020356-v	menuliskan	KEEP	O	1	Spanish
06624161-n	surat	KEEP	Y	1	Portuguese
14524849-n	suasana	KEEP	O	1	Polish
06373314-n	jalan cerita	KEEP	X	1	Japanese
02686471-v	menyeret	DELETE	O	1	Spanish
80002045-n	katong laksa	KEEP	None	None	None
08166318-n	pengadilan	KEEP	O	2	Slovene, Finnish
01737923-v	cipta	KEEP	None	None	None
13810141-n	bagian	KEEP	None	None	None
05682950-n	minat	KEEP	O	8	Slovene, Spanish, Polish, Japanese, Greek, Finnish, Portuguese, English
15138903-n	bulan madu	KEEP	O	None	None
04980463-n	wangi	KEEP	O	2	Polish, English
02328559-a	keras hati	KEEP	None	None	None
00194924-a	mengerikan	KEEP	O	None	None
01151110-v	meluwengkan	DELETE	O	1	Finnish
02188913-a	26	KEEP	None	None	None
10677271-n	pemasoknya	KEEP	X	1	Finnish
01462005-v	lakur	DELETE	O	2	Greek, English
10290541-n	maniak	KEEP	None	None	None
04981941-n	suara	KEEP	O	1	English
00342812-v	terdapat	KEEP	O	1	Finnish
02586619-v	berkuasa	KEEP	Y	1	English
14526182-n	suasana	KEEP	Y	1	English
01733477-v	diadakannya	KEEP	None	1	English
15256714-n	ronde	KEEP	O	1	English
80000689-n	centrepoint	KEEP	None	None	None
06799897-n	rangka	DELETE	O	1	Arabic
13961399-n	kehidupan	KEEP	Y	1	English
09263811-n	dalam	DELETE	O	1	Thai
11252222-n	raffles	KEEP	None	None	None
01052248-a	wangi	KEEP	O	5	Spanish, Polish, Thai, Portuguese, English
90000176-n	dewa krishna	KEEP	None	None	None
00342812-v	tersedia	KEEP	O	1	Finnish
90000017-n	Chinatown Food Street	KEEP	None	None	None
05416198-n	air liur	KEEP	O	1	English
05936561-n	paduan	KEEP	O	2	Finnish, English
76100092-x	laras	KEEP	None	None	None
01676517-a	menakjubkan	KEEP	O	None	None
05840188-n	sejenis	KEEP	None	1	Spanish
01844431-v	persinggahan	KEEP	None	1	Portuguese
10078806-n	petani	KEEP	Y	1	Finnish
08399818-n	pilihan	KEEP	O	1	Spanish
07060976-n	jazz	KEEP	None	None	None
00442669-r	eceran	KEEP	O	1	English
02207206-v	berbelanja	KEEP	O	1	English
01456710-a	tepu	DELETE	O	1	English
01904930-v	berjalan	KEEP	Y	2	Mandarin Chinese, English
02020590-v	tiba	DELETE	O	2	Spanish, Finnish
01969150-a	tahunan	KEEP	Y	None	None
13910384-n	ruangan	KEEP	Y	1	Spanish
00520257-n	pertunjukan	KEEP	O	1	English
15278281-n	frekuensi	KEEP	Y	2	Finnish, English
00394813-v	membancuh	DELETE	Y	1	Finnish
09405949-n	sungai merah	DELETE	X	1	English
90000198-n	sri warisan	KEEP	None	None	None
09772029-n	remaja	KEEP	Y	1	Mandarin Chinese
02876657-n	botol	KEEP	Y	3	Portuguese, Spanish, Polish
03432972-n	permata	KEEP	L	2	Spanish, English
