synset	lemma	annotation	goodness label	confidence	language	prediction label
02428924-v	kumpul	KEEP	O	4	Mandarin Chinese, Finnish, English, Japanese	KEEP
01796452-a	fantastis	KEEP	None	None	None	KEEP
07557434-n	lauk	KEEP	Y	1	Thai	KEEP
01150981-v	mengajukan	KEEP	O	1	Mandarin Chinese	KEEP
00402419-a	berwarna-warni	KEEP	Y	None	None	KEEP
80000811-n	chu	KEEP	None	None	None	KEEP
90000083-n	Pulau Sentosa	KEEP	None	None	None	KEEP
01651293-v	dilanjutkan	KEEP	None	1	Japanese	KEEP
02868489-a	akustik	KEEP	O	None	None	KEEP
04346328-n	stupa	KEEP	O	None	None	KEEP
02930766-n	taksi	KEEP	O	2	Spanish, Polish	KEEP
00330506-a	tengah	KEEP	O	None	None	KEEP
07499615-n	keramahan	KEEP	O	None	None	KEEP
00669762-v	membutuhkan	DELETE	O	1	English	DELETE
00922228-a	memabukkan	KEEP	O	None	None	KEEP
02472987-n	insan	KEEP	None	1	English	KEEP
07804323-n	bachang	KEEP	None	1	English	KEEP
01807882-v	terpikat	KEEP	Y	1	Japanese	KEEP
00312553-n	perjalanan	KEEP	O	1	Spanish	KEEP
01348174-v	mengunci	KEEP	Y	1	Spanish	KEEP
02020590-v	menubruk	DELETE	O	2	Spanish, Finnish	KEEP
90000448-n	pappadam	KEEP	None	None	None	KEEP
02686471-v	membawa	DELETE	O	1	Spanish	KEEP
00060632-r	sebelum	KEEP	None	1	Japanese	KEEP
08972920-n	auckland	KEEP	None	None	None	KEEP
80000468-n	es kacang	KEEP	None	None	None	KEEP
07965085-n	badan	KEEP	O	1	Arabic	KEEP
02627934-v	makan	DELETE	O	1	English	DELETE
02701210-v	mengisi	DELETE	O	1	Slovene	KEEP
00402419-a	beraneka warna	KEEP	None	None	None	KEEP
13809207-n	sebagian	KEEP	O	1	Mandarin Chinese	KEEP
01266841-a	riuh	KEEP	Y	None	None	KEEP
07020538-n	tari	KEEP	Y	2	Portuguese, Spanish	KEEP
13767239-n	gelas	KEEP	O	1	Thai	KEEP
02713594-n	sayap	KEEP	X	1	Finnish	KEEP
01999218-v	membawa	DELETE	O	1	Arabic	KEEP
08704409-n	kandahar	KEEP	None	None	None	KEEP
04344246-n	studio	KEEP	Y	None	None	KEEP
03671668-n	talian	DELETE	None	2	Polish, English	KEEP
90000217-n	marina bay	KEEP	None	None	None	KEEP
04557648-n	bohongan	DELETE	X	None	None	KEEP
90000422-n	dragon boat	KEEP	None	None	None	KEEP
02233704-v	download	KEEP	None	1	Portuguese	KEEP
01824736-v	mahu	DELETE	None	1	Portuguese	KEEP
10677713-n	pedukung	KEEP	None	1	Finnish	KEEP
00425071-v	bermunculan	KEEP	Y	1	Slovene	KEEP
00901826-a	utama	KEEP	O	None	None	KEEP
03405725-n	mebel	KEEP	O	8	Slovene, Spanish, Greek, Finnish, Thai, Portuguese, Mandarin Chinese, English	KEEP
05677504-n	rasa	KEEP	O	2	Portuguese, Spanish	KEEP
07753592-n	pisang	KEEP	Y	1	English	KEEP
03800563-n	chinatown heritage centre	KEEP	None	None	None	KEEP
00201407-v	mengubah	KEEP	O	1	Finnish	KEEP
02247390-v	bawa	KEEP	O	1	Spanish	KEEP
08430203-n	barisan	KEEP	Y	1	Portuguese	KEEP
00950592-a	isi	DELETE	O	None	None	KEEP
02466132-n	sirip	KEEP	O	5	Polish, Greek, Finnish, Thai, English	KEEP
00016350-s	penuh sesak	KEEP	None	None	None	KEEP
00331446-a	tepi	KEEP	O	3	Portuguese, Finnish, English	KEEP
02838728-n	ujung	KEEP	O	1	English	KEEP
02599636-v	mengambil	KEEP	O	1	Portuguese	KEEP
00079107-r	niscaya	KEEP	None	1	Finnish	KEEP
03649459-n	pengadilan	KEEP	L	1	Portuguese	KEEP
00743344-v	hubungilah	KEEP	None	None	None	KEEP
01771535-v	rasakanlah	KEEP	X	1	English	DELETE
00253761-v	berkembang	KEEP	O	1	English	DELETE
09385137-n	racikan	KEEP	O	1	Thai	KEEP
02269286-a	segala	KEEP	Y	3	Spanish, Finnish, English	KEEP
01505254-v	didatangi	KEEP	None	1	English	KEEP
02684924-v	berlanjut	KEEP	O	1	English	DELETE
05129565-n	jauhnya	KEEP	None	1	Arabic	KEEP
10243664-n	lama	KEEP	O	1	Finnish	KEEP
02608347-v	dijelajahi	KEEP	None	5	Spanish, Greek, Finnish, Portuguese, English	KEEP
07804323-n	padi	DELETE	Y	1	English	KEEP
02614181-v	kelihatan	DELETE	O	1	Finnish	KEEP
02620587-v	berbahan	DELETE	X	1	Finnish	KEEP
02394183-v	berhasil	DELETE	O	1	English	DELETE
02737876-v	termasuk	DELETE	O	1	Slovene	KEEP
13952171-n	yang benar	KEEP	X	1	Japanese	KEEP
08876975-n	manchester	KEEP	None	None	None	KEEP
80001116-n	keropok	DELETE	None	None	None	KEEP
01617192-v	membuat	KEEP	O	1	Finnish	KEEP
01020885-a	cocok	KEEP	O	None	None	KEEP
01637982-v	menemukan	KEEP	Y	1	English	KEEP
05816287-n	ilmu	KEEP	O	3	Slovene, Finnish, Thai	KEEP
01667132-v	membetulkan	KEEP	O	2	Portuguese, Mandarin Chinese	KEEP
02207206-v	belilah	KEEP	None	1	English	KEEP
02397496-a	pedas	KEEP	O	None	None	KEEP
02378623-v	memberikan reaksi	DELETE	X	1	Mandarin Chinese	KEEP
00004722-r	hanya	KEEP	Y	1	English	KEEP
09786585-n	penggemar	KEEP	Y	4	Portuguese, Polish, English, Thai	KEEP
02186470-a	2	KEEP	None	None	None	KEEP
02347220-v	gadaikan	KEEP	None	None	None	KEEP
01183573-v	memuaskan	KEEP	O	1	English	DELETE
00085512-r	khusus	KEEP	O	None	None	KEEP
02415390-a	pekat	KEEP	Y	1	Finnish	KEEP
03191029-n	dadu	KEEP	O	None	None	KEEP
01714208-v	dibawakan	KEEP	X	1	Slovene	KEEP
03786901-n	alu	KEEP	None	6	Slovene, Spanish, Polish, Japanese, Portuguese, English	KEEP
02679227-v	mulai	KEEP	O	4	Greek, Finnish, English, Japanese	KEEP
01409581-a	sebagai	KEEP	O	1	Polish	KEEP
01158181-v	melindangkan	DELETE	O	1	Finnish	KEEP
00263463-a	gagah	KEEP	O	None	None	KEEP
00238022-n	hal memperkenalkan seseorang	DELETE	X	3	Portuguese, Spanish, English	KEEP
05301908-n	mulut	KEEP	O	1	Portuguese	KEEP
02905036-n	panggangan	KEEP	O	None	None	KEEP
09991026-n	lelaki	DELETE	O	1	English	KEEP
00751567-v	memaksakan	DELETE	O	2	Mandarin Chinese, Thai	KEEP
00341560-v	melalui	KEEP	O	1	English	DELETE
01434717-a	jauh	KEEP	O	None	None	KEEP
08068375-n	bollywood	KEEP	X	None	None	KEEP
80001130-n	dia	KEEP	None	None	None	KEEP
00153263-v	menambahkan	KEEP	Y	1	Japanese	KEEP
08593262-n	leluhur	DELETE	O	1	Portuguese	KEEP
01052248-a	semerbak	KEEP	O	5	Spanish, Polish, Thai, Portuguese, English	KEEP
09792555-n	leluhur	KEEP	Y	1	English	KEEP
00022829-r	sekali	KEEP	O	None	None	KEEP
00196122-a	mendebarkan	KEEP	O	None	None	KEEP
00756076-v	memakan	KEEP	None	1	Finnish	KEEP
04152829-n	layar	KEEP	Y	1	Spanish	KEEP
13323988-n	biaya kuliah	KEEP	X	None	None	KEEP
07776866-n	makanan laut	KEEP	O	None	None	KEEP
03748162-n	outlet	KEEP	None	None	None	KEEP
02546467-v	akui	KEEP	X	1	Finnish	KEEP
13926786-n	suatu situasi tertentu	DELETE	X	1	Greek	KEEP
08462320-n	data	KEEP	O	1	English	KEEP
01466543-v	menghiasi	KEEP	O	1	English	DELETE
08627919-n	kawasan	KEEP	O	1	Japanese	KEEP
01824736-v	mengasyiki	DELETE	O	1	Portuguese	KEEP
07644967-n	chicken	KEEP	None	1	English	KEEP
00350104-v	melanjutkan	KEEP	None	4	Greek, Finnish, English, Serbo-Croatian	KEEP
02201644-v	membagikan	KEEP	None	1	Mandarin Chinese	KEEP
00756076-v	mengangkat	DELETE	O	1	Finnish	KEEP
07644967-n	chiken	KEEP	None	1	English	KEEP
01953297-a	sangat halus	KEEP	X	None	None	KEEP
01565921-v	menelan habis	DELETE	X	1	Finnish	KEEP
07585208-n	kaldu	KEEP	O	1	English	KEEP
90000032-n	kari kepala ikan	KEEP	None	None	None	KEEP
01157517-v	meleburkan	DELETE	O	1	English	DELETE
03631177-n	les	KEEP	O	1	Portuguese	KEEP
10061656-n	lezat	KEEP	None	None	None	KEEP
00031899-r	amat	KEEP	L	1	Finnish	KEEP
00610167-v	lupakan	KEEP	X	7	Slovene, Spanish, Japanese, Greek, Finnish, Portuguese, English	KEEP
01188725-v	mensyaratkan	DELETE	O	8	Slovene, Spanish, Greek, Finnish, Portuguese, Mandarin Chinese, English, Serbo-Croatian	KEEP
07583197-n	soto	KEEP	None	1	Finnish	KEEP
04961691-n	abu-abu	KEEP	O	4	Portuguese, Finnish, English, Japanese	KEEP
02973558-n	ukiran	KEEP	O	3	Portuguese, Finnish, Japanese	KEEP
04928903-n	cara	KEEP	O	1	English	KEEP
02306763-a	seru	KEEP	None	None	None	KEEP
00765213-v	menenangkan	KEEP	O	None	None	KEEP
00283568-n	jalan-jalan	KEEP	X	4	Slovene, Finnish, English, Japanese	KEEP
07856270-n	pasta	KEEP	None	1	Polish	KEEP
07048000-n	nyanyian	KEEP	O	1	Slovene	KEEP
02020590-v	terkena	DELETE	O	2	Spanish, Finnish	KEEP
14589223-n	larutan	KEEP	O	1	Portuguese	KEEP
03800933-n	instrumen	KEEP	X	5	Slovene, Japanese, Greek, Portuguese, English	KEEP
00637259-v	hitung	KEEP	O	1	Finnish	KEEP
04728068-n	berkualitas	KEEP	Y	1	Mandarin Chinese	KEEP
01027174-v	melampir	DELETE	X	1	Finnish	KEEP
01572831-a	bohongan	KEEP	None	None	None	KEEP
01982957-a	bergengsi	KEEP	None	None	None	KEEP
13713003-n	barisan	DELETE	O	1	Japanese	KEEP
08383909-n	bisnis keluarga	KEEP	None	None	None	KEEP
02696795-a	sinematik	KEEP	None	None	None	KEEP
01052428-a	aromatik	KEEP	None	None	None	KEEP
09347779-n	rawa	KEEP	O	4	Slovene, Greek, Finnish, English	KEEP
05416198-n	liur	KEEP	O	1	English	KEEP
02140033-v	pamerkan	KEEP	X	1	English	DELETE
01825237-v	ingin	KEEP	Y	3	Slovene, Mandarin Chinese, Thai	KEEP
08477634-n	wanita	KEEP	O	1	Portuguese	KEEP
01180351-v	disediakan	KEEP	None	1	Finnish	KEEP
07601999-n	chocolate	KEEP	None	7	Slovene, Polish, Japanese, Greek, Finnish, Mandarin Chinese, English	KEEP
07526757-n	kegembiraan	KEEP	O	1	Japanese	KEEP
02529945-a	sejuk	KEEP	Y	1	Spanish	KEEP
00120316-v	pusatnya—menjadikan	KEEP	None	1	English	KEEP
02189398-v	dapat	DELETE	O	1	English	DELETE
01781478-a	saleh	KEEP	O	2	Portuguese, Finnish	KEEP
13265011-n	oleh	KEEP	None	1	Portuguese	KEEP
14474264-n	berkat	KEEP	O	1	Finnish	KEEP
09540430-n	peri	KEEP	O	1	Finnish	KEEP
02727462-v	yang masih ada	KEEP	None	1	Finnish	KEEP
90000003-n	armani exchange	KEEP	None	None	None	KEEP
03788195-n	mesjid	KEEP	O	6	Polish, Japanese, Finnish, Portuguese, Mandarin Chinese, English	KEEP
01919931-a	ramai	KEEP	O	2	Finnish, English	KEEP
01985923-v	jatuh	KEEP	O	1	Thai	KEEP
01815838-a	populer	KEEP	O	1	English	KEEP
10323182-n	misionaris	KEEP	None	6	Slovene, Polish, Japanese, Finnish, Portuguese, English	KEEP
07279687-n	pesanan	KEEP	Y	1	Finnish	KEEP
01084644-a	dipenuhi	KEEP	X	None	None	KEEP
00183053-a	ada	KEEP	O	None	None	KEEP
00102736-r	dulu	KEEP	None	1	Portuguese	KEEP
00034574-n	kebaikan	KEEP	O	1	Portuguese	KEEP
00885217-v	terikat	KEEP	O	1	Slovene	KEEP
01862386-a	ekskusif	KEEP	None	1	Finnish	KEEP
00948985-a	sebelah dalam	DELETE	X	None	None	KEEP
02690081-n	airlines	KEEP	None	7	Spanish, Japanese, Greek, Finnish, Thai, Mandarin Chinese, English	KEEP
00751838-a	elegan	KEEP	O	None	None	KEEP
02238085-v	dapat	DELETE	Y	1	Slovene	KEEP
02511528-a	buas	KEEP	Y	None	None	KEEP
07509996-n	heran	KEEP	None	1	Spanish	KEEP
07942152-n	umat	KEEP	Y	1	Portuguese	KEEP
02479323-v	mengeluarkan	DELETE	O	1	Mandarin Chinese	KEEP
15164570-n	sabtu	KEEP	O	2	Spanish, Finnish	KEEP
02741546-v	jadi	DELETE	O	1	Japanese	KEEP
02118933-v	melihat	KEEP	O	1	Spanish	KEEP
00522751-v	mendapatkan	KEEP	O	1	English	DELETE
08431942-n	baris	KEEP	O	1	Portuguese	KEEP
01027174-v	pembekalan	DELETE	Y	1	Finnish	KEEP
00394813-v	bergabung	DELETE	O	1	Finnish	KEEP
02559752-v	menjegal	KEEP	O	1	English	DELETE
02664769-v	insan	DELETE	O	1	Finnish	KEEP
00037226-r	yang benar	KEEP	None	1	Japanese	KEEP
02697725-v	manusia	DELETE	O	1	Finnish	KEEP
07663592-n	daging sapi	KEEP	X	1	Thai	KEEP
01928838-v	melangkahkan	KEEP	Y	4	Slovene, Greek, Finnish, English	KEEP
01999798-v	menunjukkan arah	DELETE	X	2	Portuguese, Spanish	KEEP
07557434-n	masakan	KEEP	O	1	Thai	KEEP
07051185-n	blues	KEEP	O	None	None	KEEP
90000311-n	Hari Waisak	KEEP	None	None	None	KEEP
00724832-v	mengagumkan	KEEP	O	3	Portuguese, Finnish, Slovene	KEEP
00041954-r	secara umum	KEEP	L	5	Spanish, Japanese, Finnish, English, Serbo-Croatian	KEEP
01168468-v	memakan	KEEP	O	1	English	DELETE
08641113-n	kawasan sekitar	DELETE	X	1	Portuguese	KEEP
77000092-n	apa	KEEP	None	None	None	KEEP
02596462-a	berkulit	KEEP	O	None	None	KEEP
03691817-n	lounge	KEEP	X	None	None	KEEP
06601327-n	implikasi	KEEP	Y	1	Greek	KEEP
03313602-n	wajah	KEEP	O	1	Mandarin Chinese	KEEP
02129289-v	dilihat	DELETE	X	1	Arabic	KEEP
08616311-n	jalanan	KEEP	O	1	Portuguese	KEEP
10112129-n	biksu	KEEP	Y	1	Thai	KEEP
04930478-n	peraturan	DELETE	O	1	Japanese	KEEP
00542120-v	jadi	KEEP	None	2	Finnish, English	KEEP
00979366-a	cepat	KEEP	O	None	None	KEEP
00097504-n	eksekusi	KEEP	None	1	Portuguese	KEEP
02437136-n	unta	KEEP	O	8	Slovene, Polish, Japanese, Greek, Finnish, Thai, Portuguese, English	KEEP
00763901-a	langsung	KEEP	O	2	Finnish, Thai	KEEP
01467370-v	mengelilingi	KEEP	Y	1	Arabic	KEEP
00494409-a	masing	KEEP	None	None	None	KEEP
90000014-n	chilli crab	KEEP	None	None	None	KEEP
77000012-n	saya	KEEP	None	None	None	KEEP
01014251-a	menengah	KEEP	O	3	Spanish, Polish, English	KEEP
02363597-v	bertema	KEEP	O	1	English	DELETE
01063695-v	mengajak	KEEP	O	4	Slovene, Greek, Spanish, English	KEEP
80000843-n	tikka	KEEP	None	None	None	KEEP
02020590-v	menggetok	DELETE	O	2	Spanish, Finnish	KEEP
01400562-a	hukum	KEEP	None	1	English	KEEP
05129565-n	berjarak	DELETE	Y	1	Arabic	KEEP
01139194-n	permit	KEEP	None	1	Japanese	KEEP
00586262-n	keadaan	DELETE	O	1	English	KEEP
10399491-n	orangtua	KEEP	None	1	Portuguese	KEEP
02126430-a	bertempat	KEEP	O	None	None	KEEP
00597385-v	memahami sepenuhnya	KEEP	X	2	Finnish, English	KEEP
00714944-n	kerajinan	KEEP	L	1	Finnish	KEEP
00204391-v	merosot	KEEP	O	1	Spanish	KEEP
02684924-v	berlangsung	KEEP	O	1	English	DELETE
10734394-n	kembar	KEEP	Y	2	Portuguese, Polish	KEEP
05693919-n	dukungan	KEEP	L	2	English, Japanese	KEEP
01378556-v	tersebar	KEEP	O	3	Portuguese, Finnish, English	KEEP
04683814-n	keindahan	KEEP	O	1	English	KEEP
00350104-v	lanjutkan	KEEP	None	4	Greek, Finnish, English, Serbo-Croatian	KEEP
15136453-n	hari	KEEP	O	1	Arabic	KEEP
01471848-a	dewasa	KEEP	Y	1	English	KEEP
00491511-a	unik	KEEP	L	None	None	KEEP
07433145-n	pusaran air	KEEP	L	1	Portuguese	KEEP
80001614-n	bas ekspres	KEEP	None	None	None	KEEP
15119919-n	kini	KEEP	O	None	None	KEEP
02402825-v	memperhentikan	DELETE	O	1	Spanish	KEEP
01829292-v	membara	KEEP	O	1	English	DELETE
06892534-n	beramal	KEEP	None	None	None	KEEP
15235126-n	saat	DELETE	Y	1	Slovene	KEEP
00048374-n	tiba	KEEP	O	8	Slovene, Spanish, Japanese, Greek, Finnish, Thai, Portuguese, English	KEEP
02233704-v	diunduh	KEEP	X	1	Portuguese	KEEP
00148540-r	secara	KEEP	O	None	None	KEEP
02655135-v	terdapatlah	KEEP	None	1	Finnish	KEEP
00784342-v	meminta	KEEP	O	1	Slovene	KEEP
03485997-n	pegangan	KEEP	O	1	Japanese	KEEP
02359464-a	menakjubkan	KEEP	Y	None	None	KEEP
00876442-v	konsultasi	KEEP	None	2	Portuguese, English	KEEP
00065359-r	besar	KEEP	O	None	None	KEEP
00331446-a	pinggir	KEEP	O	3	Portuguese, Finnish, English	KEEP
02512150-v	distrik	KEEP	L	None	None	KEEP
00363788-n	tambahan	KEEP	O	1	Greek	KEEP
02986757-n	catwalk	KEEP	None	None	None	KEEP
07966719-n	sektor	KEEP	O	3	Portuguese, Finnish, English	KEEP
07718472-n	ketimun	KEEP	Y	1	Finnish	KEEP
02741546-v	muat	DELETE	O	1	Japanese	KEEP
00639849-v	membeli	DELETE	O	1	English	DELETE
02339413-v	lengkapi	KEEP	X	1	Portuguese	KEEP
00094001-n	penyelamatan	KEEP	O	1	Japanese	KEEP
00770437-v	mengadakan	DELETE	O	1	English	DELETE
08642331-n	lingkungan	KEEP	O	1	English	KEEP
07557434-n	hokkien mee	KEEP	None	1	Thai	KEEP
00734054-v	mengambil	KEEP	O	1	Finnish	KEEP
07840804-n	telur	KEEP	Y	1	English	KEEP
00117620-r	kemudian	KEEP	O	1	Portuguese	KEEP
07625493-n	pai	KEEP	Y	2	Portuguese, Finnish	KEEP
01208797-n	berkat	KEEP	None	None	None	KEEP
07997703-n	kategori	KEEP	O	1	Finnish	KEEP
07838073-n	kuah	KEEP	O	2	Finnish, Japanese	KEEP
01204294-n	tali	DELETE	O	1	English	KEEP
14546432-n	kebugaran	KEEP	O	1	Polish	KEEP
08674970-n	tanah	KEEP	O	1	Polish	KEEP
03800933-n	alat musik	KEEP	X	5	Slovene, Japanese, Greek, Portuguese, English	KEEP
80001268-n	benang	KEEP	None	None	None	KEEP
00184229-a	berikan	KEEP	None	None	None	KEEP
04074482-n	pengobatan	KEEP	O	1	English	KEEP
02235666-v	menjual	KEEP	O	1	Greek	KEEP
00249736-r	di sebelahnya	DELETE	X	None	None	KEEP
02108654-v	mendapati	DELETE	O	1	English	DELETE
02418421-v	bermain-main	KEEP	O	1	English	DELETE
07942152-n	manusia	KEEP	Y	1	Portuguese	KEEP
05811214-n	bahan pemikiran	KEEP	None	1	English	KEEP
01642437-v	perkenalkan	KEEP	L	None	None	KEEP
02701210-v	membawa	DELETE	O	1	Slovene	KEEP
13971382-n	komunitas	KEEP	None	1	Spanish	KEEP
07622708-n	pastri	KEEP	None	1	Polish	KEEP
03147509-n	cangkir	KEEP	O	3	Portuguese, Greek, Polish	KEEP
03984234-n	porselin	KEEP	None	3	Polish, Finnish, English	KEEP
01651196-a	ditarik	DELETE	X	1	English	KEEP
05924920-n	dasar	DELETE	O	1	English	KEEP
00148869-r	menurut	KEEP	None	1	Portuguese	KEEP
00036254-a	membuka	KEEP	O	None	None	KEEP
02616386-v	sebagai	KEEP	None	1	Finnish	KEEP
02469407-a	mewakili	KEEP	O	None	None	KEEP
01513776-a	tebal	KEEP	O	None	None	KEEP
08994090-n	mekkah	KEEP	X	5	Japanese, Greek, Finnish, Portuguese, English	KEEP
01564144-v	memberi rebah	DELETE	X	2	Greek, Finnish	KEEP
03665366-n	cahaya	KEEP	Y	1	English	KEEP
07830690-n	gula	DELETE	O	None	None	KEEP
15164463-n	jumat	KEEP	O	2	Portuguese, Spanish	KEEP
01024190-v	sebut	KEEP	Y	1	English	KEEP
00177547-a	keemasan	KEEP	O	None	None	KEEP
01284271-v	membuka	KEEP	O	1	Finnish	KEEP
01579128-a	lepas	DELETE	O	None	None	KEEP
01675963-v	menghiasi	KEEP	O	1	English	DELETE
13136556-n	kekacang	DELETE	None	1	English	KEEP
00367427-n	pembesar	KEEP	None	None	None	KEEP
09282724-n	busa	KEEP	O	5	Polish, Finnish, Thai, Portuguese, English	KEEP
10309896-n	penjaja	KEEP	Y	7	Spanish, Polish, Greek, Finnish, Portuguese, Mandarin Chinese, English	KEEP
90000163-n	sultan mosque	KEEP	None	None	None	KEEP
01512625-v	tossed	KEEP	None	1	Finnish	KEEP
01509527-a	kuat	KEEP	Y	1	Greek	KEEP
09945905-n	teman	KEEP	O	4	Portuguese, Spanish, Finnish, Japanese	KEEP
05120116-n	terlalu banyak	KEEP	X	None	None	KEEP
07622708-n	kueh	KEEP	None	1	Polish	KEEP
01551633-a	ramai	KEEP	O	None	None	KEEP
06477371-n	kartu	KEEP	O	1	Polish	KEEP
02491383-v	bersuka ria	KEEP	None	1	Finnish	KEEP
10440387-n	pemain	KEEP	M	None	None	KEEP
00004722-r	hanyalah	KEEP	None	1	English	KEEP
00930290-a	yang mengejutkan	KEEP	X	1	Portuguese	KEEP
00770437-v	mengalami	DELETE	O	1	English	DELETE
01205341-n	kolaborasi	KEEP	O	1	Spanish	KEEP
06518719-n	tiket	KEEP	Y	7	Slovene, Spanish, Japanese, Thai, Portuguese, Mandarin Chinese, English	KEEP
07561112-n	makan bersukat	DELETE	X	1	Spanish	KEEP
90000051-n	kew garden restaurant	KEEP	None	None	None	KEEP
01509066-a	lembut	KEEP	O	None	None	KEEP
00669762-v	mengemukakan kpd	DELETE	X	1	English	DELETE
15211484-n	mei	KEEP	None	1	English	KEEP
02472987-n	orang dari golongan atasan	DELETE	X	1	English	KEEP
00771632-v	memimpin	DELETE	O	1	Spanish	KEEP
02876657-n	botolan	KEEP	X	3	Portuguese, Spanish, Polish	KEEP
08593262-n	bentuk	KEEP	O	1	Portuguese	KEEP
08009478-n	afiliasi	KEEP	None	None	None	KEEP
80000337-n	maxwell	KEEP	None	None	None	KEEP
00546192-v	datang	KEEP	O	1	Finnish	KEEP
13881644-n	bintang	KEEP	Y	2	Spanish, English	KEEP
00127948-a	berikut	KEEP	O	None	None	KEEP
00703708-v	memeriksa	KEEP	O	1	English	DELETE
07911677-n	cocktail	KEEP	X	2	Spanish, Thai	KEEP
14051494-n	kesuburan	KEEP	O	1	English	KEEP
00608668-a	alternatif	KEEP	O	None	None	KEEP
01380122-v	membuyarkan	DELETE	O	1	English	DELETE
05750163-n	tren	KEEP	None	2	Greek, Finnish	KEEP
03095372-a	luar	KEEP	O	None	None	KEEP
04073547-n	peninggalan	KEEP	O	4	Portuguese, Spanish, English, Slovene	KEEP
15183428-n	hari libur	KEEP	Y	1	Polish	KEEP
10058411-n	penikmat	KEEP	None	None	None	KEEP
02426171-v	buka	KEEP	Y	1	Thai	KEEP
00352127-a	berubah	KEEP	O	None	None	KEEP
02297409-v	menawarkan	KEEP	O	1	English	DELETE
02648847-a	musik	KEEP	None	None	None	KEEP
02655135-v	ada	KEEP	L	1	Finnish	KEEP
90000319-n	barongsai	KEEP	None	None	None	KEEP
07485047-n	nasionalisme	KEEP	O	3	Slovene, Greek, English	KEEP
00101609-a	tidak mementingkan diri sendiri	KEEP	X	None	None	KEEP
08377085-n	perjalanan	KEEP	O	1	Greek	KEEP
80001306-n	Bahasa Minangkabau	KEEP	None	None	None	KEEP
05913538-n	prinsip	KEEP	O	1	English	KEEP
03671473-n	jalur	DELETE	O	1	Polish	KEEP
01714208-v	menampilkan	KEEP	None	1	Slovene	KEEP
00791227-a	menguasai	KEEP	Y	1	Greek	KEEP
00144722-r	benar	KEEP	None	1	Finnish	KEEP
03570709-n	bahan	KEEP	Y	1	Portuguese	KEEP
00836236-v	menyimbolkan	KEEP	O	1	Slovene	KEEP
90000184-n	parade chingay	KEEP	None	None	None	KEEP
01168468-v	isi perut	DELETE	Y	1	English	KEEP
02702508-v	orang	DELETE	O	1	Finnish	KEEP
00221985-r	di belakang	KEEP	None	2	Spanish, English	KEEP
10720453-n	penjual	KEEP	O	1	Finnish	KEEP
10153414-n	abang	KEEP	None	1	Spanish	KEEP
01736822-v	direproduksi	KEEP	None	2	Spanish, Serbo-Croatian	KEEP
15248564-n	masa	KEEP	O	1	Portuguese	KEEP
01097315-a	lengkapi	KEEP	None	None	None	KEEP
80001230-x	yah	KEEP	None	None	None	KEEP
04161358-n	duduk	KEEP	L	1	English	KEEP
02110552-v	merasa	KEEP	O	1	English	DELETE
04026417-n	dompet	KEEP	O	1	Portuguese	KEEP
03299261-n	lainnya	DELETE	None	1	Mandarin Chinese	KEEP
00181676-r	luar negeri	KEEP	O	None	None	KEEP
00221985-r	lewat	KEEP	O	2	Spanish, English	KEEP
09620078-n	penduduk	KEEP	Y	6	Slovene, Polish, Japanese, Finnish, Portuguese, Mandarin Chinese	KEEP
08569998-n	sawah	KEEP	O	1	English	KEEP
09260466-n	kristal	KEEP	O	1	English	KEEP
90000225-n	makansutra singapore	KEEP	None	None	None	KEEP
13736799-n	bagian	KEEP	None	1	Portuguese	KEEP
01148283-a	senang	KEEP	O	1	Japanese	KEEP
02627934-v	membawa	DELETE	O	1	English	DELETE
15122231-n	era	KEEP	O	1	English	KEEP
10097705-n	penjual bunga	KEEP	X	None	None	KEEP
00973192-a	bersuasana	KEEP	None	None	None	KEEP
15166191-n	sore hari	KEEP	X	9	Slovene, Polish, Japanese, Greek, Finnish, Thai, Portuguese, Mandarin Chinese, English	KEEP
02193194-v	merasakan	KEEP	O	1	Finnish	KEEP
02632940-v	termasuk	KEEP	Y	1	Slovene	KEEP
00331082-v	menggiling	KEEP	Y	1	Mandarin Chinese	KEEP
02333689-v	menaruh	DELETE	O	1	English	DELETE
00161243-n	pemilihan	KEEP	O	1	English	KEEP
06197215-n	tujuan	KEEP	Y	1	Spanish	KEEP
05869584-n	semua	KEEP	L	1	Spanish	KEEP
13777764-n	tempat	KEEP	O	1	Spanish	KEEP
08642632-n	kehadiran	KEEP	O	5	Slovene, Spanish, Finnish, Portuguese, English	KEEP
03111296-n	renda	KEEP	O	None	None	KEEP
00430606-n	permainan	KEEP	Y	2	Finnish, English	KEEP
00144722-r	tentu	KEEP	O	1	Finnish	KEEP
01015310-n	panen	KEEP	O	4	Portuguese, Spanish, English, Japanese	KEEP
02297948-v	menawarkan	KEEP	O	1	English	DELETE
00010466-r	sepenuh	KEEP	L	1	Finnish	KEEP
01148283-a	berbahagia	KEEP	Y	1	Japanese	KEEP
01737141-v	meniru	KEEP	O	1	Finnish	KEEP
03819595-n	rangkaian	KEEP	O	1	Portuguese	KEEP
80001270-v	tiada	DELETE	None	None	None	KEEP
01123879-s	sangat baik	KEEP	None	1	English	KEEP
00407535-n	kegiatan	KEEP	O	1	Polish	KEEP
90000069-n	Mr Teo	KEEP	None	None	None	KEEP
02431728-a	kelelahan	KEEP	None	None	None	KEEP
10480018-n	produser	KEEP	Y	1	Finnish	KEEP
00100543-n	interpretasi	KEEP	O	1	Finnish	KEEP
00476249-a	luas	KEEP	O	None	None	KEEP
