synset	lemma	annotation
00019339-r	senantiasa	KEEP
01173933-v	mengganyang	KEEP
02382934-a	teratur	KEEP
07809096-n	bahan	KEEP
11525955-n	angin	KEEP
00556855-v	membuat	KEEP
02678839-v	memukau	KEEP
00022131-r	sebagai	DELETE
00009966-r	diadakan	KEEP
00796886-n	usaha	KEEP
05011790-n	suhu	KEEP
02215087-a	satu-satunya	KEEP
13863771-n	bentuk	DELETE
00395698-v	menyatu	KEEP
00979862-a	cepat	KEEP
02301825-v	bertanggung jawab	KEEP
13270373-n	sesaji	KEEP
02208537-v	berhasil	DELETE
12896000-n	brinjal	KEEP
00183053-a	dijajakan	KEEP
01180351-v	menyediakan makanan	KEEP
08361329-n	republik	KEEP
02636582-a	air	KEEP
01847515-a	beragam	KEEP
=07856270-n	selai	KEEP
08509442-n	daerah	KEEP
00025728-r	mana	KEEP
01228645-n	perhatian	KEEP
00594337-v	kenal	KEEP
02006834-v	memukul	DELETE
02207105-a	ke 41	KEEP
90000195-n	festival tengah musim gugur	KEEP
15270431-n	waktu	KEEP
01533974-a	terlalu	KEEP
00898804-n	model	KEEP
01825962-v	ingin	KEEP
05196375-n	kendali	KEEP
13661273-n	dolar	KEEP
01205696-v	temukan	KEEP
00402419-a	warna-warni	KEEP
08774227-n	munich	KEEP
08593924-n	barisan	DELETE
08672738-n	desa kecil	KEEP
06389553-n	jarak antara	DELETE
00159040-r	seperti	KEEP
03990474-n	kuali	KEEP
04335209-n	jalan	KEEP
15163797-n	minggu	KEEP
00813790-v	ke	DELETE
00029367-r	plus	KEEP
00495377-r	manapun	KEEP
00452512-v	isi	KEEP
02686471-v	mengiring	DELETE
09762509-n	superstar	KEEP
90000229-n	food in translation	KEEP
90000206-n	orchard central	KEEP
02614181-v	adalah	DELETE
02267308-a	sebagian	KEEP
09273130-n	bara api	KEEP
07527352-n	gembira	KEEP
10009276-n	penyidik	KEEP
00117620-r	maka	DELETE
02576489-a	kayu	KEEP
07579575-n	hidangan utama	KEEP
02267308-a	beberapa	KEEP
01445932-v	gigit	KEEP
00059547-r	seringkali	KEEP
02664769-v	nampak	DELETE
00306314-a	bisa	KEEP
02787831-a	rekreasi	KEEP
08490039-n	terletak	KEEP
05898568-n	rencana	KEEP
15133621-n	selama	KEEP
00195024-r	reguler	KEEP
09215315-n	dasar	KEEP
02236124-v	mendapat	DELETE
01156834-v	menghabiskan	DELETE
01843689-v	kunjungi	KEEP
08654360-n	negara bagian	KEEP
05946687-n	agama	KEEP
08620061-n	tempat	KEEP
13761966-n	taburan	KEEP
80000063-n	kebaya	KEEP
04952944-n	gemerlap	KEEP
03128519-n	krim	KEEP
02006834-v	dapat	DELETE
09483738-n	imajiner	KEEP
00931852-v	maksudkan	DELETE
05163807-n	pengorbanan	KEEP
08622950-n	kedudukan	DELETE
02685390-v	terbentang	KEEP
07959943-n	kluster	KEEP
00412171-a	maju	KEEP
03721590-n	marina	KEEP
03968293-n	colokan	KEEP
00901103-v	kenali	KEEP
01415021-a	terbatas	KEEP
00120796-v	ada	DELETE
11465888-n	kabut	KEEP
90000129-n	festival pongal	KEEP
05919263-n	hati	KEEP
07594250-n	tepung	KEEP
08514034-n	centre	KEEP
00305821-r	lewat	DELETE
00249852-v	membuat masak	DELETE
00062330-r	sengaja	KEEP
02281093-v	isi	KEEP
10004282-n	dokter gigi	KEEP
06161718-n	hukum	KEEP
01563724-v	sekat	KEEP
02077656-v	memasukkan	DELETE
02378623-v	bertindak balas	DELETE
09629752-n	pelancong	KEEP
01588876-v	bermerek	KEEP
02075857-v	meluwengkan	DELETE
00594337-v	mengenal	KEEP
05704694-n	fokus	KEEP
01881180-v	berkeliling	KEEP
00393105-a	putih	KEEP
01238201-a	terbaring	KEEP
05717115-n	pahit	KEEP
01562167-a	berjalan kaki	KEEP
01180351-v	disajikan	KEEP
01167981-v	bersantap malam	DELETE
02203868-a	ke-14	KEEP
00979862-a	pesat	KEEP
00758333-v	mengarik	DELETE
01067003-a	terus	KEEP
08723006-n	fujian	KEEP
07701244-n	olahan	KEEP
03748886-n	produk	KEEP
00024509-r	segala	KEEP
00098714-r	melainkan	KEEP
03221720-n	pintu	KEEP
06691083-n	passport	KEEP
04683814-n	kecantikan	KEEP
02633356-v	terdiri	KEEP
02059462-v	berlomba	KEEP
01339730-a	didesain	KEEP
00611481-v	diperingati	KEEP
00031304-r	masih	KEEP
80000119-n	srikaya	KEEP
00595630-v	tahu	KEEP
02526085-v	memenuhi	DELETE
10236304-n	kerabat	KEEP
09225146-n	air	KEEP
01344171-a	mengagumkan	KEEP
90000130-n	fort canning park	KEEP
01963795-v	snorkeling	KEEP
00008007-r	semua	KEEP
02329413-v	tiket	KEEP
00213794-v	dapat	DELETE
07709333-n	sayuran	KEEP
05661996-n	sistem	KEEP
01346804-v	buka	KEEP
00874092-a	aktif	KEEP
00795720-n	tugas	KEEP
02621853-v	dibatasi	KEEP
04533946-n	dvd	KEEP
01380122-v	merentangkan	DELETE
90000196-n	food republic	KEEP
08489765-n	tempat lain	KEEP
04118021-n	karpet	KEEP
00756076-v	meluwengkan	DELETE
05129565-n	jauh	DELETE
10780632-n	istri	KEEP
07702057-n	won ton	KEEP
13920429-n	kondisi	KEEP
13743269-n	2	KEEP
00340192-n	lalu	KEEP
06769670-n	kesalahan cetak	KEEP
07887634-n	lager	KEEP
00037641-r	demikian	KEEP
02346724-v	menyerap	KEEP
13290676-n	kerusakan	KEEP
10285313-n	malin kundang	KEEP
07725255-n	lentil	KEEP
00575741-n	buatan	KEEP
13331198-n	jumlah	KEEP
01083157-a	penuh dengan	KEEP
04081044-n	sandaran	KEEP
00074407-r	di belakang	KEEP
07575726-n	makan malam	KEEP
08366753-n	perekonomian	KEEP
07788885-n	udang karang	KEEP
02627934-v	mengambil	DELETE
90000323-n	cakue	KEEP
01017161-a	bugar	KEEP
00007015-r	hampir	KEEP
00120223-r	sambil	KEEP
08642517-n	sekeliling	KEEP
12356960-n	laos	KEEP
02493030-v	dikunjungi	KEEP
90000148-n	mustafa	KEEP
02493030-v	kunjungi	KEEP
01886488-v	menyelinap	KEEP
10021892-n	Dr	DELETE
10461747-n	pengaruh	KEEP
02070342-a	lain	KEEP
00133669-a	lezat	KEEP
09387222-n	jalur	KEEP
01091905-n	perdagangan	KEEP
08588294-n	di dalam	KEEP
02737876-v	menganggotai	DELETE
00173338-v	mengganjur	DELETE
13862644-n	kembang	KEEP
02416519-n	kambing	KEEP
07028373-n	melodi	KEEP
14974264-n	kertas	KEEP
07885223-n	minuman	KEEP
00181342-r	habis	KEEP
04599396-n	karya	KEEP
13747865-n	18	KEEP
00616532-a	panggang	KEEP
01552885-a	beberapa	KEEP
00758333-v	membawa	DELETE
09683757-n	buddhis	KEEP
01515415-v	luncurkan	KEEP
01905653-a	murni	KEEP
08646566-n	panggung	KEEP
00659048-n	pijat	KEEP
00487525-a	piawai	DELETE
07580782-n	daging panggang	KEEP
80000201-n	Lebaran Haji	KEEP
00428270-n	dance	KEEP
07387509-n	suara	KEEP
00875141-v	sarankan	KEEP
01199083-a	macam	KEEP
02128286-v	menyaksikan	KEEP
02568672-v	membuat	DELETE
01427127-v	membawa	DELETE
00744916-a	sulit	KEEP
07866723-n	lumpia	KEEP
06495328-n	terjadwal	KEEP
01410606-a	semacam	KEEP
05813822-n	cinderamata	KEEP
03671473-n	barisan	DELETE
80001640-n	egrang	KEEP
00893441-a	seimbang	KEEP
02734217-n	pintu gerbang	KEEP
02877704-a	muka	KEEP
01646682-v	menginspirasi	KEEP
10013242-n	di kalangan	KEEP
00605023-n	tahta	KEEP
90000135-n	hainanese chicken rice	KEEP
00673456-a	buatan tangan	KEEP
02635659-v	diakibatkan	KEEP
00171586-v	memperkaya	KEEP
05792192-n	daya	KEEP
03080492-a	latin	KEEP
01392249-a	mungil	KEEP
08424951-n	pasar	KEEP
90000164-n	Suntec City Mal	KEEP
00468480-n	sepak bola	KEEP
00050195-n	tampil	KEEP
12582231-n	atap	KEEP
02984781-a	korporat	KEEP
06613686-n	film	KEEP
01418667-v	merampai	DELETE
02032227-v	tergeletak	KEEP
04096066-n	roads	KEEP
02357479-a	kaget	KEEP
01462005-v	menyatukan	DELETE
90000072-n	newton hawker centre	KEEP
02008396-v	berangkat	KEEP
02005948-v	sampai	KEEP
04924103-n	umur	KEEP
01482330-n	shark's	KEEP
02596113-v	menemui	KEEP
02647497-v	mengalir	DELETE
01803003-v	menyiksa	KEEP
05790242-n	pilihan	KEEP
07165086-n	penawaran	KEEP
01468097-a	untung	KEEP
00631737-v	terbayangkan	KEEP
01432601-v	tanggung	KEEP
00120796-v	mengambil	DELETE
90000082-n	Pulau Keppel	KEEP
01168569-n	persaingan	KEEP
01320872-n	wanita	DELETE
07375405-n	campuran	KEEP
02446164-v	mengkhususkan	KEEP
00021878-r	kadang	KEEP
08642145-n	blok	KEEP
05289297-n	otot	KEEP
03291741-n	sarung	KEEP
00031899-r	sekali	KEEP
02077656-v	membawakan	DELETE
00002098-a	tidak akan	KEEP
01543123-v	duduk	KEEP
01635146-a	mapan	KEEP
04893787-n	hemat	KEEP
00017222-n	tanaman	KEEP
01131935-a	jahat	KEEP
02847894-a	finansial	KEEP
00352826-v	dibubarkan	KEEP
80001275-n	neraka	KEEP
01212867-a	bawah	KEEP
76100077-x	bentuk	KEEP
02238085-v	memperolehi	DELETE
00498068-r	berkelok-kelok	KEEP
02627666-v	hakka	KEEP
09525579-n	dharma	KEEP
00955148-v	maksudkan	KEEP
12434775-n	bawang putih	KEEP
90000156-n	Sang Nila Utama	KEEP
00131426-a	belakang	KEEP
07874780-n	bubur	KEEP
02235842-v	memberi	KEEP
80000857-n	kartu	KEEP
07652585-n	otak	KEEP
00950592-a	di dalam	DELETE
13750415-n	ratus,ratus	DELETE
00034403-r	sejenak	KEEP
08641113-n	kawasan	KEEP
00878086-a	pendahuluan	KEEP
00600370-v	menghabiskan	KEEP
00183879-v	termasuk	KEEP
04335209-n	jalanan	KEEP
10102506-n	peramal	KEEP
08559508-n	rumah	KEEP
00755745-v	mengkehendaki	DELETE
09702836-n	Bangsa Saxon	KEEP
00166146-a	memikat	KEEP
02923745-a	hindu	KEEP
02604760-v	manusia	DELETE
02205272-v	jadi	DELETE
00035603-v	dimandikan	KEEP
90000112-n	the heritage shop	KEEP
02556846-n	perch	KEEP
00048739-r	seketika	KEEP
80000471-n	chee cheong fun	KEEP
07671459-n	iga babi	KEEP
00751838-a	anggun	KEEP
02789579-a	agung	KEEP
15239292-n	musim	KEEP
00059171-r	banyak	KEEP
06891493-n	pementasan	KEEP
14792703-n	gula	KEEP
03141609-a	kaum	KEEP
02457233-v	penghormatan	KEEP
04802907-n	keakuratan	KEEP
02128653-v	saksikan	KEEP
08593262-n	rangka	KEEP
01640850-a	baru	KEEP
00036935-r	pastilah	KEEP
02479323-v	bekalkan	DELETE
03925226-n	berfoto	KEEP
02635956-v	menuju	DELETE
00087736-v	membawa	DELETE
00133417-a	lezat	KEEP
01852812-a	secara langsung	KEEP
90000063-n	makanan india	KEEP
09908678-n	penjual keliling	KEEP
03964744-n	mainan	KEEP
08567235-n	lingkungan	KEEP
09134386-n	pa	KEEP
01204294-n	barisan	DELETE
14038993-n	hasrat	KEEP
01045216-a	formal	KEEP
00066781-r	di hadapan	KEEP
01856419-a	fundamental	KEEP
15244650-n	saat	KEEP
01931768-v	berpemandu	KEEP
00224280-r	mati-matian	KEEP
01446901-v	melambaikan	KEEP
01580467-v	membungkus	KEEP
01749320-a	tepat	KEEP
09000462-n	capetown	KEEP
05725676-n	dingin	KEEP
02269286-a	semua	KEEP
00606370-n	seni	KEEP
01675190-a	menakjubkan	KEEP
07109730-n	omongan	KEEP
00120796-v	dapat	DELETE
08497294-n	kawasan	KEEP
00003939-a	sekarat	KEEP
01729566-a	sedia	KEEP
02280132-v	dikonservasi	KEEP
00631798-a	sebenar	KEEP
01212469-a	rendah	KEEP
01185604-v	makan	KEEP
07663899-n	perkedel	DELETE
00107416-r	belakangan	KEEP
03149347-a	diadakan	KEEP
02187161-a	sembilan	KEEP
00877559-v	berunding dengan	KEEP
02423183-v	memberi	KEEP
02137132-v	menampilkan	KEEP
00120796-v	beroleh	DELETE
01652782-a	tertutup	KEEP
10307234-n	warga	KEEP
00327145-v	steamed	KEEP
90000325-n	belachan	KEEP
01982395-v	menggenjot	DELETE
00031264-n	kelompok	KEEP
00060939-r	sebelum	KEEP
01564144-v	makan	DELETE
02635956-v	menyeret	DELETE
04929976-n	pengolahan	KEEP
01055073-a	berbau	KEEP
01204294-n	garisan	DELETE
00875394-v	dianjurkan	KEEP
01272397-a	pengenal	KEEP
00661640-a	cacah	KEEP
02204237-a	17	KEEP
00523513-n	sport	KEEP
01013367-v	mementingkan	KEEP
03431745-n	kereta	KEEP
02199177-a	juta	KEEP
00087736-v	menghidap	DELETE
00216216-v	siram	KEEP
03670849-n	bentuk	DELETE
10093658-n	nelayan	KEEP
03441112-n	sarung tangan	KEEP
02257370-v	tukarkan	KEEP
80001161-n	antara	KEEP
02714974-v	penuh dengan	KEEP
00103194-r	mula	KEEP
07447261-n	acara	KEEP
00065639-v	mengadakan	DELETE
90000093-n	singapore airlines	KEEP
00528990-v	tersembul	KEEP
09535255-n	KAMI	DELETE
00684273-v	percayai	KEEP
15156001-n	sekarang	KEEP
02629535-v	terdiri dari	KEEP
00024073-r	jangan	KEEP
00249736-r	di sampingnya	DELETE
00890590-v	menjamin	KEEP
02165318-a	enteng	KEEP
01918984-a	tenang	KEEP
02735688-n	area	KEEP
02587532-v	sanggup	DELETE
08593924-n	leluhur	DELETE
00188057-r	sebaik	KEEP
00164444-v	menyegarkan	KEEP
02702508-v	manusia	DELETE
04815177-n	berkelas	KEEP
09060768-n	california	KEEP
90000044-n	il lido	KEEP
10061656-n	gourmet	KEEP
02116118-v	memanjakan	KEEP
01067193-a	jarang	KEEP
15151379-n	tahun 1990an	KEEP
02647497-v	biasa	DELETE
02110220-v	alami	KEEP
08663354-n	atas	KEEP
14407899-n	pesona	KEEP
00018813-v	membangunkan	KEEP
00931852-v	arti	KEEP
01688757-a	dangkal	DELETE
00107416-r	baru	KEEP
01627355-v	melahirkan	KEEP
02959553-a	finlandia	KEEP
15155747-n	malam	KEEP
01028748-v	sebut	KEEP
06343520-n	judul	KEEP
03219135-n	patung	KEEP
07644382-n	ayam	KEEP
01083157-a	penuh	KEEP
00323426-a	kondusif	KEEP
13135832-n	biji	KEEP
02798370-a	sosial	KEEP
01813884-v	bergembira	KEEP
01501113-a	musik	KEEP
90000185-n	parade hari nasional	KEEP
02150948-v	terlihat	KEEP
00350104-v	kembali	KEEP
00322847-v	masak	KEEP
02099075-v	menari-nari	KEEP
00309115-n	pelayaran	KEEP
02257767-v	ganti	KEEP
00124918-a	daratan	KEEP
01767329-a	pribadi	KEEP
00451510-a	akrab	KEEP
02358034-v	terbuka	KEEP
02515341-a	tampak	KEEP
02757316-a	bulan	KEEP
07355491-n	maut	KEEP
02531088-v	bersusah payah	KEEP
09308398-n	es	KEEP
02717472-v	menjuntai	KEEP
00173338-v	berpindah	DELETE
02129289-v	melihat	KEEP
02655135-v	terdapat	KEEP
09122086-n	broadway	KEEP
05849040-n	dimensi	KEEP
08593924-n	garis lurus	DELETE
01013367-v	menonjolkan	KEEP
00149583-v	menjadi	KEEP
07858197-n	foie gras	KEEP
02427103-v	pendirinya	KEEP
02488488-v	mengunjungi	KEEP
90000094-n	singapore experience awards	KEEP
00345000-v	menjadi	KEEP
00524682-v	mengambil	KEEP
00007846-n	unik	DELETE
02267989-v	makan	DELETE
03471974-n	orang lelaki	DELETE
00758333-v	memasukkan	DELETE
00939277-v	beberkan	KEEP
01410363-a	tidak sama	KEEP
02621395-v	ialah	DELETE
00167829-a	menawan	KEEP
07967982-n	ras	KEEP
01719302-v	mewakili	KEEP
07846471-n	susu kental	KEEP
01498769-a	terkira	KEEP
02685951-v	menghabiskan	DELETE
02737876-v	menjadi ahli	DELETE
07882497-n	ramuan	KEEP
00179112-r	hanya	KEEP
01192312-v	celup	KEEP
00485711-a	sama	DELETE
07668702-n	pork	KEEP
01003050-a	habis	KEEP
09218641-n	gunung	KEEP
01645601-v	berbuat	DELETE
06930804-n	hakka	KEEP
03965456-n	pusat	KEEP
10153865-n	gym	KEEP
02647497-v	berterusan	DELETE
05839024-n	kelas	KEEP
00838296-a	mudah	KEEP
06762711-n	catatan	KEEP
02686568-n	pesawat	KEEP
02118933-v	perhatikanlah	KEEP
01824736-v	ganal	DELETE
01172701-v	menyayukan	DELETE
10444194-n	penyair	KEEP
00071840-r	sekeliling	KEEP
15113229-n	zaman	KEEP
01363482-v	mengecat	KEEP
03320046-n	kipas	KEEP
07578093-n	perjamuan	KEEP
03206908-n	piring	KEEP
04812268-n	keindahan	KEEP
07713895-n	cabbage	KEEP
02020590-v	terlanda	DELETE
04756635-n	kemungkinan	KEEP
02614181-v	berkediaman	DELETE
11048205-n	hesse	KEEP
08929922-n	perancis	KEEP
13963192-n	‘kehidupan	KEEP
10388440-n	tuan	KEEP
02716165-v	disertai	KEEP
07370410-n	pendakian	KEEP
02156225-v	dapat melihat	KEEP
03092527-a	style:nordic	KEEP
09494388-n	liong	KEEP
08249960-n	kelompok	KEEP
00242976-v	menyatukan	KEEP
00607780-v	mengenang	KEEP
00734054-v	memandang	DELETE
01321895-v	ukir	KEEP
09120594-n	manhattan	KEEP
14875077-n	bahan bakar	KEEP
02286687-v	menemukan	KEEP
00887719-a	ingin	KEEP
01041968-n	berdoa	KEEP
07295629-n	imbalan	KEEP
00029367-r	dan	KEEP
01170052-v	minum	KEEP
80000101-n	teh tarik	KEEP
00435294-v	terbakar	KEEP
00381097-a	merah gincu	DELETE
80001230-x	ya	KEEP
00598954-v	diketahui	KEEP
06980315-n	tamil	KEEP
00056729-r	sama sekali	KEEP
15245515-n	waktu	KEEP
05844105-n	bentuk	KEEP
08375369-n	masyarakat	KEEP
07772935-n	kelapa	KEEP
06688274-n	pengakuan	KEEP
02928347-a	india	KEEP
09615807-n	insinyur	KEEP
01821266-a	mungkin	KEEP
03574004-n	inspirasi	KEEP
07570720-n	makanan	KEEP
02288295-v	memenangkan	KEEP
07886572-n	buat	KEEP
02367363-v	beraksi	KEEP
03722288-n	pasar	KEEP
00294245-v	menjadi makmur	DELETE
07640203-n	panekuk	KEEP
02604760-v	insan	DELETE
01123148-a	baik	KEEP
01779428-a	diri	KEEP
01207546-a	di bawah	KEEP
00746718-v	pesanlah	KEEP
02568672-v	berlatih	DELETE
08511970-n	bawah	KEEP
77000018-n	kita	DELETE
01664172-v	bersedia	DELETE
04869106-n	penghargaan	KEEP
02444662-v	izinkan	KEEP
01106808-n	transaksi	KEEP
01156834-v	mengadakan	DELETE
02283324-v	kuasai	KEEP
01161561-v	memanfaatkan	KEEP
06892775-n	konser	KEEP
00596211-a	tanpa	KEEP
06338908-n	sebutan	KEEP
07520612-n	teror	KEEP
02133435-v	seolah-olah	KEEP
90000215-n	STB	KEEP
01645601-v	menyebabkan timbulnya sst	DELETE
08621598-n	tempat	KEEP
00520214-a	sempurna	KEEP
02960130-a	skandinavia	KEEP
09065557-n	san francisco	KEEP
01791625-n	ayam	KEEP
00683280-v	percayai	KEEP
02913152-n	gedung	KEEP
14420464-n	paduan	KEEP
06286395-n	kata	KEEP
00428270-n	tarian	KEEP
00477636-r	sedikit	KEEP
02717472-v	membayang-bayangkan	DELETE
00489108-a	wajar	DELETE
04910135-n	cara	KEEP
04143712-n	orang-orang	DELETE
02148788-v	menunjukkan	KEEP
02054989-v	menggelar	KEEP
00756076-v	berhasil	DELETE
00225805-r	besar	KEEP
01723224-v	mempraktikkan	KEEP
05660268-n	cara	KEEP
01375174-a	digelar	KEEP
00610167-v	lupa	KEEP
02684924-v	melanjutkan	KEEP
08884961-n	surrey	DELETE
04197391-n	kaus	KEEP
00770437-v	mendapat	DELETE
00179683-n	suara	KEEP
03673450-n	lingerie	KEEP
01167981-v	makan malam	KEEP
10759151-n	relawan	KEEP
00357556-a	diterapkan	KEEP
00813790-v	mengiring	DELETE
14924602-n	jed	DELETE
00411048-n	mengamalkan	KEEP
07572353-n	perbekalan	KEEP
00952867-a	interior	KEEP
00123170-v	berbeda-beda	KEEP
00233687-r	tangeh	DELETE
01524523-v	memenuhi	KEEP
07797641-n	scallops	KEEP
13744521-n	s$5	KEEP
05675130-n	kesedaran	DELETE
02843717-a	jantung	KEEP
10727944-n	trekker	KEEP
04211970-n	shuttle	KEEP
09488117-n	monster	KEEP
00756338-v	nyatakan	KEEP
07062697-n	jazz	KEEP
05870055-n	satu	KEEP
07285403-n	pengalaman	KEEP
01711445-v	mementaskan	KEEP
90000058-n	Kuil Sri Thendayuthapani Temple	KEEP
06338908-n	nama	KEEP
01971280-n	cumi	KEEP
02460964-a	sebenar	KEEP
01531742-v	cetak	KEEP
02526085-v	menjadikan nyata	DELETE
02929289-n	penopang	KEEP
00122128-a	sebelum	KEEP
08674970-n	medan	DELETE
03116530-n	konter	KEEP
00525453-a	komprehensif	KEEP
02717102-v	membungkus	DELETE
00029985-r	lanjut	KEEP
02225510-a	berbakat	KEEP
02024928-a	megah	KEEP
00625119-v	baca	KEEP
02075857-v	membelok	DELETE
02448185-v	kelola	KEEP
08613593-n	nampaknya	DELETE
02702830-v	sesuai	KEEP
00099527-r	kurang	KEEP
00461782-n	boling	KEEP
00488187-a	jarang sekali terdapat	DELETE
00524682-v	mempermahirkan	DELETE
01849221-v	datanglah	KEEP
02612762-v	menghadiri	KEEP
02422026-v	bebas	KEEP
04562658-n	air	DELETE
03282295-n	kedutaan	KEEP
04916342-n	sifat	KEEP
00668805-v	haah	DELETE
00378069-n	pembakaran	KEEP
00883297-n	pengantar	KEEP
00049003-n	kemasukan	DELETE
08565894-n	ujung	KEEP
00542120-v	menjadi	KEEP
03506370-n	spa	KEEP
00043003-r	maka	KEEP
02248465-v	temukan	KEEP
01410606-a	serua	DELETE
12433178-n	bawang merah	KEEP
00846052-a	yang terpilih	KEEP
01021629-v	dapat diatur	KEEP
00257770-n	mandi	KEEP
03542333-n	the scarlet	KEEP
00850183-a	fine	KEEP
08491027-n	alamat	KEEP
06878071-n	senyum	KEEP
00027384-r	walaupun	KEEP
02717102-v	menghantar	DELETE
02526934-v	berhasil	KEEP
02671780-n	aksesoris	KEEP
02187073-a	8	KEEP
01843904-v	bertamasya	KEEP
03574816-n	alat	KEEP
00674607-v	memasukkan	DELETE
04241940-n	belahan	KEEP
00113082-r	selain	KEEP
00098625-n	pelayanan	KEEP
02233704-v	mengunduh	KEEP
13855627-n	kontras	KEEP
06855432-n	cetak	KEEP
01261293-n	seru	KEEP
12358293-n	cardamom	KEEP
10583387-n	pemukim	KEEP
01249490-v	diserut	KEEP
08562757-n	far east	KEEP
07565259-n	meja	KEEP
02154508-v	temukan	KEEP
00758333-v	membutuhkan	DELETE
08556386-n	kejauhan	KEEP
01462324-a	kesayangan	KEEP
02717472-v	bergelayut	KEEP
02678438-v	mengenai	KEEP
00678282-v	merencanakan	KEEP
01999798-v	membawa pergi	DELETE
02208537-v	membawa	DELETE
02466132-n	fin	KEEP
01462005-v	mengacau	DELETE
08594286-n	garisan	DELETE
80001133-n	kami	KEEP
01083373-v	makan	DELETE
00897241-v	menyapa	KEEP
07868955-n	fishball	KEEP
04197391-n	kemeja	KEEP
02126140-a	berdasarkan	KEEP
90000063-n	Makanan India	KEEP
02521410-v	menyanggahi	DELETE
02209745-v	melanggani	KEEP
01442186-a	pendek	KEEP
01456710-a	bernas	DELETE
01675190-a	mengagumkan	KEEP
00678666-a	siang	KEEP
02524171-v	memenangkan	KEEP
01410606-a	berserupa	DELETE
13817526-n	%	KEEP
00162688-v	diperbarui	KEEP
00020476-r	seringkali	KEEP
00085002-r	ke	DELETE
00249736-r	di sisinya	DELETE
00486990-a	sering	KEEP
00118567-a	semarak	KEEP
03176763-n	store	KEEP
80001374-n	jeruk obat	KEEP
90000018-n	Chingay Festival	KEEP
10112591-n	kawan	KEEP
04606014-n	karangan bunga	KEEP
90000124-n	city hall	KEEP
06766190-n	referensi	KEEP
13771290-n	beberapa	KEEP
15206296-n	sebulan	KEEP
01439155-a	lama	KEEP
08954611-n	korea	KEEP
02153174-a	sendiri	KEEP
00819024-n	pemeliharaan	KEEP
04928903-n	gaya	KEEP
10006511-n	keturunan	KEEP
08566028-n	ujung	KEEP
01921964-v	memanjat	KEEP
06146880-n	etnologi	KEEP
02305586-v	mendapatkan	KEEP
02633356-v	terdiri dari	KEEP
01028748-v	menamai	KEEP
13863771-n	tali	DELETE
80001707-n	kecerdasan buatan	KEEP
02756098-n	pakaian	KEEP
01275762-v	bergaris	KEEP
08593262-n	baris	DELETE
02686471-v	menuntun	DELETE
14050871-n	merah	DELETE
02186338-a	suatu	KEEP
06210791-n	segi	KEEP
00045607-r	melewati	KEEP
01742537-a	berperang	KEEP
01930482-v	mengarik	DELETE
02359464-a	yang mengejutkan	KEEP
00805376-v	setuju	KEEP
00542099-a	tersebar	KEEP
01233156-n	kunjung	KEEP
00651145-v	diperlakukan	KEEP
00950272-a	bhg dalam	DELETE
02647497-v	buyar	DELETE
06371999-n	cerita pendek	KEEP
05669797-n	warisan	KEEP
90000098-n	singapore river festival	KEEP
03052018-a	birma	KEEP
00965606-a	sudah biasa	DELETE
90000300-n	prata	KEEP
80000289-n	otak	KEEP
01579128-a	yang akhir	KEEP
02251743-v	bayar	KEEP
09632518-n	pekerja	KEEP
02686568-n	pesawat udara	KEEP
00835292-a	menarik	KEEP
02148788-v	menyelenggarakan	KEEP
00612612-v	ditandai	KEEP
05714466-n	aroma	KEEP
01815628-v	puaskan	KEEP
01665638-v	masak	KEEP
00697419-v	simak	KEEP
08963369-n	malaya	KEEP
00610538-v	mengingatkan	KEEP
05669797-n	pusaka	KEEP
07058064-n	techno	KEEP
01323958-v	terbunuh	KEEP
09686401-n	eurasia	KEEP
08518505-n	ibukota	KEEP
15207872-n	bulan	KEEP
02603699-v	nampak	DELETE
11717399-n	teratai	KEEP
09376198-n	laut	KEEP
02535896-v	menetralkan	KEEP
01588619-a	tinggi	KEEP
01391351-a	kecil”	KEEP
01693881-v	salin	KEEP
08593262-n	dawai	DELETE
02116118-v	merangsang	KEEP
00143201-s	dengan tangan hampa	KEEP
06619428-n	acara	KEEP
90000328-n	Hari Raya	KEEP
01169067-v	membaham	DELETE
08544813-n	tanah	KEEP
01028748-v	disebut	KEEP
05217168-n	susuk badan	DELETE
90000134-n	great singapore sale	KEEP
00181075-r	lepas	KEEP
00107416-r	baru ini	KEEP
03716656-n	buddhis	KEEP
07804323-n	kwetiau	KEEP
01115349-a	asli	KEEP
07663899-n	kue	KEEP
02210119-v	menampung	KEEP
00881661-v	memuji	KEEP
02343517-a	baik	KEEP
05930736-n	bentuk	KEEP
00233335-v	membatasi	KEEP
13736799-n	separuh	KEEP
00576680-a	selaras	KEEP
09433839-n	garis pantai	KEEP
02464866-v	bertanggung jawab	KEEP
02679899-v	pertahankan	KEEP
02236624-v	memasukkan	DELETE
01729566-a	dahulu	KEEP
07560193-n	siap	KEEP
02394183-v	mengisi	DELETE
00025728-r	seluruh	KEEP
01928838-v	melangkah	KEEP
13961399-n	hidup	KEEP
01686956-v	menampilkan	KEEP
00275290-a	redup	KEEP
02269039-a	tiada	KEEP
00467995-n	hoki	KEEP
01208797-n	terima kasih	DELETE
01801029-a	memuaskan	KEEP
02087745-v	ayunkan	KEEP
01230350-v	menusuk	KEEP
02930766-n	taxi	KEEP
90000201-n	ION	KEEP
06635509-n	isi	KEEP
00008600-r	sendirian	KEEP
76100070-x	ekor	KEEP
00024356-r	belum	KEEP
13250048-n	tanah	KEEP
02355596-v	melakukan	DELETE
07285403-n	memesona	KEEP
