tag	clemma
14918994-n	dupa
02200686-v	menyajikan
07164546-n	persembahan
01041968-n	doa
07747607-n	jeruk
07747951-n	mandarin
01646941-a	kecil
01664172-v	buat
01029406-n	upacara
07747951-n	jeruk mandarin
07668702-n	daging babi
07654148-n	daging panggang
07669098-n	babi kecil
01067538-a	jarang
02129289-v	terdapat
02951843-n	tenda
13910384-n	ruang
02003357-a	terbuka
02492198-v	menghibur
09545324-n	roh
06891493-n	pertunjukan
01422556-a	langsung
01686956-v	menggambarkan
07221094-n	kisah
09505418-n	dewa
09535622-n	dewi
07015510-n	komedi
00546389-n	lagu
00428270-n	tarian
03976657-n	tiang
00032497-a	akrobatik
00449441-r	sensual
01714208-v	dibawakan
09989502-n	penari
00046534-v	berbusana
03309808-n	kain
04267165-n	spandeks
01140290-a	lentur
00032733-a	lincah
01422556-a	secara langsung
14413265-n	dipersilakan
01998432-v	turut
06619065-n	pertunjukan
01984902-v	duduk
08431437-n	barisan
00407848-v	disiapkan
10150940-n	tamu
15162210-n	festival
02490877-v	rayakan
01388418-a	besar-besaran
00378069-n	pembakaran
01103844-a	khusus
13384557-n	uang-uangan
14974264-n	kertas
00684273-v	percayai
02263692-v	memberikan
13370938-n	kekayaan
00146594-r	secara besar-besaran
02699494-n	altar
02150948-v	terlihat
01692969-a	luar
02735688-n	area
07578093-n	pesta
01157517-v	menghabiskan
13661273-n	dolar
05636294-n	wayang
07026352-n	opera
01729431-v	menyanyi
02561332-v	gunakan
00765213-v	menenangkan
01881180-v	berkeliaran
07578093-n	makan besar
02198752-a	ribuan
00428000-n	perayaan
02126430-a	bertempat
00043003-r	geylang—jadi
02150328-v	simaklah
15162388-n	perayaan
02544348-v	berpetualang
08248157-n	orkestra
02839695-a	profesional
13945919-n	status
02215087-a	satu
00239910-n	pendirian
10340312-n	musisi
01647229-v	menjadikan
10077593-n	penggemar
09907196-n	perdana menteri
02546467-v	diakui
01714208-v	penampilan
01210854-a	tinggi
02384940-v	undang
00423971-v	tampil
08301871-n	imf
02612762-v	hadiri
00514884-a	seluruh
01959294-a	reguler
02128653-v	saksikan
01843689-v	berkunjung
03965456-n	plaza
04697442-n	kesederhanaan
90000152-n	plaza singapura
01123879-s	sangat baik
09917593-n	anak
09772029-n	remaja
00024073-r	tidaklah
00591115-v	melihat
06739990-n	sebab
01463963-v	susun
05920272-n	tema
01103021-a	khusus
03120198-n	halaman
00476249-a	luas
00063630-r	secara keseluruhan
02187161-a	sembilan
00948670-a	dalam
02728440-n	pakaian
02649042-v	memenuhi
00080039-r	di bawah
00890590-v	memastikan
02300624-a	terjamu
00011093-r	baik
09367991-n	kebutuhan
00429048-n	hiburan
03032252-n	bioskop
03555426-n	hypermart
01212867-a	bawah
03528263-n	peralatan
00080169-r	di atas
07566340-n	bahan makanan
04733118-n	aspek
05840431-n	sifat
08179879-n	penduduk
02460964-a	sejati
11410625-n	hasil
01574036-a	alami
05074774-n	posisi
01470496-a	geografis
00063652-n	keberhasilan
03137558-a	komersial
00645493-a	luar biasa
04306080-n	pos
01091905-n	perdagangan
15159819-n	tanggal
15210045-n	januari
00331446-a	tepi
09426788-n	laut
00105603-r	segera
01505254-v	menarik
08963369-n	malaya
11252222-n	sir thomas stamford raffles
08540532-n	kota kecil
08791167-n	timur tengah
02189209-a	29
01807529-v	tertarik
14482968-n	prospek
02077656-v	membawa
05667404-n	adat
01027859-n	istiadat
15162388-n	festival
01768724-a	sendiri
00733743-a	lebih baik
13965274-n	perkawinan
13965274-n	silang
01202415-n	integrasi
02555434-v	membantu
00242976-v	menyatukan
11414608-n	pengaruh
02506555-a	beragam
02665124-v	menjadi
13928668-n	jalinan
02506922-a	multifaset
05669797-n	warisan
08240169-n	kelompok
01471002-a	utama
09712696-n	melayu
02204472-a	ke 19
07967382-n	kelompok etnis
02644234-v	mendominasi
13779804-n	populasi
01011973-a	awal
15120050-n	saat ini
02835654-a	sisa
02648639-v	dihuni
10071332-n	ekspatriat
02620587-v	adalah
09632518-n	pekerja
08981244-n	filipina
08848731-n	bangladesh
00251791-v	datang
01600333-a	utara
09211266-n	australia
02743214-v	datang dari
08702805-n	negara amerika utara
09372504-n	amerika utara
06880249-n	cerminan
02346895-v	mengadopsi
02469407-a	mewakili
03141609-a	‘ras’
01632537-a	resmi
09877750-n	inggris
06930093-n	mandarin
06929742-n	bahasa mandarin
14411981-n	pengakuan
01105840-a	nasional
08642632-n	kehadiran
00139266-r	khusus
05839024-n	ragam
00335768-a	tentu
01830599-a	berpengaruh
08871007-n	inggris
01045216-a	formal
01968165-a	sehari-hari
05851131-n	lambang
05763412-n	identitas
08398773-n	campuran
02629793-v	mencakup
06286395-n	kata
00963570-v	berbicara
02267308-a	sebagian
00543410-v	tumbuh
02810882-a	masa
01488616-a	besar
15147097-n	masa kecil
05122557-n	mayoritas
01593649-a	umum
06930093-n	bahasa mandarin
00829107-v	diajarkan
08276720-n	sekolah
00597915-v	mempelajari
01975138-a	berhubungan
04923743-n	asal
13841651-n	berhubungan dengan
06904748-n	bahasa ibu
02070342-a	berbeda-beda
02397637-v	dijadikan
00063172-r	daripada
06930633-n	tiociu
06930804-n	hakka
13776137-n	yang paling banyak
13774404-n	yang banyak
01102876-a	meluas
00798245-n	kampanye
01150559-v	menyasar
09698108-n	china
01651293-v	dilanjutkan
00829745-a	berpendidikan
15151379-n	tahun 1990-an
00649481-v	jelajahilah
08622950-n	lokasi
00901103-v	kenali
00451510-a	dekat
07966140-n	masyakarat
02872776-a	multikultural
08489497-n	lokasi ini
02434976-v	mengikuti
00649481-v	menjelajah
00340239-a	pasti
00920336-v	menemukan
04073547-n	peninggalan
00835292-a	menarik
04751305-n	keberagaman
15140744-n	hidup
00488187-a	unik
00495377-r	manapun
00838296-a	mudah
08652970-n	tempat
00144722-r	memang
00431552-n	hobi
14520278-n	udara
01622505-a	terbuka
02958392-a	perancis
02957066-a	italia
03299261-n	dan sebagainya
00609683-v	ingat
01413247-a	mungkin
00755745-v	perlukan
01218327-n	reservasi
00789448-v	pesanlah
13947867-n	tempat
02452885-v	menghindari
07540602-n	kekecewaan
01851916-a	sederhana
02426171-v	buka
02776631-n	toko roti
07557165-n	penganan
00046299-r	sangat
07622708-n	kue
07628470-n	pastel
07883031-n	isi
90000524-n	mid-autumn
00112601-r	baru
00616532-a	panggang
14435670-n	raja
90000031-n	festival tiongchupia
11717399-n	teratai
00393105-a	putih
80000320-n	mooncake
00319886-v	panggang
00372111-a	coklat
00369941-a	keemasan
02368336-a	semanis
13136556-n	kacang
07669891-n	ham
02065665-a	assorted
13136556-n	nuts
02964782-a	chinese
14002279-n	keseimbangan
01073822-a	asin
07635155-n	biskuit
02333976-a	kecewa
01843689-v	kunjungi
00664788-v	buktikan
00596644-v	simaklah
10583387-n	pemukim
01055360-n	singgah
90000315-n	hajjah
10967447-n	fatimah
90000142-n	ketika anda
90000040-n	hajjah fatimah
90000137-n	hajjah fatimah mosque
09620794-n	kelahiran
02488834-v	menikah
10674315-n	sultan
08909107-n	sulawesi
01739099-v	bangun
08651247-n	lokasi
01729566-a	bekas
00699815-v	menetapkan
13250048-n	tanah
00911048-n	pembangunan
02093888-a	selamat
07302836-n	kebakaran
02343595-v	korban
09810707-n	arsonist
02449340-v	ditutup
03719053-n	aula
01041968-n	shalat
03732114-n	mausoleum
02456493-v	dikebumikan
10199251-n	imam
10471250-n	ulama
00255450-n	wudu
03417749-n	taman
02713594-n	ruang tambahan
02118476-v	perhatikan
03767745-n	menara
09805475-n	arsitek
02968325-a	eropa
00618878-v	kenal
00002098-a	tidak akan
00488857-a	tidak biasa
04460130-n	menara
02038357-v	miring
13611207-n	derajat
00120316-v	pusatnya—menjadikan
06888944-n	pemandangan
02690081-n	airlines
00426581-v	menjelma
02690081-n	penerbangan
01983548-a	hormat
07965937-n	dunia
02443849-v	mengoperasikan
08293003-n	armada
01643480-a	muda
01876261-a	modern
90000093-n	singapore airlines
08434259-n	jaringan
09254614-n	benua
02596113-v	menemui
02699141-v	melambangkan
00654885-n	kepedulian
09984659-n	pelanggan
01209576-n	layanan
02210855-v	dapat
13987219-n	kenyamanan
00031899-r	sangatlah
02531625-v	mencoba
04351550-n	suites
01515415-v	luncurkan
00118032-r	maka
01543123-v	duduk
03001627-n	kursi
00146387-r	pernah
02767433-n	sandaran
05538625-n	kepala
02737660-n	tangan
01021629-v	atur
01021629-v	dapat diatur
00582388-n	bisnis
02730471-v	terasa
01409581-a	bagai
04161981-n	kursi
14759722-n	kulit
01579813-v	buka
14024882-n	tidur
02818832-n	tempat tidur
03968293-n	colokan
02826877-a	listrik
03578656-n	port
00158701-a	menyatu
02410855-v	bekerja
01918984-a	tenang
00155020-r	nyaman
00187120-r	dengan nyaman
01182709-v	menyediakan
10403876-n	penumpang
02192469-a	63
08168978-n	negara
02189786-a	35
08219493-n	anak
01095966-n	perusahaan
02747403-v	terhubung
08172877-n	asia
08700255-n	negara asia
02189396-a	31
09195615-n	amerika
09052652-n	utara
08772922-n	frankfurt
09144851-n	houston
09004068-n	moskow
08923348-n	tokyo
08955951-n	seoul
01839690-v	datang dari
09119277-n	new york
09063673-n	los angeles
09065557-n	san francisco
00301192-n	penerbangan
08561835-n	barat
09189411-n	afrika
01840238-v	terbang
09000462-n	capetown
09000665-n	johannesburg
08903872-n	mumbai
08977211-n	karachi
08977428-n	lahore
08898633-n	kairo
08965251-n	maldives
08903049-n	new delhi
01941093-v	menerbangkan
08761868-n	kopenhagen
08876975-n	manchester
08774227-n	munich
09033117-n	zurich
08809165-n	milan
08932568-n	paris
08785343-n	athena
08806897-n	roma
01941093-v	terbang
08832877-n	brisbane
08833295-n	sydney
08833809-n	melbourne
02372605-v	melalui
08972920-n	auckland
08973064-n	christchurch
08972521-n	selandia baru
00029985-r	lanjut
03720163-n	peta
01568684-a	global
01023820-n	prosedur
01233156-n	kunjungilah
04893787-n	hemat
00661824-v	simaklah
05145118-n	berbiaya
01212469-a	rendah
08731423-n	makau
08860123-n	inggris
09044190-n	united arab emirates
02904075-a	administratif
14875077-n	bahan bakar
01218327-n	memesan
02686568-n	pesawat
00674607-v	memilih
00604897-a	mudah digunakan
03972524-n	kantung
02632940-v	antara
02690081-n	airways
08982037-n	cebu
08982037-n	pacific
02690081-n	air
02363597-v	bertema
08068597-n	hollywood
02735688-n	kawasan
02630189-v	menampilkan
04088797-n	wahana
06613686-n	film
13747865-n	18
02188720-a	24
00336831-a	pasti
01805355-a	hibur
13525549-n	penampilan
10112591-n	kawan
01675190-a	menakjubkan
10077593-n	penyuka
14375890-n	ketegangan
01742537-a	berperang
02440461-a	tinggi
04264914-n	wahana
11311173-n	spielberg
01808218-v	menarik
10059582-n	penggemar
00173761-n	cara
00924825-n	pembuatan
00770316-a	langsung
11311173-n	steven spielberg
01816431-v	memuaskan
01708676-v	berdansa
07985628-n	pasangan
00235435-n	mulai
08239808-n	kelas
01256417-n	pimpinan
02005948-v	sampai
08616311-n	jalanan
02592111-v	clubbing
02186338-a	salah
00971660-a	hip
13961642-n	kehidupan
08509786-n	kawasan
15169873-n	seminggu
01284212-a	spektakuler
02599754-v	menyediakan
00661091-n	terapi
00525453-a	komprehensif
15118011-n	24
00610538-v	ingatkan
00519739-n	sirkus
07064715-n	rock
10163723-n	bintang
10732967-n	akrobat
04271891-n	pertunjukan
00166146-a	memikat
00953216-v	mengisahkan
00312553-n	perjalanan
00007846-n	seseorang
05718935-n	musik
00167829-a	menawan
03113657-n	kostum
00166146-a	indah
04297476-n	tata
04417809-n	panggung
01285136-a	megah
00046344-n	laga
00046344-n	stunt
02706816-v	menantang
07355491-n	maut
01753788-v	diciptakan
14433361-n	pimpinan
10480018-n	produser
07295047-n	hasil
02869563-a	visual
03093076-a	olimpiade
08724726-n	beijing
02269039-a	tiada
04746842-n	banding
00006269-n	kehidupan
02349604-a	bawah
00720063-v	menantikan
08640531-n	resor
01329830-a	terpadu
90000065-n	marine life
00117985-v	tersimpan
01495912-a	besar
09411430-n	sungai
11501381-n	hujan
00948670-a	di dalam
01156568-v	bertemu
01481599-n	hiu
07458453-n	lumba
05129565-n	jarak
05758059-n	pengalaman
00429909-a	pasti
00196122-a	mendebarkan
02375619-v	jarak dekat
05984287-n	edukasi
08567235-n	lingkungan
09376198-n	laut
00007846-n	seorang
00336831-a	pastilah
01148283-a	gembira
01921964-v	naik
04417809-n	teater
11521145-n	taifun
80000869-a	multi-sensorik
02197781-v	serasa
03167666-n	dek
04194289-n	kapal
02964389-n	kargo
01935233-v	menuju
01935233-v	arab
02110082-v	menghadapi
02510879-a	ganas
00036762-n	keunggulan
00521209-n	pameran
04076533-n	replika
02858304-n	kapal
14423870-n	karam
08463969-n	harta karun
00059171-r	banyak
00037641-r	memang
02002470-a	terbatasi
05625465-n	imajinasi
02664769-v	menjadi
03428477-n	pintu
00401783-n	hiburan
00678923-a	malam
02734217-n	pintu gerbang
00005718-a	tak terbatas
00406243-v	bersiaplah
00056539-r	sesungguhnya
09411430-n	river
15162388-n	pesta
09450163-n	matahari
02039679-v	terbenam
00339934-v	berlangsung
90000097-n	singapore river
90000098-n	singapore river festival
15169248-n	matahari terbenam
01579128-a	yang akhir
02570267-v	memanjakan
01710260-a	gratis
05820620-n	misal
02858304-n	sampan
07481951-n	romantis
01380267-a	udara
00306314-a	boleh
00683280-v	percaya
07041451-n	duet
00063014-n	mencatat
00063014-n	rekor
00099951-n	ilusi
01282014-a	hebat
15234764-n	menit
05933834-n	latar
08625846-n	belakang
00220739-a	menakjubkan
05933834-n	latar belakang
07885223-n	minuman
07911677-n	koktail
01358695-a	menggoda
05145118-n	harga
07166851-n	khusus
07891726-n	minuman anggur
02240481-v	mencari
07526757-n	kegembiraan
09763784-n	teman
05935060-n	kenangan
07400906-n	debar
02843717-a	jantung
04952944-n	gemerlap
90000146-n	mandarin gallery
00311809-n	tamasya
02270342-a	canggih
00849357-a	elegan
02097480-a	menggoda
00848466-a	harus
08649345-n	samping
02299437-a	berbintang
02678839-v	mempesona
08399586-n	ragam
13744521-n	lima
02139544-v	menampilkan
02339120-a	kemuka
02154508-v	menemui
01123879-a	lezat
01195299-v	cobalah
00775486-a	eklektik
07135734-n	perbincangan
07657903-n	steak
07654667-n	potongan
05268112-n	daging
07667636-n	potongan daging
02635189-v	berarti
02637938-v	mengantri
01443097-a	sejenak
01009206-a	pertama
01835496-v	beranjak
00328015-n	pulang
02287041-v	belilah
04358707-n	supermarket
00928371-n	rancangan
02764549-a	minimalis
07698915-n	pasta
01801029-a	memuaskan
05870055-n	salah
01975138-a	berkaitan
02809692-a	teknologi
05870055-n	satu
01494310-v	memposisikan
01122149-n	perbelanjaan
00445548-a	jauh
01912159-v	menjelajahi
00110701-a	digital
00951831-a	dalam
90000124-n	city hall
00100883-r	dari jauh
00951831-a	di dalam
09769076-n	pecandu
08399586-n	jenis
06099269-n	elektronik
03642806-n	laptop
04379243-n	meja
04004475-n	printer
02942699-n	kamera
13943968-n	hal
00522751-v	dapatkan
02502016-a	bernilai
13754293-n	tambah
00512487-a	bersaing
02569030-a	nirkabel
00588797-a	puas
02003601-v	berburu
00061203-r	setelah
01686439-a	unik
80000844-n	cheongsam
00734054-v	mengambil
03051540-n	busana
13939892-n	titik
00812952-a	awal
90000116-n	tong tong
10107303-n	pendiri
01738774-v	mengembangkan
00579881-a	berani
04219277-n	siluet
01619725-v	diperbarui
00973192-a	bergaya
04971313-n	mawar
02687916-v	melingkupi
01467370-v	mengelilingi
01640550-v	didesain
00668366-a	terakhir
01646682-v	terinspirasi
02958392-a	prancis
02634265-v	menghasilkan
00908492-n	kreasi
00944415-v	memancarkan
04812871-n	gaya
03023449-a	paris
05931827-n	kaleidoskop
00406867-a	warna
00028270-n	masa
01727926-a	lalu
02787435-n	pernak-pernik
13265011-n	oleh
01044730-a	santai
01307571-a	gaul
07060976-n	jazz
04018399-n	pub
07051185-n	blues
90000213-n	clarke quay
10376890-n	barang antik
08688247-n	kawasan
01794340-a	semarak
08642145-n	blok
01729566-a	dahulu
00164201-v	direnovasi
07071942-n	genre
07020895-n	musik
05790944-n	alternatif
05955186-n	mainstream
00812952-a	yang dahulu
00395698-v	menyatu
09763784-n	sahabat
08544593-n	penjuru
00507927-r	bersama-sama
15150134-n	1960-an
01063695-v	mengajak
00037226-r	benar
07450651-n	pesta
02684924-v	berlangsung
01894649-v	menari
01998432-v	mengikuti
08494133-n	suasana
04161358-n	duduk
04215402-n	trotoir
14524661-n	suasana hati
01505254-v	mencuri hati
03388043-n	air mancur
03984234-n	porselin
13371760-n	emas
13371958-n	berlian
04306847-n	patung
01729566-a	tua
14699752-n	batu mulia
03294048-n	peralatan
13923779-n	kesehatan
04683814-n	kecantikan
01617192-v	menjadikan
01617192-v	membuat
00078760-v	merawat
05581693-n	kuku
00749749-a	mudah
02325968-v	berbelanja
00304787-r	seharian
00279835-n	pindah
13767239-n	gelas
04407435-n	kuil
01386010-a	agung
01233156-n	singgahlah
08651247-n	situs
13659162-n	meter
02043217-a	persegi
00103194-r	mula
10309896-n	saudagar
10099375-n	penganut
09532214-n	buddha
01781478-a	saleh
02263027-v	menyumbangkan
13246662-n	tanah
05768553-n	mimpi
01999798-v	membawa
02596113-v	bertemu
10236304-n	keluara
00524682-v	mengambil
07228751-n	sumpah
09532942-n	buddha
09840217-n	saudagar kaya
09683757-n	penganut buddha
08600443-n	monumen
02924102-a	buddha
01003277-a	selesai
00612042-v	memperingati
15143477-n	kematian
15142167-n	kelahiran
90000219-n	sang buddha
01675963-v	didekorasi
01795933-a	rumit
02358034-v	terbuka
02685665-v	capai
02050132-v	melewati
00148540-r	secara
00284798-n	berjalan-jalanlah
02164694-v	mengagumi
00317008-a	ukir
00976508-a	cepat
00452512-v	mengisi
13940456-n	puncak
15159583-n	tanggal
13748890-n	26
02641463-v	tunggu
01817314-v	mempesona
10633450-n	penonton
07458453-n	balap
02215087-a	⨁nya
00007015-r	berkisar
02058994-v	bergegaslah
00048739-r	sekarang
02510879-a	seru
14006945-n	aksi
08430203-n	barisan
00071050-r	sekeliling
04295881-n	arena
04038109-n	sirkuit
00511555-n	karnaval
02186580-a	tiga
06891493-n	pagelaran
02991122-a	artistik
01946439-a	interaktif
07186828-n	seru
02609764-v	berakhir
07458453-n	acara
02609764-v	selesai
02705428-v	tidak berakhir
02067719-a	beragam
15167349-n	malam
07885223-n	minum
01919931-a	heboh
00576451-n	aksi
02984781-a	korporat
00674607-v	pilihlah
00026385-v	bersantai
03691817-n	lounge
08663860-n	puncak
01195299-v	rasakan
00597915-v	ketahui
00597915-v	informasi
02207206-v	belilah
04351550-n	suite
01862386-a	khusus
13810141-n	puncak
00559690-a	ramai
02111684-a	gabungan
00174150-a	bunyi
02761834-n	klakson
02958343-n	mobil
02824448-n	bel
01266841-a	riuh
07136940-n	obrolan
10523519-n	penduduk
02150948-v	simaklah
00511555-n	keramaian
14526182-n	aroma
08673395-n	kawasan
00728954-v	menyelami
00228294-a	utama
00903894-a	yang utama
08490039-n	terletak
01110274-n	perdagangan
15248564-n	masa
02128653-v	lihat
03640589-n	lorong
02697759-n	gang
04565233-n	tepi jalan
10102506-n	peramal
01816887-n	nuri
02302817-v	menjajakan
08434259-n	rangkaian
12306717-n	melati
10411551-n	penjual
03484083-n	kereta
03484083-n	dorong
06255613-n	koran
04528256-n	pinggir
05820620-n	contoh
02128653-v	tengok
01816887-n	burung nuri
10097705-n	penjual bunga
08524262-n	tengah
05714466-n	aroma
11669335-n	bunga
02398608-a	tajam
00950272-a	dalam
10880981-n	campbell
90000158-n	serangoon road
90000013-n	campbell lane
02151966-v	temukanlah
02873839-n	kios
14966667-n	minyak
14638799-n	emas
04946877-n	tekstur
01030820-n	ritual
08081668-n	agama
09684609-n	hindu
02923745-a	hindu
01716882-v	dipersembahkan
09526703-n	kali
15120050-n	saat
00024073-r	jangan
02641957-v	lewatkan
01375831-a	kondang
02397496-a	pedas
90000053-n	komala villas
02194286-v	cicipi
90000416-n	martabak
01792973-a	kosong
02395115-a	gurih
90000063-n	makanan india
00491511-a	beda
02652494-v	menginap
02126430-a	beralamat
00860127-a	eksperimental
02649042-v	menempati
15148867-n	tahun 1920-an
00239908-r	masing
03365991-n	tingkat
01639714-v	rancang
08059870-n	firma
00522463-a	lengkap
03965456-n	pusat
03176763-n	perbelanjaan
00490968-v	jam
90000148-n	mustafa
03109486-n	sudut
80000397-n	serangoon
04096066-n	roads
90000148-n	mustafa centre
04677514-n	bentuk
00851588-a	sederhana
04674715-n	rupa
01091234-a	hiasan
00700451-a	pasti
01411451-a	mungkin
13763384-n	yang terendah
00649481-v	dijelajahi
01634495-a	kaki
00019131-a	capai
01904930-v	berjalan kaki
02018049-v	naik
02924116-n	bis
02366927-a	reguler
02448185-v	kelola
04473432-n	transportasi
01861205-a	umum
08186047-n	layanan
15137890-n	libur
01864230-v	mulai
15278281-n	frekuensi
15183428-n	hari libur
02187073-a	8
02187793-a	15
07309599-n	22
07309599-n	11
00901826-a	utama
90000205-n	ngee ann city
02270186-a	setiap
10936716-n	dior
11106943-n	calvin klein
04271531-n	toko khusus
02140033-v	tampilkan
07324917-n	peningkatan
00264366-n	diri
07571324-n	masakan
00825089-a	barat
03117012-a	thailand
02967791-a	korea
02702830-v	sesuai
07485626-n	selera
02630189-v	ditonjolkan
00248765-r	utama
03176763-n	department store
02907656-a	olahraga
02224055-v	melepas
14040660-n	dahaga
02530770-v	mencoba
04477387-n	treadmill
00024073-r	belum
00075021-v	melelahkan
02624263-v	berasal
02077656-v	bawa
90000336-n	lor mee
15149763-n	tahun 1950-an
05849789-n	ciri
02278011-a	khas
07829412-n	kuah
02415390-a	kental
02397234-a	pekat
02233154-a	bertepung
00556855-v	buat
02410393-a	tebal
02873839-n	gerai
00048475-r	masa kini
90000336-n	loe mee
00700708-v	menentukan
02395115-a	enak
01674604-a	biasa
00328128-v	merebus
07882497-n	campuran
05269901-n	tulang
00684480-a	yang menentukan
07710616-n	kentang
12143676-n	jagung
00457998-v	mengentalkan
07680761-n	tepung jagung
01157517-v	pakai
00436879-v	berbeda-beda
00616913-a	tumis
07666071-n	perkedel
04992570-n	bumbu
04101232-n	gulungan
90000183-n	ngo hiang
00335768-a	tertentu
01846331-n	bebek
07577144-n	ikan goreng
07646578-n	daging bebek
07814925-n	jahe
01560583-v	cacah
00381097-a	merah
00409440-a	hitam
02339171-v	memberi
01104026-a	spesial
07818277-n	bawang putih
06694540-n	rekomendasi
00856651-a	lezat
00238022-n	pembukaan
00931852-v	artinya
08078020-n	keluarga
07576182-n	prasmanan
03596787-n	permata
02517817-a	tersembunyi
01180351-v	tersaji
00144722-r	sudah pasti
09179264-n	sebab
00724832-v	mengherankan
00560100-a	penuh
02950711-a	strategis
00679937-v	memilih
00061203-r	sesudah
15228378-n	pukul
01533974-a	terlalu
02715812-v	penuh
10151133-n	tamu
00875141-v	sarankan
07540602-n	kebagian
01167981-v	makan malam
00079499-r	malam ini
02358034-v	membuat
00611256-v	terkenang
02191546-v	rasa
01825671-a	kuat
02229055-v	mewariskan
01528730-a	emas
15249636-n	generasi
02022162-v	menjadi
07556970-n	hidangan
00386915-n	potongan
00021878-r	kadang
01329830-a	dipadu
08588152-n	isi
14480420-n	cairan
01081340-a	menghasilkan
01759326-v	menggugah
00588888-v	mengetahui
01712704-v	membuat
07556970-n	masakan
00744916-a	tidak mudah
13736799-n	setengah
01251651-v	menggosok
00456151-v	merendam
01553987-v	memotong
01311103-v	mencongkel
00117620-r	lalu
00332017-v	menggiling
00184117-v	mencampur
01463963-v	merapikan
05249636-n	bukaan
13139647-n	kulit
03623556-n	pisau
13860793-n	bentuk
02679012-v	layak
01494310-v	memasukkan
00089351-n	kembali
00620752-n	kerja
01493234-v	memasukkan ke dalam
01579128-a	terakhir
01462005-v	campur
00457998-v	mengental
00038625-r	memang
00117620-r	jadi
01849221-v	mari
01805982-v	hargai
02511528-a	keras
01920698-v	menjelajah
07842753-n	omelet
13575433-n	fermentasi
07963711-n	kombinasi
01410606-a	mirip
00161630-r	perlahan
01492061-a	lunak
07644382-n	ayam
08956760-n	laos
12433081-n	bawang
07821919-n	kunyit
07812184-n	rempah
01264283-v	melapisi
12434775-n	bawang putih
02423183-v	dibiarkan
02686805-v	sampai
00601659-v	percaya
00802946-v	dibiarkan
01441530-a	semalaman
02161982-a	besar
01905653-a	fitri
01778568-v	menghormati
90000328-n	hari raya
15218448-n	idul fitri
02193765-v	melainkan
90000333-n	nasi padang
07707451-n	sayur
04270891-n	batang
12147539-n	bambu
90000332-n	sayur lodeh
08704409-n	kandahar
01883106-a	bersejarah
01052428-a	wangi
00054950-r	amat
90000047-n	kandahar street
90000120-n	warong nasi pariaman
00047392-r	yang amat
13927383-n	suasana
01535709-a	modern
09526107-n	garuda
90000168-n	the rice table
07020538-n	tari
00611047-a	klasik
00818175-a	kuno
02202712-a	kelima
00017881-r	seperti
09675393-n	tamil
07069948-n	ekspresi
07086518-n	irama
05003590-n	keanggunan
06879521-n	ditampilkannya
05081300-n	pose
02199590-v	memberi
14434866-n	penekanan
07046339-n	gerakan
06980315-n	bahasa tamil
08630039-n	bagian
07020538-n	tarian
07302836-n	api
07323231-n	penjelmaan
02863247-a	mistis
05868954-n	unsur
00862067-a	metafisika
05216365-n	tubuh
01258617-a	manusia
01258617-a	tubuh manusia
01712704-v	melakukan
05844105-n	bentuk
14003880-n	keseimbangan
05022457-n	kelenturan
00512877-v	memungkinkan
02674879-v	menirukan
07309781-n	gerak
13480848-n	api
02099075-v	menari-nari
13481883-n	lidah api
00602805-v	melatih
01733477-v	mengadakan
01296324-v	menjembatani
09303008-n	bukit
09403734-n	pegunungan
01602330-a	selatan
02377938-v	menggabungkan
00523513-n	olahraga
90000068-n	mount faber park
90000109-n	telok blangah hill park
90000105-n	southern ridges
05129201-n	panjang
04683814-n	keindahan
02841066-a	ruang
01886620-a	terbuka
01882170-v	berjalan-jalan
13745270-n	9
05933246-n	panorama
04814238-n	keindahan
02389220-a	liar
02531919-a	cerah
02721438-v	memberi
10426749-n	fotografer
09366762-n	alami
00748972-v	memberi
00449332-a	arah
08639058-n	pelabuhan
09203827-n	kepulauan
08563085-n	selatan
13793330-n	penghubung
00579084-a	menonjol
05930736-n	bentuk
03065424-n	lingkaran
02717102-v	bawa
04248607-n	gambar
08620061-n	titik
09451517-n	permukaan
10412055-n	pejalan kaki
01003249-v	mengambil gambar
05132340-n	permukaan laut
01654628-v	dibangun
01654628-v	bangun
01734502-v	ulang
02191040-a	48
03882058-n	panel
01321895-v	ukir
01215421-v	menangkap
11428023-n	sinar
09450163-n	surya
01990281-v	terbit
01970646-v	terbenam
15249799-n	ulang tahun
00887463-v	didedikasikan
05600637-n	wajah
02612762-v	menghadiri
00296585-n	prosesi
90000321-n	thaipusam
07942152-n	umat
10077593-n	hindu
00037298-v	mencukur
00311687-n	ziarah
02129718-a	ditetapkan
02375131-v	terlibat
00030358-n	tindakan
14580090-n	pengabdian
02717102-v	membawa
90000322-n	kavadi
03679986-n	beban
01449974-v	membawa
13769033-n	sepanci
00421437-n	penyiksaan
05217168-n	tubuh
01227675-v	menusuk
05238282-n	kulit
05301072-n	lidah
05602835-n	pipi
05943066-n	keimanan
05946687-n	agama
06693198-n	pujian
07713895-n	cabbage
07713895-n	kubis
07775375-n	fish
05538625-n	head
07823951-n	curry
07823951-n	gulai
09363970-n	harus
90000032-n	gulai kepala ikan
02545272-v	berpetualang
14705287-n	terasi
02396098-a	pahit
90000006-n	ayam buah keluak
02359340-v	mendapat
00510749-r	begitu
90000314-n	deepavali
00340133-r	harafiah
11473954-n	cahaya
00342443-v	jatuh
15213406-n	november
13744521-n	5
07450651-n	perayaan
07473441-n	kemenangan
04849241-n	kebaikan
04852088-n	kejahatan
