synset	lemma	annotation	goodness label
06373314-n	jalan cerita	KEEP	X
02686471-v	menyeret	DELETE	O
80002045-n	katong laksa	KEEP	None
08166318-n	pengadilan	KEEP	O
01737923-v	cipta	KEEP	None
13810141-n	bagian	KEEP	None
05682950-n	minat	KEEP	O
15138903-n	bulan madu	KEEP	O
04980463-n	wangi	KEEP	O
02328559-a	keras hati	KEEP	None
00194924-a	mengerikan	KEEP	O
01151110-v	meluwengkan	DELETE	O
02188913-a	26	KEEP	None
10677271-n	pemasoknya	KEEP	X
01462005-v	lakur	DELETE	O
10290541-n	maniak	KEEP	None
04981941-n	suara	KEEP	O
00342812-v	terdapat	KEEP	O
02586619-v	berkuasa	KEEP	Y
14526182-n	suasana	KEEP	Y
01733477-v	diadakannya	KEEP	None
15256714-n	ronde	KEEP	O
80000689-n	centrepoint	KEEP	None
06799897-n	rangka	DELETE	O
13961399-n	kehidupan	KEEP	Y
09263811-n	dalam	DELETE	O
11252222-n	raffles	KEEP	None
01052248-a	wangi	KEEP	O
90000176-n	dewa krishna	KEEP	None
00342812-v	tersedia	KEEP	O
90000017-n	Chinatown Food Street	KEEP	None
05416198-n	air liur	KEEP	O
05936561-n	paduan	KEEP	O
76100092-x	laras	KEEP	None
01676517-a	menakjubkan	KEEP	O
05840188-n	sejenis	KEEP	None
01844431-v	persinggahan	KEEP	None
10078806-n	petani	KEEP	Y
08399818-n	pilihan	KEEP	O
07060976-n	jazz	KEEP	None
00442669-r	eceran	KEEP	O
02207206-v	berbelanja	KEEP	O
01456710-a	tepu	DELETE	O
01904930-v	berjalan	KEEP	Y
02020590-v	tiba	DELETE	O
01969150-a	tahunan	KEEP	Y
13910384-n	ruangan	KEEP	Y
00520257-n	pertunjukan	KEEP	O
15278281-n	frekuensi	KEEP	Y
00394813-v	membancuh	DELETE	Y
09405949-n	sungai merah	DELETE	X
90000198-n	sri warisan	KEEP	None
09772029-n	remaja	KEEP	Y
02876657-n	botol	KEEP	Y
03432972-n	permata	KEEP	L
02346136-v	impor	KEEP	Y
03014705-n	kotak	KEEP	O
02669885-n	akademi	KEEP	Y
07782365-n	gurita	KEEP	O
01378556-v	merebak	KEEP	O
00514884-a	keseluruhan	KEEP	Y
01413247-a	mungkin	KEEP	Y
09908025-n	muda	DELETE	O
01969707-a	setiap bulan	KEEP	X
01009240-v	katakan	KEEP	None
10009276-n	penyidik	KEEP	None
08650157-n	sebelah	KEEP	O
00054950-r	amat	KEEP	O
05145118-n	harga	KEEP	Y
08723006-n	china	KEEP	None
12352287-n	pisang	KEEP	O
13841651-n	berhubungan dengan	KEEP	X
01011973-a	awal	KEEP	O
01998432-v	ikuti	KEEP	X
90000037-n	Geylang Lor	KEEP	None
00670261-v	menilai	KEEP	O
00938659-a	sah	KEEP	O
01188725-v	kehendak	DELETE	Y
07323231-n	penjelmaan	KEEP	O
06845599-n	merek	KEEP	O
01332730-v	menutup	KEEP	Y
00724492-v	hirau	KEEP	None
01233156-n	kunjungilah	KEEP	X
10129825-n	perawan	DELETE	O
00783840-a	umum	KEEP	O
01179865-v	mengganyang	DELETE	O
07598256-n	permen	KEEP	O
01999218-v	memandu	DELETE	O
02824448-n	lonceng	KEEP	O
00900583-v	menyambut	KEEP	O
00488187-a	tersendiri	KEEP	O
01182709-v	menyuguhkan	KEEP	None
06532095-n	tindakan	KEEP	O
15211806-n	juni	KEEP	O
06642138-n	berita	KEEP	Y
02754096-a	hukum	KEEP	Y
02302220-v	menyandang	KEEP	O
00406243-v	menyiagakan	KEEP	None
07944050-n	muda-mudi	KEEP	None
07967982-n	kaum	KEEP	Y
02718015-v	mengimbangi	KEEP	O
01771535-v	serasa	KEEP	None
14956325-n	lumpur	KEEP	Y
09452653-n	jalur	KEEP	O
00144405-r	sejenak	KEEP	None
10284064-n	pembuat	KEEP	O
02022167-a	mewah	KEEP	O
00482122-n	netball	KEEP	X
00596644-v	mengenal	KEEP	O
00599992-v	memasukkan	DELETE	O
01755816-v	melaksanakan	KEEP	O
01676517-a	sangat	KEEP	O
03120198-n	halaman	KEEP	O
12104384-n	serai	KEEP	Y
00120796-v	mengalami	DELETE	O
00986766-a	empuk	KEEP	None
00887463-v	berdedikasi	KEEP	Y
00110701-a	digital	KEEP	O
02737876-v	dipunyai	DELETE	X
04299215-n	gerai	KEEP	Y
01554063-a	beberapa	KEEP	O
02921592-n	air	DELETE	O
15237782-n	musim dingin	KEEP	O
00748972-v	memberi	KEEP	O
00770316-a	langsung	KEEP	O
07944050-n	pemuda	KEEP	Y
80000902-a	vintage	KEEP	None
01173933-v	makan	DELETE	O
02627934-v	mempersilakan	DELETE	O
02287041-v	temukan	KEEP	None
00510644-a	seefisien	KEEP	None
11038657-n	heinz	KEEP	None
09956578-n	penakluk	KEEP	Y
02006834-v	menubruk	DELETE	O
10754449-n	pelanggar	KEEP	M
02941790-a	afrika	KEEP	None
01730444-a	terakhir	KEEP	None
02128873-v	lihat	KEEP	O
04202417-n	ruko	KEEP	X
02205272-v	berhasil	DELETE	O
00972902-a	modern	KEEP	None
13153633-n	kehijauan	KEEP	None
02821071-a	kota	KEEP	Y
02614181-v	hidup	KEEP	O
15119919-n	sekarang	KEEP	O
09428628-n	tepi pantai	KEEP	X
14437552-n	kehormatan	KEEP	O
04814238-n	kemegahan	KEEP	O
01580467-v	bungkus	KEEP	O
02359464-a	mengejutkan	KEEP	O
02006834-v	jatuh ke	DELETE	X
00522751-v	dapatkan	KEEP	X
06619428-n	siaran	KEEP	O
00586262-n	pengiriman	DELETE	O
10747119-n	vegetarian	KEEP	X
04060904-n	wadah	KEEP	O
04424418-n	barang	KEEP	O
08997801-n	singapore	KEEP	None
15213406-n	november	KEEP	O
80001382-x	astaga	KEEP	None
90000013-n	campbell lane	KEEP	None
00163233-n	tujuan	KEEP	Y
01021629-v	atur	KEEP	O
00388065-n	parut	KEEP	O
01250835-a	tropis	KEEP	None
05844663-n	warna	KEEP	O
10129825-n	gadis	KEEP	O
90000085-n	river hong bao	KEEP	None
01224744-v	dioperasikan	KEEP	X
80001132-n	aku	KEEP	None
14879750-n	kristal	KEEP	O
02128385-n	macan tutul	KEEP	O
02584699-a	baru	KEEP	O
01289083-a	indah	KEEP	None
05856388-n	nilai	KEEP	Y
01036996-n	pernikahan	KEEP	Y
05611302-n	pikiran	KEEP	O
01060317-v	memberi	KEEP	O
90000118-n	tuas checkpoint	KEEP	None
00575365-n	duck soup	DELETE	X
00991838-a	lemak	KEEP	O
02108026-v	mengalami	KEEP	O
00145571-r	cukup	KEEP	O
03322836-n	farmhouse	KEEP	None
02587532-v	menguruskan	DELETE	Y
02804590-a	suburban	KEEP	None
04306847-n	arca	KEEP	O
00664449-a	ingin tahu	KEEP	O
13953608-n	perintah	KEEP	O
01181661-a	bumi	KEEP	O
00521562-n	presentasi	KEEP	None
05652593-n	kerelaan	KEEP	O
13927383-n	kondisi	KEEP	Y
01518878-n	burung unta	KEEP	O
02197505-v	menyapa	KEEP	L
01326528-v	mempertiadakan	DELETE	O
02074092-a	gila	KEEP	O
01072949-v	bermain	KEEP	Y
00048475-r	masa kini	KEEP	O
00715140-a	demokratis	KEEP	O
07579787-n	sepiring	KEEP	None
02607830-v	terbentang	KEEP	O
06337693-n	panggilan	KEEP	O
01674604-a	agak baik	DELETE	X
12916723-n	jati	KEEP	M
00407848-v	didekorasi	KEEP	None
07931733-n	teh manis	DELETE	X
02493030-v	menyambangi	KEEP	O
08276720-n	sekolah	KEEP	O
11105778-n	kipling	KEEP	None
02603699-v	adalah	KEEP	L
01462005-v	campur	DELETE	O
00388094-r	staccato	KEEP	None
02728440-n	pakaian	KEEP	Y
00514884-a	sepanjang	KEEP	O
10403876-n	penumpang	KEEP	Y
12900462-n	cabai	KEEP	O
00005526-v	megap-megap	KEEP	None
01012855-a	premier	KEEP	None
00350104-v	memulai lagi	DELETE	X
09023321-n	spanyol	KEEP	X
07199565-n	sahutan	KEEP	None
00666058-a	sekarang	KEEP	Y
01586342-a	sedap	KEEP	O
02864068-a	melodis	KEEP	X
00976531-n	penyerbuan	KEEP	O
00187120-r	dengan nyaman	KEEP	X
05682950-n	perhatian	KEEP	O
02003357-a	terbuka	KEEP	O
03427296-n	pintu	KEEP	O
07786164-n	osyter	KEEP	None
02582615-v	melakukan	KEEP	O
80001305-n	suku Minangkabau	KEEP	None
08588152-n	di dalam	DELETE	X
00729133-a	indie	KEEP	None
01875295-v	menggoyang	KEEP	Y
06650431-n	dokumentasi	KEEP	O
02394183-v	memenuhkan	DELETE	None
01933731-a	sebenarnya	KEEP	O
00624026-a	ramai	KEEP	O
04544626-n	wakeboard	KEEP	None
01586342-a	menarik	KEEP	Y
02701210-v	menggemak-gemak	DELETE	O
80000370-n	Sentosa	KEEP	None
05565064-n	tinju	KEEP	X
15247110-n	sekejap	KEEP	Y
01114824-n	sale	KEEP	None
02367032-v	meninggalkan	KEEP	O
00643863-a	imajinatif	KEEP	None
01332730-v	menutupi	KEEP	Y
00910973-v	mengeluh	KEEP	O
15245829-n	waktu	KEEP	O
12582231-n	palem	KEEP	None
14450691-n	kebutuhan	KEEP	O
04733118-n	aspek	KEEP	O
02191766-v	dibumbui	KEEP	None
13365286-n	mata pencaharian	KEEP	None
00071165-r	di sekitar	KEEP	X
00658082-n	perawatan	KEEP	L
04454240-n	gasing	KEEP	Y
06278136-n	suara	KEEP	O
04605726-n	salut	KEEP	L
90000180-n	imperial treasure cantonese cuisine	KEEP	None
00422435-r	sangat	KEEP	O
00955148-v	maksudkan	DELETE	X
01655902-v	ulang	KEEP	None
00751567-v	mensyaratkan	DELETE	O
10480253-n	karyawan	KEEP	Y
02506555-a	beraneka	KEEP	Y
00674607-v	membutuhkan	DELETE	O
04366367-n	jembatan gantung	KEEP	None
15142167-n	kelahirannya	KEEP	None
00915321-a	tepat	KEEP	O
02647497-v	tetap sama	DELETE	X
07601999-n	coklat	KEEP	None
00106921-r	biasanya	KEEP	Y
01920698-v	menjelajah	KEEP	O
08376250-n	rangkaian	KEEP	O
13746512-n	10	KEEP	None
00758333-v	mengambil	KEEP	L
02935658-n	kedai kopi	KEEP	Y
02005948-v	mencapai	KEEP	O
00594413-a	terus-menerus	KEEP	Y
00060632-r	sebelum ini	KEEP	X
05868477-n	akhir	KEEP	O
07064715-n	rock	KEEP	None
00097504-n	kinerja	KEEP	None
00378479-n	penyalaan	KEEP	None
00173338-v	mengalih dari	DELETE	X
11465888-n	kabut asap	KEEP	None
00279092-a	gemerlap	KEEP	None
04751305-n	variasi	KEEP	None
01277097-a	penting	KEEP	O
09880741-n	maling	KEEP	O
10732967-n	akrobat	KEEP	O
80000410-n	zara	KEEP	None
08588152-n	di dalam	KEEP	X
07066659-n	bergaya	KEEP	None
05143077-n	kepentingan	KEEP	O
13983304-n	lampu	KEEP	O
04954920-n	semarak	KEEP	None
01409581-a	sebagai	DELETE	O
00051848-r	terus	KEEP	O
00146594-r	begitu	KEEP	Y
14890286-n	granit	KEEP	O
02647497-v	wujud	DELETE	O
00324384-n	naik	KEEP	O
01284212-a	dramatis	KEEP	None
02327200-v	memberikan	DELETE	Y
01484083-a	wanita	KEEP	O
01845720-v	bepergian	KEEP	O
00149510-r	nyata	KEEP	None
02545272-v	berpetualang	KEEP	X
02186750-a	kelima	KEEP	None
07951464-n	koleksi	KEEP	Y
02136892-v	mencerminkan	KEEP	O
02154312-v	melihat	KEEP	O
10967447-n	fatimah	KEEP	None
01444563-v	menyate	KEEP	None
15170504-n	akhir pekan	KEEP	O
08997487-n	dunearn road	KEEP	None
02206619-v	menawan	DELETE	O
02677097-v	mengenai	KEEP	O
01664172-v	berisi	KEEP	None
00019131-a	capai	KEEP	None
00451838-v	memenuhi	KEEP	O
09039411-n	turki	KEEP	None
01595312-a	lazim	DELETE	O
07904395-n	gin	KEEP	O
02648110-v	berlangsung	KEEP	O
05946687-n	religi	KEEP	O
13497135-n	pertumbuhan	KEEP	Y
02315938-v	warisi	KEEP	X
04664314-n	pencegahan	KEEP	O
07360841-n	peristiwa	KEEP	O
00098714-r	malahan	KEEP	None
01849221-v	datang	KEEP	O
08630039-n	negara	DELETE	O
03717921-n	model	KEEP	O
06062407-n	radiologi	KEEP	None
15249799-n	ulang tahun	KEEP	Y
00149510-r	sesungguh	KEEP	None
08653706-n	berdiri	KEEP	O
07840804-n	eggs	KEEP	None
01283508-a	megah	KEEP	O
04353803-n	keseluruhan	KEEP	Y
00047534-r	selain	KEEP	L
00641158-a	sopan	KEEP	O
01450969-a	tersesat	KEEP	Y
09878275-n	pembangun	KEEP	O
01168988-a	medis	KEEP	O
05149832-n	bantuan	KEEP	O
05202497-n	beradaptasi	KEEP	None
02604760-v	kedua	KEEP	None
04345288-n	barang	KEEP	O
07879450-n	sushi	KEEP	X
00039021-n	interaksi	KEEP	Y
08458912-n	rangkaian	KEEP	O
01694263-v	tiru	KEEP	L
09885145-n	pembelanja	KEEP	None
08210835-n	Scotland Yard	KEEP	O
02244956-v	menjual	KEEP	O
07360841-n	kejadian	KEEP	O
05768252-n	visi	KEEP	Y
77000023-n	-mu	KEEP	None
15160579-n	hari	KEEP	O
00971660-a	hip	KEEP	None
03728437-n	korek	KEEP	None
05715864-n	rasa	KEEP	Y
00958880-a	setia	KEEP	O
02067719-a	beragam	KEEP	None
02050132-v	melewati	KEEP	None
05128519-n	seluas	KEEP	X
00049003-n	tindakan memasuki	DELETE	X
07447641-n	pesta	KEEP	Y
00031820-v	tertawa	KEEP	Y
08833295-n	sydney	KEEP	None
01858910-v	keliling	KEEP	None
90000124-n	City Hall	KEEP	None
01101391-a	umum	KEEP	Y
10030277-n	dramatis	KEEP	O
02108026-v	mendapat	KEEP	O
01422556-a	secara langsung	KEEP	X
00755745-v	menjangka	DELETE	Y
00348746-v	mulai	KEEP	Y
02213336-v	menemukan	KEEP	O
08903220-n	delhi	KEEP	None
07585107-n	kaldu ayam	KEEP	X
05943066-n	keimanan	KEEP	L
09991026-n	orang	DELETE	O
11463746-n	keberuntungan	KEEP	O
02136892-v	tercermin	KEEP	O
01123879-a	bagus	KEEP	O
01212230-v	melalui	KEEP	None
00173761-n	cara	KEEP	O
08524735-n	city	KEEP	None
01581305-a	berlebihan	KEEP	O
04677385-n	ukuran bahan cetakan	DELETE	X
00009966-r	silakan	KEEP	Y
01028748-v	dinamakan	KEEP	X
08761868-n	kopenhagen	KEEP	X
90000299-n	Nonya	KEEP	None
07751451-n	plum	KEEP	None
10391653-n	pelukis	KEEP	Y
02112701-a	bersatu	KEEP	O
00033615-n	jumlah	KEEP	O
09923673-n	warga	KEEP	Y
00279835-n	pindah	KEEP	O
01646941-a	anak	KEEP	O
07850329-n	cheese	KEEP	None
00369941-a	keemasan	KEEP	O
00274724-v	makan hati	DELETE	X
02071420-a	sama seperti	KEEP	X
01091234-a	dekoratif	KEEP	O
05812038-n	tengah	KEEP	None
80001272-v	timbul tenggelam	KEEP	None
14024882-n	tidur	KEEP	Y
00213794-v	sanggup	DELETE	O
00122844-a	mengiringi	KEEP	O
02150948-v	tampil	KEEP	None
12147539-n	bambu	KEEP	O
02167052-v	melihat	KEEP	O
00069472-r	di	DELETE	O
13497135-n	tumbuh	KEEP	None
80000201-n	Hari Raya Haji	KEEP	None
04992570-n	bumbu	KEEP	L
00921300-v	beralamat	KEEP	O
14539268-n	pengamanan	KEEP	O
00014742-v	tidur	KEEP	O
01728614-a	kuno	KEEP	O
01755627-a	sementara	KEEP	Y
04921011-n	warisan	KEEP	O
90000218-n	world gourmet summit	KEEP	None
01508719-a	pedas	KEEP	None
00034213-n	fenomena	KEEP	Y
15155891-n	esok	KEEP	O
01494310-v	memposisikan	KEEP	None
00734054-v	meluwengkan	DELETE	O
01095966-n	perusahaan	KEEP	O
90000298-n	peranakan	KEEP	None
06835845-n	ρ	KEEP	None
00196692-r	banyak	KEEP	O
07669891-n	ham	KEEP	Y
10077593-n	penyuka	KEEP	None
04219424-n	sutra	KEEP	None
02209936-v	membawa	DELETE	O
02701210-v	melenggarakan	DELETE	None
00026385-v	bersantai	KEEP	Y
02527588-a	diburu	KEEP	None
05933246-n	pemandangan	KEEP	Y
02479323-v	membekali	DELETE	O
00388065-v	bereksperimen	KEEP	None
00975487-a	bergaya	KEEP	O
02267989-v	meluwengkan	DELETE	O
02210855-v	dapat	DELETE	Y
90000096-n	singapore handicraft centre	KEEP	None
15138600-n	waktu bermain	KEEP	X
02635956-v	menemani ke	DELETE	X
00071840-r	terhadap	DELETE	O
01679806-v	menghias	KEEP	O
01027174-v	menyesuaikan	DELETE	O
00329831-a	pusat	KEEP	Y
13275288-n	perbelanjaan	KEEP	Y
10042300-n	pemakan	KEEP	O
08463969-n	harta karun	KEEP	Y
01723224-v	berlatih	KEEP	O
00886448-a	berlaga	KEEP	None
05400860-n	a	KEEP	O
06929742-n	china	KEEP	None
90000208-n	yong tau foo	KEEP	None
03415363-n	regu	KEEP	O
07814487-n	cengkeh	KEEP	O
15210383-n	pertengahan januari	KEEP	X
00527801-v	diawetkan	KEEP	X
90000318-n	cendol	KEEP	None
03984234-n	porselen	KEEP	None
02587532-v	mengatur	DELETE	O
10472799-n	pangeran	KEEP	O
00182406-v	menambah isi	KEEP	X
00117985-v	terus	KEEP	O
02542280-v	mematuhi	KEEP	Y
90000047-n	kandahar street	KEEP	None
02609764-v	selesai	KEEP	O
00674607-v	pilihlah	DELETE	X
90000187-n	Rumah Makan Minang	KEEP	None
08641113-n	kawasan sekeliling	DELETE	X
00471572-a	menurut	KEEP	Y
15234764-n	menit	KEEP	O
10757193-n	pengunjung	KEEP	Y
00648224-v	menjelajahi	KEEP	O
00705891-a	lembut	KEEP	Y
06888944-n	pemandangan	KEEP	O
06240865-n	mahayana	KEEP	None
10936716-n	dior	KEEP	None
09403734-n	pegunungan	KEEP	O
01389451-a	besar-besaran	KEEP	O
11427842-n	sial	KEEP	O
01664172-v	membuat	KEEP	Y
02521410-v	bertengkar	DELETE	O
08497294-n	wilayah	KEEP	O
00951831-a	bhg dalam	DELETE	X
04679419-n	rupa	KEEP	O
90000306-n	Pongal	KEEP	None
08524735-n	kota	KEEP	Y
10411551-n	jalanan	KEEP	None
02283324-v	menyimpan	KEEP	O
02694677-v	mahkota	KEEP	L
05814650-n	hal	KEEP	Y
00049003-n	jalan masuk	DELETE	O
02325968-v	berbelanja	KEEP	O
01015104-v	jamin	KEEP	O
01099951-a	spesifik	KEEP	L
07783102-n	ikan asin	KEEP	O
06523641-n	jaminan	KEEP	Y
15245829-n	saat	KEEP	O
02108654-v	terima	DELETE	O
01204294-n	rangka	DELETE	O
01258617-a	tubuh manusia	KEEP	X
04814238-n	brilian	KEEP	O
01842367-v	meninggalkan	KEEP	O
00616913-a	braised	KEEP	None
02084979-a	teknologi	KEEP	O
00072201-r	di sekitar	KEEP	X
01463963-v	merapikan	KEEP	Y
08629508-n	balik	KEEP	None
01536094-a	kontemporer	KEEP	None
15205532-n	abad	KEEP	Y
02108654-v	dihukum	DELETE	X
00144722-r	sudah pasti	KEEP	X
80001043-n	baju kurung	KEEP	None
08809165-n	milan	KEEP	None
08588152-n	dalam hati	DELETE	X
01083373-v	rosakkan	DELETE	X
00138611-r	agaknya	KEEP	O
01985247-a	terbuka	KEEP	O
01195299-v	coba	KEEP	O
08588699-n	tengah	KEEP	L
02118933-v	mengamati	KEEP	O
01122149-n	perbelanjaan	KEEP	O
00428270-n	tari	KEEP	O
00349369-n	gerakan	KEEP	O
05699434-n	berkeberatan	KEEP	None
07721456-n	lada	KEEP	O
02395000-v	dilindungi	KEEP	X
00770437-v	mendapatkan	DELETE	O
01071090-n	tahan	KEEP	O
07844867-n	susu kedelai	KEEP	X
08761697-n	zealand	KEEP	X
02274259-n	kupu	KEEP	None
00227507-a	baik	KEEP	None
01182709-v	menyajikan	DELETE	O
07229245-n	terima kasih	KEEP	Y
00515414-n	hiburan	KEEP	O
01083373-v	membongkar	DELETE	O
02366927-a	reguler	KEEP	None
02649042-v	memenuhi	KEEP	Y
02472987-n	dunia	KEEP	O
00508036-a	harmonis	KEEP	L
01431471-a	penuh perhatian	KEEP	None
02542280-v	menurut	KEEP	Y
00097840-r	pulang	KEEP	O
01821132-v	mempesona	KEEP	X
02716165-v	temani	KEEP	X
02599636-v	meluwengkan	DELETE	O
00301192-n	penerbangan	KEEP	Y
00031899-r	sangat	KEEP	O
06526619-n	konsesi	KEEP	O
00306426-n	perjalanan	KEEP	O
15122231-n	selama	KEEP	O
10187130-n	tuan rumah	KEEP	Y
13709992-n	yuan	KEEP	None
02150948-v	melihat	KEEP	O
08398773-n	campuran	KEEP	O
08620061-n	titik	KEEP	L
02735753-v	sesuai	KEEP	Y
00618493-a	sautéed	KEEP	None
02455407-v	amati	KEEP	None
01995549-v	melanjutkan	KEEP	O
01391351-a	little	KEEP	None
02336904-a	kurang	KEEP	O
00434077-v	menguatkan	KEEP	O
07850329-n	keju	KEEP	Y
76100080-x	kuntum	KEEP	None
00033663-r	sedikit	KEEP	None
07669713-n	perut babi	KEEP	X
02199590-v	memberikan	KEEP	L
01982395-v	memikul	DELETE	O
13947645-n	letaknya	DELETE	X
15249096-n	ini	KEEP	O
00665781-n	facial	KEEP	None
00018043-r	bahkan	KEEP	None
01376522-a	kenal	KEEP	None
04202417-n	gedung	KEEP	Y
11311173-n	Steven Allan Spielberg	KEEP	None
09474557-n	kubangan	KEEP	O
00007846-n	seorang	KEEP	Y
90000191-n	tekka centre	KEEP	None
00393105-a	plain	KEEP	None
00881649-n	pemandangan	KEEP	O
01002740-v	membutuhkan	DELETE	O
00120796-v	membawa	DELETE	O
90000075-n	no signboard seafood	KEEP	None
01063939-n	menunggu	KEEP	O
09021503-n	turkmenistan	KEEP	None
02686805-v	sampai	KEEP	O
13742358-n	0	KEEP	X
07135734-n	perbincangan	KEEP	Y
07288215-n	masa	KEEP	O
03799710-n	mural	KEEP	O
01496021-a	minimal	KEEP	O
13846199-n	terutama	KEEP	None
13947867-n	tempat	KEEP	O
00414518-a	pop	KEEP	O
01999798-v	berpimpin	DELETE	Y
90000165-n	tanjong pagar	KEEP	None
03838535-n	karya	KEEP	O
01766133-a	kebingungan	KEEP	O
90000205-n	ngee ann city	KEEP	None
00533922-n	langkah	KEEP	O
01190993-a	ringan	KEEP	O
00027384-r	masih	KEEP	O
00063630-r	total	KEEP	None
05091527-n	informasi	KEEP	O
06532330-n	undang-undang	KEEP	Y
09441107-n	selatan laut china	KEEP	None
00048739-r	sekarang	KEEP	O
02881193-n	mangkuk	KEEP	Y
00028672-a	tidak diakui	KEEP	X
76100090-x	keping	KEEP	None
00899226-a	sukar	KEEP	None
00183879-v	mencakup	KEEP	None
01375831-a	tersohor	KEEP	M
04076846-n	gambaran	KEEP	O
06359193-n	www.easibook.com	KEEP	None
13955341-n	keaslian	KEEP	O
13764213-n	isi	KEEP	None
02204692-v	dimiliki	KEEP	None
05844105-n	bergaya	KEEP	Y
09625401-n	rakyat	KEEP	O
80000841-n	cempedak	KEEP	None
08613593-n	bagian luar	KEEP	X
01415219-a	kecil	KEEP	O
09450163-n	mentari	KEEP	Y
00013887-a	lebat	KEEP	O
00289983-a	time	KEEP	X
07573696-n	jamuan	KEEP	O
01075524-a	bersahabat	KEEP	O
01418667-v	campur	KEEP	Y
01940472-a	down-to-earth	KEEP	None
09179606-n	kenapa	KEEP	M
00335768-a	tentu	KEEP	O
00586262-n	tempat	DELETE	O
00289082-a	pecah	KEEP	Y
00015854-a	banyak	KEEP	O
02263027-v	menyumbangkan	KEEP	O
01771535-v	merasa	KEEP	O
01028748-v	dinamai	KEEP	None
02800675-n	tanah dalam	KEEP	X
08459648-n	rangkaian	KEEP	O
02039679-v	terbenam	KEEP	O
08327816-n	seminar	KEEP	O
07340895-n	kurban	KEEP	O
02765924-v	memantulkan	KEEP	O
01999218-v	membimbing	DELETE	O
02006834-v	menimpa	DELETE	O
00061203-r	sesudah	KEEP	O
01157762-a	pekat	KEEP	O
04197391-n	kaus	KEEP	None
00086000-r	cepat	KEEP	O
09044862-n	as	KEEP	None
01482449-v	mengemas	KEEP	O
80001133-n	kami	KEEP	None
00274724-v	mengikis	KEEP	L
02973241-a	tragis	KEEP	O
08593262-n	garis lurus	DELETE	X
02676054-v	berhubungan dengan	KEEP	L
05870055-n	salah	KEEP	Y
00047392-r	yang amat	KEEP	X
90000298-n	Peranakan	KEEP	None
06739990-n	sebab	KEEP	Y
02530167-v	cobalah	KEEP	X
10655730-n	awak	KEEP	None
06774316-n	adat kebiasaan	KEEP	X
15237044-n	semi	KEEP	None
90000147-n	marina square	KEEP	None
15244200-n	sepanjang hari	KEEP	X
07882497-n	racikan	KEEP	None
02652494-v	menginap	KEEP	O
02993546-n	kreta ayer square	KEEP	None
00835292-a	berkesan	KEEP	O
08641113-n	area	KEEP	None
02208265-v	memperoleh	KEEP	O
00217728-a	indah	KEEP	Y
04424218-n	barang	KEEP	O
07164163-n	sentuhan	KEEP	L
01861205-a	publik	KEEP	Y
09393605-n	dataran	KEEP	O
10077593-n	hindu	KEEP	None
01807219-a	menyenangkan	KEEP	O
01712704-v	mengerjakan	KEEP	L
00486990-a	kerap	KEEP	O
00745499-v	memanggil	KEEP	O
01009343-a	inisiatif	KEEP	O
13849710-n	keseratus	KEEP	None
07669098-n	suckling pig	KEEP	None
01498084-a	tanpa	KEEP	O
01842690-v	berjalan-jalanlah	KEEP	None
02338615-a	tinggi	KEEP	O
00250898-r	antara	KEEP	Y
01103021-a	khusus	KEEP	O
05398609-n	air dlm tumbuh-tumbuhan	DELETE	X
01730745-a	dulu	KEEP	O
02596113-v	bertemu	KEEP	Y
13104059-n	pohon	KEEP	O
01593649-a	umum	KEEP	Y
10077593-n	penggemar	KEEP	Y
03719053-n	tempat tinggal	KEEP	O
01643620-a	usia	DELETE	O
01640550-v	didesain	KEEP	None
00456199-n	permainan	KEEP	O
02754656-n	atria	KEEP	X
00669762-v	meluwengkan	DELETE	O
00320852-n	sst	DELETE	X
05064037-n	tatarajah	DELETE	None
01129920-n	tanggung jawab	KEEP	None
02002720-v	mengusir	KEEP	O
08639479-n	pelabuhan	KEEP	None
90000324-n	segar	KEEP	None
01104026-a	khusus	KEEP	Y
05839547-n	jenis	KEEP	O
07775375-n	ikan	KEEP	Y
01565921-v	menghabiskan	DELETE	O
02210855-v	perolehi	DELETE	X
07646578-n	daging bebek	KEEP	X
01508719-a	sederhana	KEEP	Y
07324917-n	peningkatan	KEEP	O
00127531-n	baik	KEEP	None
02914213-a	terapi	KEEP	O
04202417-n	gerai	KEEP	None
13747469-n	15	KEEP	None
00117620-r	jadi	KEEP	O
00586262-n	tempat ketiga	DELETE	X
13947645-n	tempat	DELETE	O
00001740-n	wujud	KEEP	None
02743391-a	manusia	KEEP	O
01140794-v	memancing	KEEP	O
00158309-r	itulah	KEEP	None
03550289-n	sangkar	KEEP	O
01410223-v	menampar	KEEP	O
04965661-n	kuning	KEEP	O
08640531-n	resor	KEEP	O
14405621-n	keseruan	KEEP	None
10013927-n	diplomat	KEEP	Y
00030358-n	perbuatan	KEEP	Y
10498699-n	pihak	KEEP	O
01326528-v	menidurkan	KEEP	None
00065639-v	zat makanan	DELETE	O
01651196-a	pada	DELETE	O
07707451-n	sayuran	KEEP	Y
01090335-v	gaduh	KEEP	Y
01973125-v	turunkan	KEEP	L
08621598-n	kedudukan	DELETE	O
00227507-a	terlezat	KEEP	None
00571061-v	melepas	KEEP	O
05718935-n	music	KEEP	None
02957469-a	jerman	KEEP	None
04005630-n	penjara	KEEP	Y
05765415-n	simbol	KEEP	O
08652970-n	tempat	KEEP	O
80000695-a	pan-fried	KEEP	None
02009433-v	pulang	KEEP	O
02748927-v	berhias	KEEP	O
02295998-a	lazim	DELETE	Y
10399491-n	orang tua	KEEP	Y
