Indonesian	Arabic	Croatian	Thai	Slovene	Finnish	Portuguese	Japanese	Polish	Greek 	Chinese 	English 	Spanish 
pun sembuh	كالاخرى	None	None	None	None	None	None	None	υγιης	None	None	None
Kaleb	وكالب	Kalebu	คาเลบ	Kalebovega	Kaalebin	Calebe	None	Kalebowego	του Χαλεβ	迦勒	of Caleb	Caleb
seperti kilat	كالبرق	None	None	None	None	None	None	None	None	None	None	None
apel	كالتفاح	jabuka	None	None	None	maçãs	None	None	μηλεα	蘋	apple	manzano
kapas	كالثلج	vuna	None	sneg	None	lã	None	wełna	χιων	羊毛	wool	lana
tinggal di negerinya	كالسنتهم	None	None	None	None	None	None	None	None	None	None	None
seperti matahari	كالشمس	None	None	None	None	None	None	None	None	None	None	None
tanah liat	كالطين	glinu	None	glino	savi	barro	None	glinianą	None	泥	None	None
seperti bayangan	كظل	None	None	None	None	None	None	None	None	None	None	None
seperti yang diperlukan untuk	كالعادة	None	None	None	None	None	None	None	None	None	None	None
seperti madu	كالعسل	None	None	None	None	None	None	None	None	None	None	None
seperti burung	كالعصفور	None	None	None	None	None	None	None	None	None	None	None
seperti perjanjian	كالعهد	None	None	None	None	None	None	None	None	None	None	None
seperti air	كالمياه	None	None	None	None	None	None	None	None	如水	None	None
seperti wanita	كالوالدة	None	None	None	None	None	None	None	None	None	None	None
pudar	كامدة	None	จาง	None	None	escurecido	None	None	None	發 暗	faded	None
Yoyakim	يهوياقيم	Jojakimu	None	Jojakim	Joojakimista	Jeoiaquim	None	Joakimowego	του Ιωακειμ	約雅 敬	of Jehoiakim	de Joacim
Yoyakhin	يهوياكين	stolicu	เยโฮ ยา	Jojahina	Joojakinin	Jeconias	None	Chonijasz	Ιωαχειν	耶哥 尼雅	Jehoiachin	Joaquín
Yosia	يوشيا	Jošiju	None	Josiju	Joosiasta	Josias	None	Jozyjaszowego	Ιωσιου	約西亞	of Josiah	de Josías
sering	مرارا	često	None	pogostoma	usein	vezes	None	częstokroć	πολλακις	屢次	ofttimes	muchas veces
seorang imam	كاهن	None	None	None	None	None	None	None	None	None	None	None
imam di	كاهن	None	None	None	None	None	None	None	None	None	None	None
menjadi imam	كاهنا	None	None	None	None	None	None	None	None	None	None	None
domba jantan yang diwarnai	كباش	None	None	ovnovih	None	None	None	None	κριων	None	None	None
dewasa	كبر	zreli	None	None	ikää	idade	None	None	None	None	of age	maduros
kesombongan	كبرياء	oholosti	None	napuh	None	soberba	None	pychę	υπερηφανιαν	驕 傲	the pride	soberbia
belerang	كبريت	sumporom	None	žveplom	tulikiveä	enxofre	None	siarki	θειου	硫磺	sulfur	azufre
rugi	كبشا	None	None	škodo	None	restituição	None	występek	ανομιας προσφοραν	愆	trespass	restitución
sama seperti yang	كبيت	None	None	None	None	None	None	None	None	None	None	None
menyerahkan surat	كتاب	None	None	None	None	None	None	None	None	None	None	None
daftar	كتاب	popisu	None	imenik	None	None	None	poczet	None	None	None	registros
linen	وارجوان	prepredenog	None	platnene	pellavavaatteisiin	linho	None	lniane	λινουν	細 麻衣	twined linen	sábana
menulis surat	كتبت	napisah	None	pišem	kirjoitin	escrevo	None	None	εγραψα	寫信給	None	None
pundaknya	كتفه فما	ramena	None	ramo	hartioilleen	ombros	None	ramiona	ωμων	肩	shoulders	hombros
bahunya	كتفها	ramenu	None	rami	None	ombro	None	ramieniu swem	ωμου	托 在	shoulders	sus hombros
bahu	كتفي	None	None	poramna	olkakappaleihin	ombro	None	None	None	肩 都 聚	shoulders	hombro
bahuku	كتفي	None	None	None	None	None	None	None	None	肩 頭	shoulder	None
banyaklah	كثر	None	None	None	monilukuiset	None	None	wielkości	πληθους των	你 因 我 的	the multitude of thine iniquity	None
banyak	كثيرين	mnoštvo	มาก	veliko	paljon	multidão	None	wielu	πολλων	多	multitude	multitud
banyak lagi	كثيرات	None	None	None	None	None	None	None	None	還要	None	None
Banyak	وكثيرون	mnogi	หลาย	Mnogo	monet	muitos	None	Wiele	πολλοι	有 許多	many	muchos
seperti pahlawan yang	كجبار	None	None	None	None	None	None	None	None	None	None	None
seperti kebun	كجفنة	None	None	None	None	None	None	None	None	None	None	None
seperti taman yang	كجنة	None	None	None	None	None	None	None	None	None	None	None
seperti batu	كحجر	None	None	None	None	None	None	None	None	None	None	None
tumbuh di	كحشيش	None	None	None	None	None	None	None	None	None	None	None
dibajak seperti	كحقل	None	None	None	None	None	None	None	None	None	None	None
seperti burung merpati	كحمامة	None	None	None	None	None	None	None	None	None	None	None
Mereka seperti domba	كخراف	None	None	None	None	None	None	None	None	None	None	None
seperti domba yang	كخراف	None	None	None	None	None	None	None	None	None	None	None
dari Raja Daud	كداود	None	None	None	None	None	None	None	None	None	None	None
seperti asap	كدخان	None	None	None	None	None	None	None	None	None	None	None
digulung	كدرج	None	None	None	None	None	None	None	None	None	when it is rolled	None
berhala buatannya itu palsu	كذب	None	None	None	None	None	None	None	None	None	None	None
tinggi daripada	كراسي	None	None	None	None	None	None	None	None	None	None	None
kemewahan	كرامة	None	ยศ	None	None	None	None	None	ωμοιωθη	None	None	None
raja keturunan	كرسي	None	None	prestolu	None	None	None	None	None	None	None	None
kursi	كرسي	stolicu	None	sedela	valtaistuimellansa	lugar de	None	stolicę	καθεδρας	座 位	seat	su trono
kursi kerajaan yang	كرسيا	None	None	None	None	None	None	None	None	None	None	None
takhtanya	كرسيه	prijestolje	None	None	valtaistuimensa	seu trono	None	stolicę	θρονον	的 寶座	None	trono
kebun anggur	وكرومنا	vinogradu	None	vinogradnikom	viinitarhureiksi	vinhateiros	None	winiarzom	αμπελωνας	葡萄園	vineyards	viñas
kebun anggurnya	كرما	None	None	None	None	None	None	None	None	葡萄園	None	None
seperti pasir	كرمل	None	None	None	None	None	None	None	None	None	None	None
Kornelius	كرنيليوس	Kornelije	None	Kornelij	Kornelius	Cornélio	None	Kornelijuszu	Κορνηλιος	哥 尼 流	Cornelius	Cornelio
muak	وتمقتون	gadilo	None	zaničevala	kyllästyttää	repugnante	None	wzgardziła	απεξενωθη	厭 惡	was alienated	hastió
Kerub	كروب	Keruba	None	Keruba	None	Querube	None	Cherub	Χερουβ	基綠	Cherub	Querub
Kreta	كفتور	Kaftora	None	Krečani	Kreetan	cretenses	None	Kreteóczycy	Κρητης	革哩 底	Crete	cretenses
Kerit	كريث	Keritu	None	Keritu	None	None	None	None	None	None	Cherith	de Querit
Kozbi	كزبي	Kozbi	None	None	None	Cozbi	None	None	None	None	Cozbi	Cozbi
auman	كزمجرة	rika	None	rjovenje	nuoren	bramido	None	ryk	βρυχηθμος	吼叫	the roaring of a	rugido
seperti bunga	كزهر	None	None	None	None	None	None	None	None	None	None	None
seperti badai	كزوبعة	None	None	None	None	None	None	None	None	None	None	None
seperti awan	كسحاب	None	None	None	None	None	None	None	None	None	None	None
kabut	كسحاب	None	None	oblak	None	névoa	None	chmura	None	霧	morning cloud	niebla
mematahkan	يكسروا	None	None	None	None	None	None	None	None	None	break	quebraron
sudah kaupecahkan	كسرتهما	None	None	None	None	None	None	None	None	None	None	None
Kislew	كسلو	None	None	None	None	None	None	None	Χισλευ	None	Chislev	Quislev
pada efod	كصنعته	None	None	None	None	None	None	naramiennika	None	None	None	None
seperti suara	كصوت	None	None	None	None	None	None	None	None	None	None	None
Kuadili	كطرقك	None	None	se bom	tuomitsen	julgarei	None	None	κριθη	行為審 判	None	juzgaré
sebagai hamba	كعبيد	None	None	None	None	None	None	None	None	None	None	None
seperti rumput	كعشب	None	None	None	None	None	None	None	None	如草	None	None
seperti debu	كعصافة	None	None	None	None	None	None	None	None	None	None	None
serupa	كعمل	None	None	None	None	None	None	None	ομοιωμα	None	None	None
perampok bersenjata	كغاز	None	None	None	None	None	None	None	None	None	None	None
seperti domba	كغنم	None	None	None	None	None	None	None	None	None	None	None
sudah cukup	كفاكم	Dosta	None	None	None	None	None	None	Αρκει	彀	None	None
Kapernaum	ناحوم	Kafarnaumu	None	Kafarnavmu	Kapernaumiin	Cafarnaum	None	Kapernaum	Καπερναουμ	迦百農	Capernaum	Capernaúm
belahan buah	كفلقة	None	None	None	None	None	None	None	None	None	None	None
Cukup	كفى	Dosta	None	None	Jo riittää	Basta	None	None	Αρκει	彀	enough	None
seperti kawanan	كقطيع	None	None	None	None	None	None	None	None	None	None	None
seperti busur	كقوس	None	None	None	None	None	None	None	None	None	None	None
busur yang	كقوس	None	None	lok	None	None	None	None	None	None	None	None
permintaan	لصوتهم	None	None	prošnjo	pyydän	None	None	None	αιτησιν	依 從	request	petición
dan dipotong	كقياس	None	None	None	None	None	None	None	None	None	None	labrados
setiap	لكل	svakom	None	vsakega	None	todo	None	każdego	εκαστον	各	every	cada
seumur	كل ايام	vijeka	None	vse svoje	ainiaan	dias da sua	None	wszystkie dni	τας ημερας της	None	None	None
diserang	كل ضربة	pritisne koja od njegovih vrata	None	katerakoli	None	None	None	None	νοσος	None	None	None
Tempat	كل فراش	postelja	None	None	temppelisalin	None	None	None	τοπος	None	None	del lugar
Sama sekali tidak	كلا	Nipošto	None	None	None	None	None	None	None	None	None	None
perkataanmu	كلامكم	None	None	None	None	None	None	None	None	們 的 話	me to understand wherein I	None
singa betina	كلبوة	None	None	None	None	leoa	None	None	None	None	None	None
seperti pencuri	كلص	None	None	None	None	None	None	None	None	None	None	None
kamu semua	كلكم	None	None	None	None	None	None	None	None	None	None	None
semua akan	كلكم	None	None	None	None	None	None	None	None	None	None	None
Setiap kali	كلما	None	None	None	None	None	None	None	None	每逢	None	None
perkataan	كلمة	riječ	พระ วจนะ	besede	sanan	palavra do	None	słowa	λογους	None	words	palabras
Kusebut kepadamu	كلمتك	None	None	None	None	None	None	None	None	None	None	None
Kuberitahukan	كلمتكم	None	None	None	None	None	None	None	None	None	have I spoken	None
sepanjang	كله	cio	ตลอด	ves	None	None	None	całą	ολην	終	None	None
nyala	كلهيب	None	เปลว	plamen	None	None	None	płomieó	None	燄	flaming	None
makanlah	كلوا	progutaj	None	jejte	syökää	come	None	jedz	φαγετε τουτο	None	eat	comed
Klaudius	كلوديوس	Klaudije	None	Klavdij	Klaudius	Cláudio	None	Klaudyjusz	Κλαυδιος	None	Claudius	Claudio
berapa	كم	koliko	None	Kolikokrat	None	quantas	None	Wieleż	Ποσους	多少	None	cuántas
Berapa	كم	Koliko	None	koliko	monta	Quantas	None	None	ποσους	拾 了 多 少	how many	cuántas
seperti	مثل	poput	None	kakor	niinkuin	como	None	jako	ως	好像	like	como
seperti wanita yang mau melahirkan	كماخض	None	None	None	None	None	None	None	None	None	None	None
sebagai kota	كمدينة	None	None	None	None	None	None	None	None	None	None	None
seperti obor	كمصباح	None	None	None	None	None	None	None	None	None	None	None
seperti malaikat	كملاك	None	None	None	None	None	None	None	None	None	None	None
sampai ajalmu	كملت	None	None	None	None	None	None	None	None	None	None	None
berkilauan seperti	كمنظر	nalik	None	None	None	None	None	None	None	None	None	None
Kimham	كمهام	Kimhama	None	Kimham	Kimham	Quimã	None	None	Χιμαμ	金 罕	Chimham	Quimjam
Kamos	كموش	narode Kemošev	None	Kamos	Kemos	Quemós	None	Chamos	Χεμως	基抹	for Chemosh the	Quemós
seperti api	كنار	None	None	None	None	None	None	None	None	None	None	None
api yang	كنار	vatra	None	ogenj	None	None	None	None	None	None	None	None
menantunya	كنتها	snahu	None	snahama	miniänsä	noras	None	None	νυμφη	兒婦	lewdly defiled his	su nuera
bintang di	كنجوم	None	None	None	None	None	None	gwiazdy	None	None	None	None
sebanyak bintang	كنجوم	None	None	None	None	None	None	None	None	None	None	None
Kengkrea	كنخريا	Kenhreji	None	Kenhrejah	None	Cencréia	None	None	None	革 哩	Cenchreae	Cencrea
Kenaana	كنعنة	Kenaanin	None	Kenaanov	Kenaanan	None	None	None	Χαναανα	None	and Chenaanah	Quenaana
seperti engkau mengasihi dirimu sendiri	كنفسك	None	None	None	None	None	None	None	None	None	None	None
diukir	كنقش	None	None	vrezano	kaiverrettuna samalla	None	None	dwanaście według	None	刻	were according to the	grabaduras de sello
seperti sungai	كنهر	None	None	None	None	None	None	None	None	None	None	None
sebagai imam	كهنوت	svećeničku	None	duhovsko	pappeina	None	None	kapłaóstwo	None	None	None	None
yang sebagus	كواحدة	None	None	None	None	None	None	None	None	None	None	None
Korazim	كورزين	Korozaine	โค รา	Korazin	Korasin	None	None	Chorazynie	Χοραζιν	拉 汛	Chorazin	Corazín
Kores	كورش	Kiru	ของ ไซ	Ciru	Koores	Ciro	None	Cyrusa	Κυρου	波斯 王古列	of Cyrus	rey Ciro
Korintus	كورنثوس	Korintu	None	Korintu	Korinttoon	coríntios	None	Koryntu	Κορινθω	哥林 多	Corinth	corintios
Sudan	كوش	Etiopljani	None	etiopskih	etiopialaisia	etíopes	None	Murzynów	της Αιθιοπιας	古實人	the Ethiopians	etíopes
Kus	كوش	Kuša	None	Kuševi	Kuusin	Cuche	None	Chusowi	Χους	古實	of Cush	de Cus
Asyur telah	كوش	None	None	None	None	None	None	None	None	None	None	None
Kusyi	كوشي	None	None	None	Kuusin	Cuche	None	None	None	None	of Cushi	None
hujan lebat	كوى	None	ฝน	ploha	akkunat	None	None	okna	None	天開	windows	None
Ibu	كيرية	Ženo	None	Žena	Vaimo	mãe	None	Niewiasto	Γυναι	母 親	mother	madre
bagaimana	كيف	kako	None	kako	miten	None	None	None	πως	怎 麼	what	cómo
Kilikia	كيليكية	Cilicije	None	Cilicije	Kilikian	Cilícia	None	Cylicyi	Κιλικιας	基利家	Cilicia	Cilicia
kepada nenek moyangmu	لآبائك	None	None	None	None	None	None	None	None	None	None	None
kepada leluhurmu	لآبائك	None	None	None	None	None	None	ojcom	None	None	None	None
kepada nenek moyang	لآبائهم	None	None	None	None	None	None	ojcom	None	None	None	None
kepada leluhur	لآبائهم	None	None	očetom	None	None	None	ojcom	None	None	None	None
nenek moyang mereka	لآبائهم	None	None	None	None	None	None	None	None	None	None	None
ikut Apolos	لأبلوس	None	None	None	None	None	None	Apollosowy	None	屬亞波羅	None	None
mutiara	ولؤلؤ	biserjem	None	biserov	helmiä	pérola	None	perły	μαργαριτας	珍珠	pearls	perlas
jangan	لئلا	nemoj	None	ne	äläkä	não	None	None	μη	不 可	None	no
tidak	ولم	nije	None	niso	ole	nem	None	nie	μη	沒	not	no
tak	ولا	ne	None	ni	ei	nem	None	nie	δεν	無	not	no
Jangan	لا	Nemoj	None	Ne	älä	Não	None	Nie	μη	不 可	shall not	No
Laban	لابان	Labana	None	Labanovo	aramilaisen Laabanin	Labão	None	Labanowych	ο Λαβαν	拉班	of Laban	de Labán
kepada Abram	لابرام	None	None	Abramu	Abramille	None	None	None	None	None	None	None
kepada Abraham	لابراهيم	None	None	Abrahamu	Aabrahamille	None	None	Abrahamowi	None	None	None	None
memakai	لابسا	None	สวม	None	None	None	None	None	None	穿	None	None
kepada Absalom	لابشالوم	Abšalomu	None	Absalomu	Absalomille	None	None	Absalomowi	None	None	None	None
bagi anakku	لابني	None	None	None	None	None	None	None	None	None	None	None
kepada Imam Abyatar	لابياثار	None	None	None	None	None	None	None	None	None	None	None
kepada ayahnya	لابيه	None	None	očetu	isällensä	None	None	None	None	None	None	None
kepada siapa	لاحد	kome	None	nikomur	kenellekään	None	None	nikomu	None	None	None	None
yang luput sehingga dapat melapor kepada Tuan	لاخبرك	None	None	None	None	None	None	None	None	None	None	None
untuk menangkap	لاخذ	None	None	None	None	None	None	None	None	None	imprisoned	None
Lakhis	لخيش	Lakiša	ยโส ของ	Lahisa	Laakista	Laquis	None	Lachys	Λαχεις	拉吉	the king of Lachish	rey de Laquis
supaya memberi keturunan	لاخيه	None	None	None	None	None	None	None	None	None	None	None
memberi keturunan kepada	لاخيه	None	None	None	None	None	None	None	None	None	None	None
keturunan kepada orang yang	لاخيه	None	None	None	None	None	None	None	None	None	None	None
untuk mempersembahkan	لاذبح	None	None	None	None	None	None	None	None	None	None	None
saya berlaku	لاربح	None	None	None	None	None	None	None	None	None	None	None
supaya dapat menerima	لارث	None	None	None	None	None	None	odziedziczę	None	None	None	None
menyambut	واراهم	None	None	None	None	encontro do	None	None	συναντησιν του	迎接	out to meet	recibir
mengulurkan	لاستير	pruži	None	iztegne	ojensi	None	None	wyciągnął	εξετεινα	伸	put out his	extendió
kepada Ishak	لاسحق	None	None	Izaku	Iisakille	None	None	None	None	None	None	None
umat Israel	لاسرائيل	None	None	None	None	None	None	None	None	None	None	None
Aku dapat tinggal	لاسكن	None	None	None	None	None	None	None	None	None	None	None
ibadat kepada	لاسم	None	None	None	None	None	None	None	None	None	None	None
tempat ibadat	لاسم	None	None	None	uhrikukkulalle	None	None	None	None	None	None	None
menjadi tempat ibadat	لاسمي	None	None	None	None	None	None	None	None	None	None	None
membangkitkan kemarahan	لاغاظة	None	None	None	None	None	None	None	None	None	None	None
sehingga membangkitkan	لاغاظته	None	None	None	None	None	None	None	None	None	None	None
membuat Aku marah	لاغاظتي	None	None	None	None	None	None	None	None	None	None	None
Allah penguasa di	لاله	None	None	None	None	None	None	None	None	None	None	None
lagi untuk	لالواح	None	None	None	None	None	None	None	None	None	None	None
Untuk pemimpin	لامام	None	None	None	None	None	None	nauczający	None	交與	None	None
kepada istrinya	لامرأته	None	None	None	None	None	None	None	None	None	None	None
Lamekh	نوحا	Lamek	ลา เม ค	Lameha	Lemek	Lameque	None	Lamecha	Λαμεχ	拉麥	toil	Lamec
kepada ibunya	لامه	None	None	materi	äidilleen	None	None	matce	None	None	None	None
sebab	لانهم	jer	เพราะ	zakaj	sillä	porquanto	None	albowiem	επειδη	因為	for	pues
Sebab	لانه	jer	เพราะ	zakaj	sillä	pois	None	albowiem	διοτι	所以	For	porque
Negeri	لان الارض	Zemlja	None	Dežela	sillä maa	A terra	None	None	None	None	The land	La tierra
Nyawa	لان نفس	None	None	Zakaj duša	None	None	None	Sromoty	None	None	the life	Porque la vida
Kabar Baik tentang	يبشر	evanđelju	None	evangelija	None	None	None	Ewangieliję	None	None	None	None
sebab kalian	لانكم	None	None	None	None	None	None	None	None	None	None	None
Sebagaimana	لانه كما	Kao što se	None	Kakor	Niinkuin	Como na	None	Albowiem jako	None	None	None	De la manera que
Seperti	لانه كما	Kao	None	Kakor	Niinkuin	Como	None	Jako	Ως	None	As	Como
Katanya	لانها قالت	reče Josip	None	Jožef reče	None	None	None	I rzekł Józef	Και ειπεν ο Ιωσηφ	None	None	None
Laodikia	لاودكية	Laodiceji	เลา	Laodiceji	Laodikeassa	Laodicéia	None	Laodycei	Λαοδικεων	老 底 嘉	Laodiceans	Laodicea
untungnya	لاولئك	None	None	namreč pomaga	None	aproveita	None	None	None	None	None	None
Lais	لايش	Lajiš	None	Lais	Laiksen	Laís	None	Lais	του Λαεις	拉億	of Laish	de Lais
kepada Balak	لبالاق	Balaku	None	None	Baalakin	None	None	None	None	None	None	None
kemenyannya	لبانها	tamjan	None	kadilom	suitsukkeen	o incenso	None	kadzidłem	λιβανιον	的 乳香	the frankincense	None
kepada Petrus	لبطرس	Petru	None	Kefu	Pietarille	None	None	Piotrowi	None	對彼得說	None	None
seorang kepada yang lain	لبعض	None	None	None	toisillensa	None	None	None	None	None	None	None
berkata kepada Bileam	لبلعام	None	None	None	None	None	None	None	None	None	None	None
Libanon	لبنان	na Libanonu	เลบานอน	libanonska	Libanonin	cedro	None	Libanowego	τω Λιβανω	利巴嫩	of Lebanon	el Líbano
kepada Paulus	لبولس	Pavlu	None	Pavlu	Paavalille	None	None	Pawłowi	None	保羅說	None	None
sana sudah	لتابتا	None	None	None	None	None	None	None	None	None	None	None
untuk Peti	لتابوت	None	None	razpel	None	None	None	None	None	None	None	None
Kuatkanlah	لتتشدد	None	None	None	lujat	None	None	None	None	None	Uphold	None
dapat menegakkan	لتجري	None	None	None	None	None	None	None	None	None	None	None
upacara pentahbisan	لتدشين	None	None	None	None	None	None	poświęceniu	καθιερωσεως	None	None	None
untuk menyelidiki di	لتروا	None	None	None	None	None	None	None	None	None	None	None
untuk mendengarkan	لتسمع	None	None	None	None	None	None	None	None	None	None	None
dan hormatilah	لتقدسه	None	None	None	None	None	None	None	None	None	None	None
Biarlah	ليكن	nek	None	None	Tulkoon	Sejam	None	Niech	ας	願	let	Sean
untuk melihat apa	لتنظروا	None	None	None	None	None	None	widzieć	None	None	None	None
untuk membinasakan kami	لتهلكنا	None	None	None	None	None	None	None	None	None	None	None
kepada Gideon	لجدعون	Gideonu	None	Gideonu	Gideonille	None	None	None	None	None	None	None
bagi semua	لجميع	None	None	None	None	None	None	None	None	None	None	None
kepada semua	لجميع	svima	None	None	kaikille	None	None	None	None	None	None	None
kepada seluruh	لجميع	None	None	vsemu	kaikelle	None	None	None	None	None	None	None
kepada pemuda	للغلام	None	None	None	None	None	None	None	None	None	None	None
pemuda yang membawa	لحامل	None	None	None	None	None	None	None	None	None	None	None
milik kekasihku	لحبيبي	None	None	None	None	None	None	None	None	None	None	None
berkata kepada raja	لحزقيا	None	None	None	None	None	None	None	None	None	None	None
untuk menunggui	لحفظ	None	None	None	None	None	None	None	None	None	None	None
untuk menguasai	لحكم	None	None	None	hallitsemaan	None	None	None	None	None	None	None
Tubuhnya	لحمه	mu tijelo	None	None	ruumiinsa	None	None	ciało jego	None	他 的 肉	body also	None
Lehi	لحي	Lehiju	None	Lehi	None	Leí	None	Lechy	Λεχι	利 希	troop	Leji
tentang hidupmu	لحياتكم	None	None	None	None	None	None	None	None	None	None	None
janggut	لحية	brade	หนวด	brada	parrat	toda barba	None	każda broda	None	鬍	beard	toda barba
pemerintahan Raja	لداريوس	None	None	None	Daarejaveksen	None	None	Daryjusza	None	None	None	None
untuk mengenang	لذكري	None	None	None	None	None	None	None	None	None	None	None
Karena	لذلك	Zato	None	Zato	Sentähden	Pela	None	Przetoż	Δια	None	Therefore	Por
Itulah	لذلك	Zato	None	Zato	Tämä	None	None	Toć	None	None	This is	None
Sebab itu	لذلك	None	None	Zato	Sentähden	Portanto	None	None	None	所以	Therefore	None
kepada Rut	لراعوث	None	None	None	None	None	None	None	None	None	None	None
kepada pemilik	لرب	None	None	None	None	None	None	None	None	None	None	None
kepada suaminya	لرجلها	None	None	None	miehellensä	None	None	None	None	None	None	None
Sara akan	لسارة	None	None	None	None	None	None	None	None	None	None	None
yang cabul untuk	لسارية	None	None	None	None	None	None	None	None	None	None	None
cabul untuk Asyera	لسارية	None	None	None	None	None	None	None	None	None	None	None
berhala yang cabul	لسارية	None	None	None	None	None	None	None	None	None	None	None
lidahnya	لسانه	jezika	None	jezika	kielensä	sua língua	None	języka	None	舌 頭	tongue	lengua
bahasanya	لسانها	None	ตาม ภาษา	jezikih	None	língua	None	języka	γλωσσαν	方言	language	None
lidahku	لساني	jezik	None	jezik	None	None	None	None	None	None	tongue	mi lengua
bukan	ليس	nije	None	None	ole	None	None	None	ουχι	不 是	not	no
Listra	لسترة	Listru	None	Listri	Lystraan	Listra	None	Listry	Λυστροις	司 得	Lystra	Listra
Kalian tidak	لستما	None	None	None	Ette	None	None	None	None	None	None	None
kepada Simon	لسمعان	Šimunu	None	Simonu	Simonille	None	None	Szymonowi	None	None	None	None
kepada Saul	لشاول	Šaulu	None	Savlu	Saulille	None	None	Saulowi	None	None	None	None
kepada Simson	لشمشون	Samsonu	None	None	None	None	None	None	None	None	None	None
penjahat	لص	zločinac	โจร	razbojnika	None	malfeitores	None	złoczyńców	ληστην	None	wicked	malhechores
pemerintahan Zedekia	لملكه	None	None	None	None	None	None	None	None	None	None	None
kepada Samuel	لصموئيل	Samuelu	None	Samuelu	Samuelille	None	None	Samuela	None	None	None	None
taat kepada	وصاياه	None	None	None	None	None	None	None	None	None	None	None
taatilah	لصوته	slušajte	None	služite	noudattakaa	None	None	None	φυλαττε	守 他	obey	None
taat	لصوتي	slušali	None	poslušali	None	obediência	None	posłuszni	υπηκουσαν	聽 從	obey	obedecido
patungnya	لصورته	kipu	None	podobo	kuvaa	sua imagem	None	obrazowi	εικονα	None	image	su imagen
penyamun	لصوص	razbojničku	None	razbojniško	ryöväriä	de salteadores	None	zbójców	ληστων	None	thieves	ladrones
perampok	لصوص	razbojnik	โจร	razbojniki	ryöväri	salteador	None	zbójca	ληστων	強 盜	spoilers	ladrones
kepada burung	لطيور	None	None	None	None	None	None	None	None	None	None	None
Lazarus	لعازر	Lazara	ลา ซา	Lazarja	Lasarus	Lázaro	None	Łazarza	Λαζαρος	拉撒路	Lazarus	Lázaro
hambamu	لعبدك	None	None	None	palvelijanne	None	None	None	None	None	None	None
kepada para	لعبيده	None	None	None	None	None	None	None	None	None	None	None
Ladan	لعدان	Ladanovi	ลา ดาน	Ladanovi	Ladanin	Ladã	None	Laadana	Λααδαν	拉但	of Ladan	Ladán
pasti kalian	لعرفتم	None	None	None	None	None	None	None	None	None	None	None
kepada Ezra	لعزرا	None	None	None	None	None	None	None	None	None	None	None
Barangkali	لعله	možda	ชะรอย	morda	ehkä	None	None	Aza snać	ισως	或者	perhaps	sabe si
itu berdoalah	لعل	None	None	None	None	None	None	None	None	None	None	None
Mungkin	لعل	možda	None	morda	ehkäpä	Porventura o	None	None	ισως	或者	peradventure	quizás
barangkali	لعله	možda	ชะรอย	None	ehkä	None	None	None	ισως	None	None	None
kepada Amasa	لعماسا	None	None	Amasu	Amasalle	None	None	None	None	None	None	None
kutukan	ولعنة	prokletstvo	สาป	preklinjanje	kirouksen	maldição	None	przeklęstwem	καταραν	咒詛	cursing	maldición
hama	لفح	None	None	gosenice	None	None	None	rdza	None	None	mildew	langosta
kepada Festus	لفستوس	None	None	Festu	Festukselle	None	None	None	None	None	None	None
pemerintahan Raja Pekah	لفقح	None	None	None	None	None	None	None	None	None	None	None
kepada Filipus	لفيلبس	None	None	None	Filippukselle	None	None	None	None	腓利說	None	None
kepada Kain	لقايين	None	None	None	None	None	None	None	None	None	None	None
dimilikinya	لقريبك	je bližnjega tvoga	None	je bližnjega	None	do teu próximo	None	bliźniego twego	None	None	is thy neighbour	sea de tu prójimo
penerang	نورا	svjetlo	None	svetloba	None	None	None	None	None	None	lights	None
kepada Kaleb	لكالب	None	None	None	Kaalebille	None	None	Kalebowi	None	None	None	None
ia hanya	لكنها	None	None	None	None	None	None	None	None	None	None	None
Tetapi mereka	لكنهم	None	None	None	None	None	None	None	None	None	None	None
pemerintahan Kores	لكورش	None	None	None	None	None	None	Cyrusa	None	None	None	None
supaya	لكي	da	None	da	että	para	None	abyście	δια	使	that	para
kepada Laban	للابان	Labanu	None	Labanu	None	None	None	None	None	None	None	None
kepada kedua	للاثني	None	None	dvema	molemmille	None	None	None	None	None	None	None
pembalasan	للانتقام	osveti	None	maščevanje	None	None	None	pomścił	None	報 仇	vengeance	vengarse
kepada berhala	للاوثان	idolima	None	None	epäjumalille	None	None	bałwanom	ειδωλοθυτων	None	None	None
dapat minta petunjuk dengan memakai Urim	للاوريم	None	None	None	None	None	None	None	None	None	None	None
orang Lewi	واللاوي	None	None	leviti	leeviläisille	None	None	Lewitów	None	None	None	None
kehendak Allah	للبر	None	None	None	None	None	None	None	None	None	None	None
kepada Baal	للبعل	None	None	Baalu	Baalille	None	None	Baalowi	None	None	None	None
untuk Baal	للبعل	None	None	None	None	None	None	None	None	None	None	None
Baal dan	للبعل	None	None	None	None	None	None	None	None	None	None	None
mempersembahkan kurban peringatan	للتذكير	None	None	None	None	None	None	None	None	None	None	None
permata yang akan ditatah	للترصيع	None	None	None	None	None	None	None	None	None	None	None
bertahan	يصبر	ustraje	None	pretrpi	kestää	perseverar	None	wytrwa	υπομεινας	None	stand	resistir
Serigala punya	للثعالب	None	None	None	None	None	None	None	None	None	None	None
setiap ekor sapi	للثور	None	None	None	None	None	None	None	None	None	None	None
untuk sapi	للثور	None	None	None	mullikkaa	None	None	None	None	None	None	None
Dia yang duduk	للجالس	None	None	None	None	None	None	None	None	None	None	None
